PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Rioverde Clavijo,27 abr 2018,P  85-66,5,4,1,22,1-2,0-2,25.0%,3-3,100.0%,0,4,4,1,0,1,0,5,6
vs Rio Breogan,20 abr 2018,P  86-93,12,11,0,27,1-4,2-5,33.3%,4-4,100.0%,4,7,11,0,0,2,0,12,15
@ Levitec Huesca,15 abr 2018,P  82-63,7,2,2,19,1-3,1-5,25.0%,2-2,100.0%,1,1,2,2,2,2,0,7,5
vs Fibwi Palma,7 abr 2018,P  79-90,4,4,3,27,0-1,1-5,16.7%,1-2,50.0%,2,2,4,3,0,1,0,4,4
@ FC Barcelona II,1 abr 2018,G  72-79,7,8,0,21,2-6,1-5,27.3%,0-1,0.0%,5,3,8,0,3,3,0,7,6
vs BAXI Manresa,25 mar 2018,P  66-74,9,8,2,31,3-7,0-4,27.3%,3-3,100.0%,2,6,8,2,2,1,0,9,12
@ Súper Agropal Palencia,21 mar 2018,P  76-64,6,4,0,28,2-2,0-4,33.3%,2-2,100.0%,1,3,4,0,0,2,0,6,4
vs Amics Castello,16 mar 2018,G  64-52,12,8,1,33,3-5,2-7,41.7%,0-0,-,1,7,8,1,1,2,0,12,13
@ Melilla Ciudad Del Deporte 1,9 mar 2018,G  58-85,10,7,3,25,1-2,2-3,60.0%,2-2,100.0%,1,6,7,3,0,0,0,10,18
vs Caceres,2 mar 2018,G  79-75,7,4,3,24,1-3,1-3,33.3%,2-4,50.0%,1,3,4,3,1,1,0,7,8
@ Hiopos Lleida,23 feb 2018,G  72-78,11,6,0,24,0-2,2-5,28.6%,5-6,83.3%,1,5,6,0,1,1,1,11,12
vs C.B. Prat,16 feb 2018,P  65-81,0,4,0,15,0-0,0-1,0.0%,0-0,-,1,3,4,0,0,0,0,0,3
@ Real Valladolid,9 feb 2018,P  94-84,5,5,2,24,0-3,1-2,20.0%,2-2,100.0%,0,5,5,2,0,0,0,5,8
vs Ourense,28 ene 2018,G  77-75,7,6,2,29,2-4,1-4,37.5%,0-0,-,3,3,6,2,0,3,0,7,7
@ Alimerka Oviedo,23 ene 2018,P  80-71,9,4,1,15,3-4,1-2,66.7%,0-0,-,1,3,4,1,0,0,0,9,12
@ Araberri Basket Club,20 ene 2018,G  80-99,16,2,2,27,2-4,4-12,37.5%,0-0,-,0,2,2,2,0,1,0,16,9
vs Biele ISB,12 ene 2018,G  79-59,9,3,2,22,0-2,3-4,50.0%,0-0,-,0,3,3,2,1,3,0,9,9
vs Rioverde Clavijo,7 ene 2018,G  80-66,6,3,3,23,0-3,2-2,40.0%,0-0,-,0,3,3,3,0,3,0,6,6
@ Rio Breogan,29 dic 2017,P  84-73,14,8,2,28,4-6,1-6,41.7%,3-5,60.0%,3,5,8,2,0,3,1,14,13
vs Levitec Huesca,22 dic 2017,P  70-76,2,2,2,15,1-2,0-2,25.0%,0-0,-,0,2,2,2,0,1,0,2,2
@ Fibwi Palma,16 dic 2017,G  90-97,9,3,1,28,0-5,2-2,28.6%,3-5,60.0%,0,3,3,1,0,2,0,9,4
vs FC Barcelona II,10 dic 2017,G  89-79,8,5,1,26,1-2,2-3,60.0%,0-2,0.0%,3,2,5,1,0,0,0,8,10
@ BAXI Manresa,3 dic 2017,G  75-81,12,4,2,26,0-3,3-6,33.3%,3-3,100.0%,2,2,4,2,0,2,0,12,10
vs Súper Agropal Palencia,29 nov 2017,G  96-78,15,6,2,26,2-4,3-5,55.6%,2-3,66.7%,1,5,6,2,0,5,0,15,13
vs Melilla Ciudad Del Deporte 1,17 nov 2017,P  67-78,10,5,5,24,4-8,0-1,44.4%,2-2,100.0%,2,3,5,5,1,0,0,10,16
vs Hiopos Lleida,4 nov 2017,G  93-74,10,2,1,21,2-3,2-3,66.7%,0-0,-,0,2,2,1,0,0,1,10,12
@ Ourense,1 nov 2017,G  84-87,5,3,0,14,0-1,1-3,25.0%,2-2,100.0%,1,2,3,0,0,1,0,5,4
@ C.B. Prat,28 oct 2017,P  75-60,4,6,0,26,2-5,0-1,33.3%,0-0,-,3,3,6,0,0,1,0,4,5
vs Real Valladolid,20 oct 2017,P  59-67,6,5,2,26,0-3,1-2,20.0%,3-6,50.0%,2,3,5,2,1,2,1,6,6
vs Alimerka Oviedo,10 oct 2017,P  71-76,20,3,1,33,6-8,1-5,53.8%,5-5,100.0%,2,1,3,1,0,1,0,20,17
vs Araberri Basket Club,6 oct 2017,G  76-68,22,7,2,37,4-6,4-5,72.7%,2-2,100.0%,2,5,7,2,2,0,0,22,30
@ Biele ISB,1 oct 2017,P  72-71,9,2,1,28,3-5,0-3,37.5%,3-4,75.0%,0,2,2,1,2,1,0,9,7
