PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Rioverde Clavijo,27 abr 2018,P  85-66,7,1,1,25,2-6,1-3,33.3%,0-0,-,1,0,1,1,0,1,0,7,2
vs Rio Breogan,20 abr 2018,P  86-93,20,4,1,26,2-3,5-8,63.6%,1-1,100.0%,0,4,4,1,1,1,0,20,21
@ Levitec Huesca,15 abr 2018,P  82-63,6,1,0,19,0-0,2-5,40.0%,0-0,-,1,0,1,0,0,0,0,6,4
vs Fibwi Palma,7 abr 2018,P  79-90,7,1,1,18,2-3,1-2,60.0%,0-0,-,0,1,1,1,3,0,0,7,10
vs BAXI Manresa,25 mar 2018,P  66-74,8,1,3,23,0-4,2-5,22.2%,2-2,100.0%,0,1,1,3,0,0,0,8,5
@ Súper Agropal Palencia,21 mar 2018,P  76-64,4,3,0,26,2-6,0-2,25.0%,0-0,-,1,2,3,0,1,1,0,4,1
vs Amics Castello,16 mar 2018,G  64-52,4,0,0,21,0-3,1-3,16.7%,1-2,50.0%,0,0,0,0,1,1,0,4,-2
@ Melilla Ciudad Del Deporte 1,9 mar 2018,G  58-85,9,0,1,22,3-6,1-6,33.3%,0-0,-,0,0,0,1,2,0,0,9,4
vs Caceres,2 mar 2018,G  79-75,5,1,2,20,1-3,1-4,28.6%,0-0,-,0,1,1,2,0,1,0,5,2
@ Hiopos Lleida,23 feb 2018,G  72-78,5,0,1,23,1-2,1-4,33.3%,0-0,-,0,0,0,1,0,0,0,5,2
vs C.B. Prat,16 feb 2018,P  65-81,14,2,0,29,1-2,4-7,55.6%,0-0,-,0,2,2,0,0,0,1,14,13
@ Real Valladolid,9 feb 2018,P  94-84,8,1,3,24,0-1,1-7,12.5%,5-6,83.3%,0,1,1,3,0,0,0,8,4
vs Ourense,28 ene 2018,G  77-75,3,0,0,13,1-1,0-2,33.3%,1-1,100.0%,0,0,0,0,1,0,0,3,2
@ Alimerka Oviedo,23 ene 2018,P  80-71,7,3,0,24,2-2,1-3,60.0%,0-0,-,0,3,3,0,2,3,0,7,7
@ Araberri Basket Club,20 ene 2018,G  80-99,11,1,2,27,1-3,3-6,44.4%,0-0,-,0,1,1,2,0,0,0,11,9
vs Biele ISB,12 ene 2018,G  79-59,5,0,0,18,1-3,1-2,40.0%,0-0,-,0,0,0,0,0,0,0,5,2
vs Rioverde Clavijo,7 ene 2018,G  80-66,12,2,1,26,0-3,4-8,36.4%,0-0,-,1,1,2,1,1,2,0,12,7
@ Rio Breogan,29 dic 2017,P  84-73,6,3,0,26,0-1,2-8,22.2%,0-0,-,1,2,3,0,3,0,0,6,5
vs Levitec Huesca,22 dic 2017,P  70-76,8,1,3,28,3-5,0-6,27.3%,2-2,100.0%,0,1,1,3,3,0,0,8,7
@ Fibwi Palma,16 dic 2017,G  90-97,19,2,1,20,2-2,4-5,85.7%,3-3,100.0%,0,2,2,1,1,0,0,19,22
vs FC Barcelona II,10 dic 2017,G  89-79,28,5,1,31,5-6,4-8,64.3%,6-6,100.0%,1,4,5,1,1,1,0,28,29
@ BAXI Manresa,3 dic 2017,G  75-81,20,2,0,26,2-3,4-9,50.0%,4-4,100.0%,0,2,2,0,1,2,0,20,15
vs Súper Agropal Palencia,29 nov 2017,G  96-78,4,2,0,19,2-3,0-2,40.0%,0-0,-,0,2,2,0,0,1,0,4,2
@ Amics Castello,24 nov 2017,P  82-76,12,3,4,34,3-7,2-5,41.7%,0-0,-,1,2,3,4,4,0,0,12,16
vs Melilla Ciudad Del Deporte 1,17 nov 2017,P  67-78,3,2,1,26,0-2,1-5,14.3%,0-0,-,0,2,2,1,0,0,0,3,0
@ Caceres,10 nov 2017,P  80-61,13,3,0,24,2-4,3-8,41.7%,0-0,-,1,2,3,0,0,3,0,13,6
vs Hiopos Lleida,4 nov 2017,G  93-74,15,4,1,27,4-4,2-3,85.7%,1-1,100.0%,0,4,4,1,0,1,0,15,18
@ Ourense,1 nov 2017,G  84-87,16,2,1,26,1-1,4-4,100.0%,2-2,100.0%,0,2,2,1,2,0,0,16,21
@ C.B. Prat,28 oct 2017,P  75-60,3,0,0,22,0-4,0-4,0.0%,3-3,100.0%,0,0,0,0,0,1,0,3,-6
vs Real Valladolid,20 oct 2017,P  59-67,12,3,0,33,1-7,3-6,30.8%,1-1,100.0%,0,3,3,0,2,4,0,12,4
vs Alimerka Oviedo,10 oct 2017,P  71-76,11,0,4,30,1-5,3-8,30.8%,0-0,-,0,0,0,4,1,0,0,11,7
vs Araberri Basket Club,6 oct 2017,G  76-68,3,1,4,27,1-7,0-2,11.1%,1-2,50.0%,0,1,1,4,2,1,1,3,1
@ Biele ISB,1 oct 2017,P  72-71,12,0,0,21,3-5,2-4,55.6%,0-1,0.0%,0,0,0,0,0,2,0,12,5
