PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Rioverde Clavijo,27 abr 2018,P  85-66,11,8,2,24,4-7,1-1,62.5%,0-0,-,2,6,8,2,0,2,0,11,16
vs Rio Breogan,20 abr 2018,P  86-93,11,5,1,23,4-8,0-0,50.0%,3-4,75.0%,1,4,5,1,0,0,0,11,12
@ Levitec Huesca,15 abr 2018,P  82-63,6,1,0,19,2-4,0-0,50.0%,2-2,100.0%,0,1,1,0,0,1,0,6,4
vs Fibwi Palma,7 abr 2018,P  79-90,12,4,1,23,4-6,1-3,55.6%,1-1,100.0%,2,2,4,1,0,0,0,12,13
@ FC Barcelona II,1 abr 2018,G  72-79,6,11,0,23,2-6,0-0,33.3%,2-2,100.0%,3,8,11,0,0,2,0,6,11
vs BAXI Manresa,25 mar 2018,P  66-74,7,6,1,26,3-6,0-2,37.5%,1-2,50.0%,1,5,6,1,0,2,2,7,8
@ Súper Agropal Palencia,21 mar 2018,P  76-64,10,6,0,19,4-5,0-0,80.0%,2-2,100.0%,1,5,6,0,0,0,0,10,15
vs Amics Castello,16 mar 2018,G  64-52,12,8,0,23,5-5,0-0,100.0%,2-2,100.0%,4,4,8,0,1,2,0,12,19
@ Melilla Ciudad Del Deporte 1,9 mar 2018,G  58-85,17,6,0,24,6-8,0-0,75.0%,5-5,100.0%,3,3,6,0,0,0,0,17,21
vs Caceres,2 mar 2018,G  79-75,12,6,0,19,3-6,1-1,57.1%,3-3,100.0%,3,3,6,0,0,1,0,12,14
@ Hiopos Lleida,23 feb 2018,G  72-78,2,2,0,18,1-2,0-0,50.0%,0-0,-,1,1,2,0,1,3,0,2,1
vs C.B. Prat,16 feb 2018,P  65-81,6,1,0,14,3-6,0-0,50.0%,0-0,-,0,1,1,0,0,1,0,6,3
@ Real Valladolid,9 feb 2018,P  94-84,6,2,1,20,3-5,0-0,60.0%,0-0,-,0,2,2,1,0,1,4,6,10
vs Ourense,28 ene 2018,G  77-75,8,6,0,19,4-9,0-0,44.4%,0-0,-,1,5,6,0,0,1,0,8,8
@ Alimerka Oviedo,23 ene 2018,P  80-71,2,4,1,14,1-3,0-1,25.0%,0-0,-,2,2,4,1,0,1,2,2,5
@ Araberri Basket Club,20 ene 2018,G  80-99,7,3,0,11,3-7,0-0,42.9%,1-2,50.0%,1,2,3,0,0,1,0,7,4
vs Biele ISB,12 ene 2018,G  79-59,7,11,1,16,3-7,0-0,42.9%,1-2,50.0%,4,7,11,1,0,0,1,7,15
@ Rio Breogan,29 dic 2017,P  84-73,7,3,1,19,3-3,0-0,100.0%,1-2,50.0%,1,2,3,1,0,2,0,7,8
vs Levitec Huesca,22 dic 2017,P  70-76,4,5,1,17,1-1,0-0,100.0%,2-2,100.0%,1,4,5,1,1,3,0,4,8
@ Fibwi Palma,16 dic 2017,G  90-97,0,4,1,21,0-4,0-2,0.0%,0-0,-,0,4,4,1,2,0,1,0,2
vs FC Barcelona II,10 dic 2017,G  89-79,7,11,2,25,2-5,1-1,50.0%,0-0,-,1,10,11,2,2,1,0,7,18
@ BAXI Manresa,3 dic 2017,G  75-81,3,10,0,18,1-5,0-0,20.0%,1-2,50.0%,1,9,10,0,1,1,0,3,8
vs Súper Agropal Palencia,29 nov 2017,G  96-78,14,3,1,15,4-4,2-2,100.0%,0-0,-,1,2,3,1,0,0,3,14,21
@ Amics Castello,24 nov 2017,P  82-76,12,9,1,22,4-7,0-0,57.1%,4-4,100.0%,4,5,9,1,0,0,0,12,19
vs Melilla Ciudad Del Deporte 1,17 nov 2017,P  67-78,6,4,0,13,2-3,0-1,50.0%,2-2,100.0%,1,3,4,0,0,2,0,6,6
@ Caceres,10 nov 2017,P  80-61,9,8,1,25,2-6,1-2,37.5%,2-2,100.0%,4,4,8,1,2,3,1,9,13
vs Hiopos Lleida,4 nov 2017,G  93-74,10,8,1,24,4-5,0-1,66.7%,2-3,66.7%,2,6,8,1,2,2,1,10,17
@ Ourense,1 nov 2017,G  84-87,7,3,0,18,1-4,1-1,40.0%,2-2,100.0%,0,3,3,0,1,1,0,7,7
@ C.B. Prat,28 oct 2017,P  75-60,6,4,0,17,3-5,0-0,60.0%,0-0,-,0,4,4,0,0,0,0,6,8
vs Real Valladolid,20 oct 2017,P  59-67,7,11,0,24,2-7,0-1,25.0%,3-4,75.0%,2,9,11,0,0,1,1,7,11
vs Alimerka Oviedo,10 oct 2017,P  71-76,12,8,3,29,3-4,0-1,60.0%,6-6,100.0%,0,8,8,3,0,1,1,12,21
vs Araberri Basket Club,6 oct 2017,G  76-68,12,2,0,18,3-10,0-0,30.0%,6-6,100.0%,1,1,2,0,0,0,0,12,7
@ Biele ISB,1 oct 2017,P  72-71,5,7,2,29,2-5,0-1,33.3%,1-2,50.0%,5,2,7,2,0,0,1,5,10
