PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Rio Breogan,27 abr 2018,P  91-65,13,1,0,20,3-4,2-3,71.4%,1-1,100.0%,0,1,1,0,0,5,0,13,7
vs Levitec Huesca,20 abr 2018,G  80-61,0,2,3,22,0-1,0-2,0.0%,0-0,-,0,2,2,3,0,2,0,0,0
@ Fibwi Palma,14 abr 2018,G  76-84,0,1,2,19,0-0,0-1,0.0%,0-0,-,1,0,1,2,0,3,0,0,-1
vs FC Barcelona II,7 abr 2018,G  87-79,0,0,1,17,0-1,0-3,0.0%,0-0,-,0,0,0,1,1,1,0,0,-3
@ BAXI Manresa,1 abr 2018,P  70-68,5,1,4,21,1-1,1-5,33.3%,0-0,-,0,1,1,4,0,2,0,5,4
vs Súper Agropal Palencia,24 mar 2018,G  73-72,2,3,2,20,1-2,0-3,20.0%,0-0,-,0,3,3,2,1,1,0,2,3
@ Amics Castello,20 mar 2018,P  83-62,10,3,5,26,2-4,2-5,44.4%,0-0,-,0,3,3,5,1,3,0,10,11
@ Melilla Ciudad Del Deporte 1,16 mar 2018,G  61-64,11,3,1,27,3-5,1-3,50.0%,2-3,66.7%,0,3,3,1,1,0,0,11,11
@ Caceres,9 mar 2018,G  72-97,0,1,1,22,0-1,0-2,0.0%,0-0,-,0,1,1,1,0,1,0,0,-2
vs Hiopos Lleida,3 mar 2018,G  67-64,11,1,5,31,3-3,1-5,50.0%,2-2,100.0%,0,1,1,5,0,3,0,11,10
@ C.B. Prat,24 feb 2018,P  65-61,10,2,1,29,0-2,3-8,30.0%,1-2,50.0%,0,2,2,1,1,2,0,10,4
vs Real Valladolid,17 feb 2018,G  74-63,16,3,4,31,1-1,4-10,45.5%,2-4,50.0%,0,3,3,4,0,3,0,16,12
@ Ourense,9 feb 2018,P  70-61,5,3,1,24,1-3,1-5,25.0%,0-0,-,1,2,3,1,0,1,0,5,2
@ Araberri Basket Club,28 ene 2018,P  104-74,4,1,5,24,2-2,0-4,33.3%,0-0,-,0,1,1,5,0,0,0,4,6
vs Leyma Coruña,23 ene 2018,G  80-71,4,4,3,23,0-1,1-4,20.0%,1-4,25.0%,1,3,4,3,1,1,1,4,5
@ Biele ISB,21 ene 2018,G  70-77,13,0,4,34,2-5,3-8,38.5%,0-1,0.0%,0,0,0,4,1,2,0,13,7
vs Rioverde Clavijo,13 ene 2018,G  86-70,12,3,2,20,2-2,2-6,50.0%,2-2,100.0%,0,3,3,2,0,4,0,12,9
vs Rio Breogan,7 ene 2018,P  75-87,8,1,4,29,1-1,2-6,42.9%,0-0,-,0,1,1,4,1,2,0,8,8
@ Levitec Huesca,29 dic 2017,G  66-70,15,3,3,27,1-3,3-7,40.0%,4-4,100.0%,0,3,3,3,0,2,0,15,13
vs Fibwi Palma,22 dic 2017,G  80-57,6,0,1,21,3-3,0-1,75.0%,0-0,-,0,0,0,1,1,2,0,6,5
@ FC Barcelona II,17 dic 2017,G  71-86,8,0,11,29,1-2,2-4,50.0%,0-0,-,0,0,0,11,0,1,0,8,15
vs BAXI Manresa,10 dic 2017,G  81-76,16,3,2,32,1-2,2-7,33.3%,8-8,100.0%,1,2,3,2,2,1,0,16,16
@ Súper Agropal Palencia,3 dic 2017,P  73-62,8,4,1,29,1-2,2-4,50.0%,0-0,-,1,3,4,1,0,2,0,8,8
vs Amics Castello,28 nov 2017,G  68-62,13,4,2,29,4-4,0-5,44.4%,5-8,62.5%,0,4,4,2,2,2,0,13,11
vs Melilla Ciudad Del Deporte 1,25 nov 2017,G  79-69,8,0,2,24,0-2,2-4,33.3%,2-2,100.0%,0,0,0,2,1,1,0,8,6
vs Caceres,18 nov 2017,P  78-83,9,1,4,30,2-5,1-5,30.0%,2-2,100.0%,0,1,1,4,1,3,0,9,5
@ Hiopos Lleida,10 nov 2017,G  74-80,13,2,2,36,2-3,3-9,41.7%,0-0,-,1,1,2,2,0,3,0,13,7
vs C.B. Prat,4 nov 2017,P  82-84,12,5,1,27,1-1,2-7,37.5%,4-4,100.0%,0,5,5,1,0,2,0,12,11
@ Real Valladolid,27 oct 2017,P  91-86,19,3,2,33,2-2,4-8,60.0%,3-5,60.0%,0,3,3,2,3,2,0,19,19
vs Ourense,21 oct 2017,G  90-85,8,0,0,18,2-4,0-6,20.0%,4-5,80.0%,0,0,0,0,0,1,0,8,-2
vs Araberri Basket Club,14 oct 2017,P  73-78,12,1,0,25,0-2,4-5,57.1%,0-0,-,0,1,1,0,0,1,0,12,9
@ Leyma Coruña,10 oct 2017,G  71-76,4,2,2,11,0-2,0-2,0.0%,4-4,100.0%,1,1,2,2,0,1,0,4,3
vs Biele ISB,7 oct 2017,G  87-66,3,4,0,21,0-3,1-3,16.7%,0-0,-,0,4,4,0,1,1,0,3,2
@ Rioverde Clavijo,29 sept 2017,G  80-84,16,1,2,29,1-3,2-4,42.9%,8-8,100.0%,0,1,1,2,0,1,0,16,14
