PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,27 abr 2018,P  88-76,16,13,2,25,7-12,0-0,58.3%,2-4,50.0%,10,3,13,2,0,2,0,16,22
vs Araberri Basket Club,20 abr 2018,G  90-66,6,7,2,17,2-4,0-0,50.0%,2-4,50.0%,4,3,7,2,1,0,1,6,13
vs Caceres,13 abr 2018,G  94-65,4,5,4,24,2-4,0-0,50.0%,0-0,-,3,2,5,4,1,2,1,4,11
@ Hiopos Lleida,6 abr 2018,G  60-68,4,8,0,21,1-1,0-0,100.0%,2-2,100.0%,1,7,8,0,0,2,0,4,10
vs C.B. Prat,1 abr 2018,P  62-69,1,0,0,7,0-1,0-0,0.0%,1-2,50.0%,0,0,0,0,0,0,0,1,-1
@ Real Valladolid,25 mar 2018,P  95-70,7,6,0,20,2-3,0-0,66.7%,3-4,75.0%,3,3,6,0,0,0,2,7,13
vs Ourense,21 mar 2018,G  91-80,7,3,0,13,3-5,0-0,60.0%,1-2,50.0%,2,1,3,0,0,0,2,7,9
vs Alimerka Oviedo,16 mar 2018,P  61-64,5,7,0,10,2-4,0-0,50.0%,1-2,50.0%,5,2,7,0,0,3,0,5,6
vs Leyma Coruña,9 mar 2018,P  58-85,1,3,1,12,0-0,0-0,-,1-2,50.0%,1,2,3,1,0,0,0,1,4
@ Biele ISB,4 mar 2018,P  71-67,2,2,1,22,1-1,0-0,100.0%,0-0,-,0,2,2,1,1,1,2,2,7
vs Rioverde Clavijo,23 feb 2018,G  76-68,4,0,0,12,2-3,0-0,66.7%,0-0,-,0,0,0,0,0,1,0,4,2
@ Rio Breogan,17 feb 2018,P  78-67,5,5,0,17,2-2,0-0,100.0%,1-1,100.0%,2,3,5,0,1,0,2,5,13
vs Levitec Huesca,9 feb 2018,G  92-48,4,4,1,20,2-4,0-0,50.0%,0-0,-,1,3,4,1,0,0,2,4,9
@ Fibwi Palma,28 ene 2018,G  57-69,3,4,0,13,1-1,0-0,100.0%,1-1,100.0%,2,2,4,0,1,2,1,3,7
vs FC Barcelona II,24 ene 2018,G  71-54,7,5,0,18,3-6,0-0,50.0%,1-4,25.0%,3,2,5,0,0,2,2,7,6
@ BAXI Manresa,21 ene 2018,G  69-77,3,5,0,11,1-1,0-0,100.0%,1-3,33.3%,2,3,5,0,0,0,0,3,6
@ Súper Agropal Palencia,12 ene 2018,G  69-72,0,3,0,8,0-0,0-0,-,0-0,-,1,2,3,0,0,1,0,0,2
vs Amics Castello,7 ene 2018,G  75-68,2,4,0,9,1-4,0-0,25.0%,0-0,-,0,4,4,0,0,0,1,2,4
@ Araberri Basket Club,29 dic 2017,P  78-73,6,1,0,10,2-2,0-0,100.0%,2-2,100.0%,0,1,1,0,0,0,0,6,7
@ Caceres,22 dic 2017,P  75-73,0,0,0,4,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Hiopos Lleida,15 dic 2017,P  80-95,2,2,0,6,1-1,0-0,100.0%,0-0,-,1,1,2,0,0,0,1,2,5
@ C.B. Prat,10 dic 2017,G  70-73,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,0,2,0,0,-2
vs Real Valladolid,3 dic 2017,G  79-62,3,4,1,18,1-1,0-0,100.0%,1-1,100.0%,0,4,4,1,0,0,3,3,11
@ Ourense,28 nov 2017,G  52-61,10,4,0,11,5-8,0-0,62.5%,0-0,-,2,2,4,0,1,2,1,10,11
@ Alimerka Oviedo,25 nov 2017,P  79-69,0,0,0,7,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Leyma Coruña,17 nov 2017,G  67-78,1,6,0,16,0-5,0-0,0.0%,1-2,50.0%,4,2,6,0,0,1,1,1,1
vs Biele ISB,10 nov 2017,G  84-77,3,2,0,12,1-4,0-0,25.0%,1-2,50.0%,2,0,2,0,0,0,0,3,1
@ Rioverde Clavijo,3 nov 2017,G  71-73,2,1,1,13,1-1,0-0,100.0%,0-0,-,0,1,1,1,0,0,0,2,4
vs Rio Breogan,27 oct 2017,P  79-83,4,3,0,12,0-1,0-0,0.0%,4-6,66.7%,3,0,3,0,1,1,0,4,4
@ Levitec Huesca,22 oct 2017,P  80-70,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
vs Fibwi Palma,15 oct 2017,G  87-72,5,4,0,14,2-4,0-0,50.0%,1-3,33.3%,2,2,4,0,0,0,0,5,5
@ FC Barcelona II,10 oct 2017,G  71-84,6,3,0,15,1-3,0-0,33.3%,4-4,100.0%,2,1,3,0,0,1,1,6,7
vs BAXI Manresa,6 oct 2017,G  68-66,2,1,0,9,1-3,0-0,33.3%,0-2,0.0%,1,0,1,0,0,1,1,2,-1
vs Súper Agropal Palencia,29 sept 2017,G  67-60,5,5,0,15,2-6,0-0,33.3%,1-5,20.0%,4,1,5,0,0,3,3,5,2
