PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,27 abr 2018,P  88-76,8,2,1,14,4-7,0-1,50.0%,0-0,-,1,1,2,1,1,0,0,8,8
vs Araberri Basket Club,20 abr 2018,G  90-66,13,4,2,22,5-5,1-1,100.0%,0-3,0.0%,0,4,4,2,1,0,0,13,17
vs Caceres,13 abr 2018,G  94-65,9,3,5,15,4-4,0-0,100.0%,1-2,50.0%,0,3,3,5,0,1,1,9,16
@ Hiopos Lleida,6 abr 2018,G  60-68,5,10,1,15,2-4,0-0,50.0%,1-2,50.0%,4,6,10,1,1,3,0,5,11
vs C.B. Prat,1 abr 2018,P  62-69,16,5,3,26,8-9,0-0,88.9%,0-1,0.0%,0,5,5,3,0,3,0,16,19
@ Real Valladolid,25 mar 2018,P  95-70,10,6,2,18,4-10,0-0,40.0%,2-2,100.0%,3,3,6,2,0,2,0,10,10
vs Ourense,21 mar 2018,G  91-80,20,7,4,26,9-13,0-0,69.2%,2-2,100.0%,1,6,7,4,0,2,0,20,25
vs Alimerka Oviedo,16 mar 2018,P  61-64,11,9,1,25,5-8,0-0,62.5%,1-6,16.7%,3,6,9,1,0,1,0,11,12
vs Leyma Coruña,9 mar 2018,P  58-85,11,7,3,27,3-7,0-0,42.9%,5-7,71.4%,2,5,7,3,0,2,0,11,13
@ Biele ISB,4 mar 2018,P  71-67,5,8,1,19,2-4,0-1,40.0%,1-1,100.0%,3,5,8,1,1,0,0,5,12
vs Rioverde Clavijo,23 feb 2018,G  76-68,15,5,4,27,5-6,0-0,83.3%,5-6,83.3%,2,3,5,4,1,1,0,15,22
@ Rio Breogan,17 feb 2018,P  78-67,4,6,1,22,2-6,0-0,33.3%,0-0,-,1,5,6,1,0,6,0,4,1
vs Levitec Huesca,9 feb 2018,G  92-48,10,5,1,19,3-6,1-1,57.1%,1-1,100.0%,1,4,5,1,0,2,0,10,11
@ Fibwi Palma,28 ene 2018,G  57-69,13,11,1,26,6-8,0-1,66.7%,1-2,50.0%,3,8,11,1,1,3,0,13,19
vs FC Barcelona II,24 ene 2018,G  71-54,14,6,1,21,7-7,0-0,100.0%,0-0,-,2,4,6,1,3,2,0,14,22
@ BAXI Manresa,21 ene 2018,G  69-77,13,6,9,28,5-10,0-0,50.0%,3-4,75.0%,5,1,6,9,0,3,0,13,19
@ Súper Agropal Palencia,12 ene 2018,G  69-72,23,12,2,31,11-13,0-0,84.6%,1-1,100.0%,5,7,12,2,1,4,0,23,32
vs Amics Castello,7 ene 2018,G  75-68,18,4,3,27,6-7,0-1,75.0%,6-8,75.0%,1,3,4,3,0,4,1,18,18
@ Araberri Basket Club,29 dic 2017,P  78-73,14,3,0,28,6-10,0-0,60.0%,2-6,33.3%,0,3,3,0,0,1,0,14,8
@ Caceres,22 dic 2017,P  75-73,8,12,9,35,4-6,0-0,66.7%,0-0,-,5,7,12,9,0,4,0,8,23
vs Hiopos Lleida,15 dic 2017,P  80-95,13,3,4,33,6-7,0-0,85.7%,1-2,50.0%,2,1,3,4,1,0,0,13,19
@ C.B. Prat,10 dic 2017,G  70-73,15,9,2,39,6-11,0-0,54.5%,3-5,60.0%,2,7,9,2,0,4,0,15,15
vs Real Valladolid,3 dic 2017,G  79-62,16,10,3,21,7-9,0-0,77.8%,2-2,100.0%,2,8,10,3,2,4,0,16,25
@ Ourense,28 nov 2017,G  52-61,4,7,8,28,1-2,0-0,50.0%,2-4,50.0%,2,5,7,8,3,2,1,4,18
@ Alimerka Oviedo,25 nov 2017,P  79-69,2,3,3,24,1-2,0-1,33.3%,0-0,-,0,3,3,3,0,0,1,2,7
@ Leyma Coruña,17 nov 2017,G  67-78,16,5,1,21,6-6,0-0,100.0%,4-4,100.0%,2,3,5,1,0,2,1,16,21
vs Biele ISB,10 nov 2017,G  84-77,20,3,2,26,9-11,0-0,81.8%,2-4,50.0%,1,2,3,2,1,3,1,20,20
@ Rioverde Clavijo,3 nov 2017,G  71-73,10,7,1,26,5-6,0-0,83.3%,0-0,-,1,6,7,1,1,5,1,10,14
vs Rio Breogan,27 oct 2017,P  79-83,12,8,1,21,6-11,0-0,54.5%,0-1,0.0%,4,4,8,1,2,3,0,12,14
@ Levitec Huesca,22 oct 2017,P  80-70,6,8,1,32,2-5,0-1,33.3%,2-4,50.0%,2,6,8,1,1,4,0,6,6
vs Fibwi Palma,15 oct 2017,G  87-72,17,8,7,23,6-7,0-1,75.0%,5-6,83.3%,6,2,8,7,3,0,0,17,32
@ FC Barcelona II,10 oct 2017,G  71-84,9,9,0,24,4-7,0-0,57.1%,1-3,33.3%,2,7,9,0,0,4,0,9,9
vs BAXI Manresa,6 oct 2017,G  68-66,15,11,2,30,7-9,0-1,70.0%,1-3,33.3%,5,6,11,2,0,3,1,15,21
vs Súper Agropal Palencia,29 sept 2017,G  67-60,6,6,5,24,3-7,0-0,42.9%,0-1,0.0%,1,5,6,5,0,3,0,6,9
