PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,27 abr 2018,P  88-76,9,2,1,23,0-2,3-7,33.3%,0-0,-,0,2,2,1,1,1,0,9,6
vs Araberri Basket Club,20 abr 2018,G  90-66,12,1,0,11,3-3,2-3,83.3%,0-0,-,0,1,1,0,1,1,0,12,12
vs Caceres,13 abr 2018,G  94-65,14,3,4,25,1-2,4-8,50.0%,0-0,-,0,3,3,4,1,1,0,14,16
@ Hiopos Lleida,6 abr 2018,G  60-68,10,4,3,30,3-4,1-4,50.0%,1-1,100.0%,2,2,4,3,0,0,0,10,13
vs C.B. Prat,1 abr 2018,P  62-69,3,0,3,13,0-1,1-3,25.0%,0-0,-,0,0,0,3,0,0,0,3,3
@ Real Valladolid,25 mar 2018,P  95-70,4,1,0,16,2-2,0-2,50.0%,0-0,-,0,1,1,0,0,0,1,4,4
vs Ourense,21 mar 2018,G  91-80,8,1,4,22,1-1,2-5,50.0%,0-0,-,0,1,1,4,0,1,0,8,9
vs Alimerka Oviedo,16 mar 2018,P  61-64,6,0,0,19,0-2,2-5,28.6%,0-0,-,0,0,0,0,0,0,0,6,1
vs Leyma Coruña,9 mar 2018,P  58-85,0,0,0,6,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Biele ISB,4 mar 2018,P  71-67,2,0,0,6,1-1,0-2,33.3%,0-0,-,0,0,0,0,0,0,0,2,0
vs Rioverde Clavijo,23 feb 2018,G  76-68,5,1,0,6,2-2,0-2,50.0%,1-1,100.0%,1,0,1,0,1,0,0,5,5
@ Rio Breogan,17 feb 2018,P  78-67,2,1,0,9,1-1,0-1,50.0%,0-0,-,0,1,1,0,0,0,0,2,2
vs Levitec Huesca,9 feb 2018,G  92-48,3,2,2,16,0-0,1-2,50.0%,0-0,-,1,1,2,2,0,0,0,3,6
@ Fibwi Palma,28 ene 2018,G  57-69,3,2,1,15,0-1,1-4,20.0%,0-0,-,0,2,2,1,1,0,0,3,3
vs FC Barcelona II,24 ene 2018,G  71-54,9,1,3,20,0-2,3-6,37.5%,0-0,-,0,1,1,3,0,1,0,9,7
@ BAXI Manresa,21 ene 2018,G  69-77,0,2,0,13,0-3,0-3,0.0%,0-0,-,1,1,2,0,0,0,0,0,-4
@ Súper Agropal Palencia,12 ene 2018,G  69-72,2,0,1,13,1-2,0-2,25.0%,0-0,-,0,0,0,1,0,0,0,2,0
vs Amics Castello,7 ene 2018,G  75-68,2,2,0,28,1-2,0-2,25.0%,0-0,-,1,1,2,0,0,1,0,2,0
@ Araberri Basket Club,29 dic 2017,P  78-73,23,3,0,31,6-8,3-7,60.0%,2-2,100.0%,0,3,3,0,0,2,0,23,18
@ Caceres,22 dic 2017,P  75-73,24,0,1,24,3-3,5-7,80.0%,3-3,100.0%,0,0,0,1,0,0,0,24,23
vs Hiopos Lleida,15 dic 2017,P  80-95,0,0,0,1,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
@ C.B. Prat,10 dic 2017,G  70-73,0,1,0,13,0-3,0-1,0.0%,0-0,-,0,1,1,0,1,0,0,0,-2
vs Real Valladolid,3 dic 2017,G  79-62,3,4,2,15,0-0,1-4,25.0%,0-0,-,0,4,4,2,1,1,0,3,6
@ Ourense,28 nov 2017,G  52-61,6,2,0,22,0-0,2-6,33.3%,0-0,-,0,2,2,0,1,1,0,6,4
@ Alimerka Oviedo,25 nov 2017,P  79-69,7,3,0,17,2-3,1-4,42.9%,0-0,-,0,3,3,0,1,0,0,7,7
@ Leyma Coruña,17 nov 2017,G  67-78,0,1,1,8,0-1,0-2,0.0%,0-0,-,0,1,1,1,0,0,0,0,-1
vs Biele ISB,10 nov 2017,G  84-77,0,0,0,3,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Rioverde Clavijo,3 nov 2017,G  71-73,7,5,1,18,0-0,2-7,28.6%,1-2,50.0%,0,5,5,1,1,2,0,7,6
vs Rio Breogan,27 oct 2017,P  79-83,3,0,0,8,0-1,1-1,50.0%,0-0,-,0,0,0,0,1,0,0,3,3
@ Levitec Huesca,22 oct 2017,P  80-70,3,1,2,18,0-1,1-4,20.0%,0-0,-,0,1,1,2,0,1,0,3,1
vs Fibwi Palma,15 oct 2017,G  87-72,5,2,1,14,1-1,1-2,66.7%,0-0,-,1,1,2,1,1,0,0,5,8
@ FC Barcelona II,10 oct 2017,G  71-84,10,1,2,15,0-2,3-5,42.9%,1-2,50.0%,0,1,1,2,0,0,0,10,8
vs BAXI Manresa,6 oct 2017,G  68-66,3,2,4,20,0-0,1-9,11.1%,0-0,-,1,1,2,4,0,0,0,3,1
vs Súper Agropal Palencia,29 sept 2017,G  67-60,0,3,0,16,0-0,0-4,0.0%,0-0,-,0,3,3,0,0,1,0,0,-2
