PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,27 abr 2018,P  88-76,5,0,0,21,1-3,1-8,18.2%,0-0,-,0,0,0,0,1,1,0,5,-4
vs Araberri Basket Club,20 abr 2018,G  90-66,9,3,4,22,0-1,3-7,37.5%,0-0,-,0,3,3,4,0,1,0,9,10
vs Caceres,13 abr 2018,G  94-65,6,3,3,17,0-0,2-3,66.7%,0-0,-,0,3,3,3,0,2,0,6,9
@ Hiopos Lleida,6 abr 2018,G  60-68,6,2,0,26,1-3,1-3,33.3%,1-2,50.0%,0,2,2,0,0,1,0,6,2
vs C.B. Prat,1 abr 2018,P  62-69,3,4,1,21,0-3,1-4,14.3%,0-0,-,0,4,4,1,0,2,0,3,0
@ Real Valladolid,25 mar 2018,P  95-70,13,1,2,25,2-4,3-7,45.5%,0-0,-,0,1,1,2,0,0,0,13,10
vs Ourense,21 mar 2018,G  91-80,8,1,1,14,0-2,2-5,28.6%,2-2,100.0%,0,1,1,1,0,1,0,8,4
vs Alimerka Oviedo,16 mar 2018,P  61-64,4,2,2,23,1-1,0-3,25.0%,2-2,100.0%,0,2,2,2,1,1,0,4,5
vs Leyma Coruña,9 mar 2018,P  58-85,8,0,1,24,1-1,2-6,42.9%,0-0,-,0,0,0,1,0,3,0,8,2
@ Biele ISB,4 mar 2018,P  71-67,8,2,1,23,1-5,2-2,42.9%,0-0,-,0,2,2,1,0,0,0,8,7
vs Rioverde Clavijo,23 feb 2018,G  76-68,7,1,0,24,2-4,1-2,50.0%,0-0,-,1,0,1,0,0,1,0,7,4
@ Rio Breogan,17 feb 2018,P  78-67,9,3,1,25,2-4,1-5,33.3%,2-2,100.0%,0,3,3,1,0,0,0,9,7
vs Levitec Huesca,9 feb 2018,G  92-48,11,0,2,16,1-3,3-4,57.1%,0-0,-,0,0,0,2,2,0,0,11,12
vs FC Barcelona II,24 ene 2018,G  71-54,2,1,2,14,1-2,0-2,25.0%,0-0,-,0,1,1,2,0,1,0,2,1
@ BAXI Manresa,21 ene 2018,G  69-77,8,1,0,23,0-2,2-5,28.6%,2-2,100.0%,0,1,1,0,4,0,0,8,8
@ Súper Agropal Palencia,12 ene 2018,G  69-72,8,2,3,26,1-2,2-4,50.0%,0-0,-,1,1,2,3,1,0,0,8,11
vs Amics Castello,7 ene 2018,G  75-68,11,3,1,22,1-1,3-5,66.7%,0-0,-,0,3,3,1,0,2,0,11,11
@ Araberri Basket Club,29 dic 2017,P  78-73,0,3,0,9,0-1,0-0,0.0%,0-0,-,1,2,3,0,0,0,0,0,2
@ Caceres,22 dic 2017,P  75-73,3,1,1,15,0-0,1-2,50.0%,0-0,-,0,1,1,1,0,0,0,3,4
vs Hiopos Lleida,15 dic 2017,P  80-95,3,0,0,13,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,1,0,3,0
@ C.B. Prat,10 dic 2017,G  70-73,5,1,0,22,1-3,1-4,28.6%,0-0,-,0,1,1,0,1,0,0,5,2
vs Real Valladolid,3 dic 2017,G  79-62,14,1,3,21,2-3,3-4,71.4%,1-2,50.0%,1,0,1,3,3,0,0,14,18
@ Ourense,28 nov 2017,G  52-61,9,1,0,16,1-4,1-3,28.6%,4-4,100.0%,0,1,1,0,1,2,0,9,4
@ Alimerka Oviedo,25 nov 2017,P  79-69,4,4,1,21,2-2,0-2,50.0%,0-0,-,0,4,4,1,0,3,0,4,4
@ Leyma Coruña,17 nov 2017,G  67-78,6,1,2,12,0-0,2-3,66.7%,0-0,-,0,1,1,2,0,0,0,6,8
vs Biele ISB,10 nov 2017,G  84-77,2,2,2,18,1-2,0-1,33.3%,0-0,-,0,2,2,2,0,0,0,2,4
@ Rioverde Clavijo,3 nov 2017,G  71-73,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Rio Breogan,27 oct 2017,P  79-83,8,0,3,20,3-3,0-7,30.0%,2-2,100.0%,0,0,0,3,2,2,0,8,4
@ Levitec Huesca,22 oct 2017,P  80-70,16,2,2,23,2-3,4-6,66.7%,0-0,-,0,2,2,2,1,4,0,16,14
vs Fibwi Palma,15 oct 2017,G  87-72,11,1,1,21,0-1,3-6,42.9%,2-2,100.0%,0,1,1,1,0,0,0,11,9
@ FC Barcelona II,10 oct 2017,G  71-84,13,2,3,21,1-2,3-5,57.1%,2-2,100.0%,0,2,2,3,0,1,0,13,14
vs BAXI Manresa,6 oct 2017,G  68-66,0,2,0,10,0-0,0-3,0.0%,0-0,-,0,2,2,0,0,0,0,0,-1
vs Súper Agropal Palencia,29 sept 2017,G  67-60,0,2,1,18,0-3,0-0,0.0%,0-0,-,0,2,2,1,0,1,0,0,-1
