PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Caceres,27 abr 2018,P  71-80,6,10,2,28,3-10,0-0,30.0%,0-0,-,5,5,10,2,2,5,0,6,8
@ Hiopos Lleida,20 abr 2018,G  75-84,13,2,4,25,5-11,0-0,45.5%,3-4,75.0%,1,1,2,4,2,2,0,13,12
vs C.B. Prat,13 abr 2018,P  67-76,15,7,3,25,4-9,0-0,44.4%,7-8,87.5%,1,6,7,3,1,2,1,15,19
@ Real Valladolid,6 abr 2018,G  67-72,9,5,2,23,4-11,0-0,36.4%,1-2,50.0%,0,5,5,2,1,3,0,9,6
vs Ourense,1 abr 2018,G  74-72,2,3,3,15,1-7,0-0,14.3%,0-0,-,0,3,3,3,2,0,0,2,4
@ Rio Breogan,4 mar 2018,G  80-82,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
vs Levitec Huesca,23 feb 2018,G  78-63,2,1,0,2,1-2,0-0,50.0%,0-0,-,0,1,1,0,0,0,0,2,2
@ Fibwi Palma,18 feb 2018,G  60-72,2,1,1,9,1-3,0-0,33.3%,0-0,-,0,1,1,1,0,0,0,2,2
vs FC Barcelona II,9 feb 2018,P  62-64,9,5,1,23,4-7,0-0,57.1%,1-2,50.0%,2,3,5,1,1,1,0,9,11
@ BAXI Manresa,28 ene 2018,P  78-73,3,2,0,21,1-4,0-0,25.0%,1-2,50.0%,0,2,2,0,0,0,1,3,2
vs Araberri Basket Club,24 ene 2018,G  97-96,13,8,3,31,4-6,0-0,66.7%,5-7,71.4%,5,3,8,3,1,2,0,13,19
vs Amics Castello,19 ene 2018,P  70-73,18,7,4,31,7-12,0-0,58.3%,4-4,100.0%,3,4,7,4,2,4,1,18,23
vs Melilla Ciudad Del Deporte 1,12 ene 2018,P  69-72,7,5,1,21,3-9,0-0,33.3%,1-2,50.0%,1,4,5,1,2,0,0,7,8
@ Caceres,7 ene 2018,P  71-68,18,7,2,30,6-8,0-1,66.7%,6-6,100.0%,1,6,7,2,1,0,0,18,25
vs Hiopos Lleida,29 dic 2017,G  85-79,20,4,1,32,7-13,0-0,53.8%,6-10,60.0%,0,4,4,1,0,2,0,20,13
@ C.B. Prat,22 dic 2017,P  71-69,12,9,3,22,1-5,0-0,20.0%,10-10,100.0%,2,7,9,3,0,0,0,12,20
vs Real Valladolid,15 dic 2017,G  76-73,12,13,2,32,4-11,0-0,36.4%,4-4,100.0%,1,12,13,2,1,2,0,12,19
@ Ourense,10 dic 2017,G  71-74,9,10,3,28,2-8,0-0,25.0%,5-6,83.3%,2,8,10,3,1,3,1,9,14
vs Alimerka Oviedo,3 dic 2017,G  73-62,9,5,1,24,4-10,0-1,36.4%,1-2,50.0%,2,3,5,1,5,0,0,9,12
@ Leyma Coruña,29 nov 2017,P  96-78,6,4,2,24,1-4,0-0,25.0%,4-4,100.0%,2,2,4,2,0,0,0,6,9
vs Biele ISB,24 nov 2017,G  80-63,8,5,1,19,1-5,0-0,20.0%,6-6,100.0%,1,4,5,1,2,0,1,8,13
@ Rioverde Clavijo,17 nov 2017,P  91-82,12,6,2,25,2-6,0-0,33.3%,8-10,80.0%,1,5,6,2,1,2,0,12,13
vs Rio Breogan,10 nov 2017,P  70-74,6,3,0,19,3-7,0-0,42.9%,0-0,-,2,1,3,0,2,3,0,6,4
@ Levitec Huesca,3 nov 2017,G  64-67,12,12,3,33,4-8,0-1,44.4%,4-6,66.7%,1,11,12,3,0,1,0,12,19
vs Fibwi Palma,27 oct 2017,G  81-77,8,9,2,24,2-6,0-0,33.3%,4-5,80.0%,3,6,9,2,0,2,0,8,12
@ FC Barcelona II,22 oct 2017,G  71-74,5,5,4,26,1-5,0-0,20.0%,3-6,50.0%,0,5,5,4,1,3,0,5,5
vs BAXI Manresa,15 oct 2017,P  72-76,14,9,1,21,6-10,0-0,60.0%,2-2,100.0%,2,7,9,1,0,2,1,14,19
@ Araberri Basket Club,10 oct 2017,P  80-72,6,1,2,22,3-5,0-0,60.0%,0-2,0.0%,1,0,1,2,2,2,0,6,5
@ Amics Castello,6 oct 2017,P  78-75,12,9,1,25,6-11,0-1,50.0%,0-0,-,2,7,9,1,0,1,1,12,16
@ Melilla Ciudad Del Deporte 1,29 sept 2017,P  67-60,12,6,2,25,4-9,0-1,40.0%,4-4,100.0%,1,5,6,2,1,2,0,12,13
