PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Caceres,27 abr 2018,P  71-80,8,6,2,19,1-1,2-5,50.0%,0-0,-,0,6,6,2,1,2,0,8,12
vs C.B. Prat,13 abr 2018,P  67-76,2,1,0,17,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,1,0,2,0
@ Real Valladolid,6 abr 2018,G  67-72,7,1,1,15,0-0,2-7,28.6%,1-2,50.0%,1,0,1,1,1,0,0,7,4
vs Ourense,1 abr 2018,G  74-72,6,1,1,23,0-2,2-6,25.0%,0-0,-,0,1,1,1,0,0,0,6,2
@ Alimerka Oviedo,24 mar 2018,P  73-72,10,3,2,24,3-5,1-3,50.0%,1-1,100.0%,0,3,3,2,0,0,0,10,11
vs Leyma Coruña,21 mar 2018,G  76-64,9,6,0,25,3-5,1-5,40.0%,0-0,-,1,5,6,0,0,1,0,9,8
@ Biele ISB,18 mar 2018,G  69-86,13,2,3,22,2-2,2-3,80.0%,3-5,60.0%,1,1,2,3,1,3,0,13,13
vs Rioverde Clavijo,9 mar 2018,G  86-71,17,3,3,19,1-1,5-7,75.0%,0-0,-,0,3,3,3,3,1,0,17,23
@ Rio Breogan,4 mar 2018,G  80-82,12,6,6,29,1-4,3-4,50.0%,1-2,50.0%,1,5,6,6,2,0,1,12,22
vs Levitec Huesca,23 feb 2018,G  78-63,15,3,4,31,0-3,5-10,38.5%,0-0,-,2,1,3,4,2,4,0,15,12
@ Fibwi Palma,18 feb 2018,G  60-72,7,0,0,31,2-5,1-2,42.9%,0-0,-,0,0,0,0,0,0,0,7,3
vs FC Barcelona II,9 feb 2018,P  62-64,8,4,0,24,1-4,2-8,25.0%,0-0,-,0,4,4,0,0,1,0,8,2
@ BAXI Manresa,28 ene 2018,P  78-73,14,5,1,23,2-6,3-7,38.5%,1-2,50.0%,0,5,5,1,0,3,0,14,8
vs Araberri Basket Club,24 ene 2018,G  97-96,14,2,8,32,2-4,3-7,45.5%,1-2,50.0%,2,0,2,8,1,1,0,14,17
vs Amics Castello,19 ene 2018,P  70-73,10,1,2,29,4-6,0-6,33.3%,2-2,100.0%,0,1,1,2,1,0,0,10,6
vs Melilla Ciudad Del Deporte 1,12 ene 2018,P  69-72,3,2,5,31,0-1,1-6,14.3%,0-0,-,0,2,2,5,3,1,0,3,6
@ Caceres,7 ene 2018,P  71-68,13,2,3,26,2-4,3-8,41.7%,0-0,-,0,2,2,3,0,0,0,13,11
vs Hiopos Lleida,29 dic 2017,G  85-79,12,4,3,20,0-0,4-4,100.0%,0-0,-,0,4,4,3,1,1,0,12,19
@ C.B. Prat,22 dic 2017,P  71-69,14,0,2,18,1-2,3-3,80.0%,3-4,75.0%,0,0,0,2,0,2,0,14,12
vs Real Valladolid,15 dic 2017,G  76-73,4,2,0,12,2-2,0-3,40.0%,0-0,-,1,1,2,0,0,1,0,4,2
@ Ourense,10 dic 2017,G  71-74,15,3,1,15,3-3,2-2,100.0%,3-3,100.0%,0,3,3,1,0,1,0,15,18
vs Alimerka Oviedo,3 dic 2017,G  73-62,0,2,0,12,0-1,0-4,0.0%,0-0,-,0,2,2,0,0,0,1,0,-2
@ Leyma Coruña,29 nov 2017,P  96-78,5,2,1,15,1-1,1-3,50.0%,0-0,-,1,1,2,1,2,0,0,5,8
