PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,27 abr 2018,G  74-62,2,5,1,10,1-2,0-0,50.0%,0-0,-,1,4,5,1,0,1,0,2,6
@ Ourense,20 abr 2018,G  63-76,6,3,1,14,3-6,0-0,50.0%,0-0,-,2,1,3,1,0,0,0,6,7
vs Alimerka Oviedo,14 abr 2018,P  76-84,8,6,2,22,4-5,0-0,80.0%,0-0,-,3,3,6,2,0,1,1,8,15
@ Leyma Coruña,7 abr 2018,G  79-90,4,5,0,19,1-3,0-0,33.3%,2-6,33.3%,2,3,5,0,0,1,0,4,2
vs Biele ISB,31 mar 2018,P  56-80,4,1,0,7,2-3,0-0,66.7%,0-0,-,0,1,1,0,0,0,0,4,4
@ Rioverde Clavijo,25 mar 2018,P  76-60,4,2,1,11,2-2,0-0,100.0%,0-0,-,0,2,2,1,0,1,1,4,7
vs Rio Breogan,21 mar 2018,G  80-70,0,1,0,3,0-2,0-0,0.0%,0-0,-,1,0,1,0,0,1,0,0,-2
@ Levitec Huesca,18 mar 2018,G  71-79,2,2,1,12,1-4,0-0,25.0%,0-0,-,0,2,2,1,1,2,0,2,1
vs Araberri Basket Club,11 mar 2018,G  71-70,8,3,3,16,3-3,0-0,100.0%,2-4,50.0%,1,2,3,3,0,0,0,8,12
vs FC Barcelona II,3 mar 2018,G  76-65,5,2,0,11,2-3,0-0,66.7%,1-2,50.0%,0,2,2,0,1,1,0,5,5
@ BAXI Manresa,25 feb 2018,P  72-67,6,2,0,14,3-3,0-0,100.0%,0-0,-,1,1,2,0,0,1,0,6,7
vs Súper Agropal Palencia,18 feb 2018,P  60-72,2,7,0,13,1-4,0-0,25.0%,0-0,-,4,3,7,0,0,2,1,2,5
@ Amics Castello,9 feb 2018,P  82-66,6,7,2,26,3-5,0-0,60.0%,0-0,-,0,7,7,2,1,3,0,6,11
vs Melilla Ciudad Del Deporte 1,28 ene 2018,P  57-69,5,3,2,22,2-5,0-0,40.0%,1-2,50.0%,1,2,3,2,0,0,0,5,6
@ Caceres,24 ene 2018,P  79-77,6,5,1,15,3-3,0-0,100.0%,0-0,-,2,3,5,1,1,3,1,6,11
vs Hiopos Lleida,20 ene 2018,P  76-80,10,7,3,23,5-6,0-0,83.3%,0-0,-,4,3,7,3,0,3,0,10,16
@ C.B. Prat,13 ene 2018,P  78-76,4,9,5,26,2-3,0-0,66.7%,0-0,-,1,8,9,5,2,1,1,4,19
@ Real Valladolid,7 ene 2018,G  84-89,6,6,2,30,2-5,0-0,40.0%,2-2,100.0%,1,5,6,2,0,2,0,6,9
vs Ourense,30 dic 2017,P  67-69,5,7,2,28,2-5,0-0,40.0%,1-2,50.0%,4,3,7,2,2,1,0,5,11
@ Alimerka Oviedo,22 dic 2017,P  80-57,2,6,0,13,1-4,0-0,25.0%,0-0,-,3,3,6,0,0,1,0,2,4
vs Leyma Coruña,16 dic 2017,P  90-97,12,3,2,23,6-8,0-0,75.0%,0-1,0.0%,1,2,3,2,1,2,1,12,14
@ Biele ISB,9 dic 2017,P  70-62,0,4,2,14,0-2,0-0,0.0%,0-0,-,2,2,4,2,0,2,0,0,2
vs Rioverde Clavijo,2 dic 2017,G  95-76,6,2,3,20,3-3,0-0,100.0%,0-0,-,0,2,2,3,0,2,0,6,9
@ Rio Breogan,29 nov 2017,P  93-80,6,1,1,11,3-4,0-0,75.0%,0-1,0.0%,1,0,1,1,1,1,0,6,6
vs Levitec Huesca,25 nov 2017,G  68-60,8,12,1,21,4-4,0-0,100.0%,0-0,-,6,6,12,1,1,3,0,8,19
@ Araberri Basket Club,19 nov 2017,G  85-88,10,3,0,20,4-6,0-0,66.7%,2-3,66.7%,1,2,3,0,0,2,1,10,9
@ FC Barcelona II,12 nov 2017,P  69-53,0,0,0,6,0-2,0-0,0.0%,0-0,-,0,0,0,0,0,3,0,0,-5
vs Amics Castello,22 oct 2017,P  78-80,8,5,1,13,4-6,0-1,57.1%,0-0,-,4,1,5,1,0,0,0,8,11
@ Melilla Ciudad Del Deporte 1,15 oct 2017,P  87-72,6,7,0,23,3-7,0-0,42.9%,0-0,-,4,3,7,0,0,2,0,6,7
vs Caceres,11 oct 2017,G  69-64,10,16,1,28,5-10,0-0,50.0%,0-0,-,5,11,16,1,7,6,0,10,23
@ Hiopos Lleida,6 oct 2017,G  89-94,12,8,2,24,6-11,0-0,54.5%,0-2,0.0%,5,3,8,2,1,3,0,12,13
vs C.B. Prat,30 sept 2017,P  65-79,8,7,1,30,4-5,0-0,80.0%,0-0,-,1,6,7,1,2,1,0,8,16
