PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,27 abr 2018,G  74-62,2,6,8,31,1-5,0-0,20.0%,0-0,-,2,4,6,8,2,1,0,2,13
@ Ourense,20 abr 2018,G  63-76,2,3,3,18,1-3,0-1,25.0%,0-0,-,2,1,3,3,0,1,1,2,5
vs Alimerka Oviedo,14 abr 2018,P  76-84,6,2,4,20,3-4,0-0,75.0%,0-0,-,1,1,2,4,2,2,0,6,11
@ Leyma Coruña,7 abr 2018,G  79-90,10,2,4,17,2-2,2-4,66.7%,0-0,-,1,1,2,4,0,0,0,10,14
vs Biele ISB,31 mar 2018,P  56-80,6,1,0,16,3-4,0-1,60.0%,0-0,-,0,1,1,0,2,0,0,6,7
@ Rioverde Clavijo,25 mar 2018,P  76-60,3,1,4,19,0-1,1-5,16.7%,0-0,-,0,1,1,4,2,3,0,3,2
vs Rio Breogan,21 mar 2018,G  80-70,3,5,4,28,0-2,0-0,0.0%,3-4,75.0%,0,5,5,4,3,1,0,3,11
@ Levitec Huesca,18 mar 2018,G  71-79,4,0,1,12,0-0,1-1,100.0%,1-2,50.0%,0,0,0,1,0,1,0,4,3
vs Araberri Basket Club,11 mar 2018,G  71-70,2,3,2,23,1-5,0-2,14.3%,0-0,-,2,1,3,2,1,0,0,2,2
vs FC Barcelona II,3 mar 2018,G  76-65,2,4,0,13,1-3,0-1,25.0%,0-0,-,1,3,4,0,1,2,0,2,2
@ BAXI Manresa,25 feb 2018,P  72-67,0,2,5,19,0-1,0-0,0.0%,0-0,-,0,2,2,5,1,4,0,0,3
vs Súper Agropal Palencia,18 feb 2018,P  60-72,10,3,1,23,5-8,0-0,62.5%,0-0,-,3,0,3,1,2,2,0,10,11
@ Amics Castello,9 feb 2018,P  82-66,0,1,1,10,0-1,0-1,0.0%,0-0,-,0,1,1,1,0,2,0,0,-2
@ Surrey 89ers,1 ene 2018,P  82-80,0,2,3,11,0-1,0-0,0.0%,0-0,-,0,2,2,3,1,3,1,0,3
@ Caledonia Gladiators (M),29 dic 2017,P  76-69,4,6,2,16,2-2,0-5,28.6%,0-0,-,3,3,6,2,1,1,1,4,8
vs Plymouth Raiders,22 dic 2017,G  95-67,3,7,10,27,0-0,1-4,25.0%,0-0,-,0,7,7,10,2,1,0,3,18
@ Leicester Riders,8 dic 2017,P  78-77,3,1,3,14,0-1,1-3,25.0%,0-0,-,0,1,1,3,1,2,0,3,3
@ Bristol Flyers,17 nov 2017,G  63-67,0,5,1,21,0-2,0-2,0.0%,0-0,-,1,4,5,1,0,4,0,0,-2
@ Plymouth Raiders,5 nov 2017,G  70-75,7,5,2,18,2-4,0-1,40.0%,3-3,100.0%,0,5,5,2,0,0,0,7,11
vs Caledonia Gladiators (M),3 nov 2017,G  86-70,2,2,0,15,1-4,0-1,20.0%,0-0,-,1,1,2,0,0,2,0,2,-2
@ Sheffield Sharks,27 oct 2017,P  83-73,4,2,4,23,1-2,0-1,33.3%,2-2,100.0%,0,2,2,4,0,2,0,4,6
@ Cheshire Phoenix,22 oct 2017,P  78-71,4,3,4,24,2-3,0-3,33.3%,0-0,-,0,3,3,4,2,1,1,4,9
@ Newcastle Eagles,13 oct 2017,P  85-79,6,4,6,26,1-3,1-2,40.0%,1-2,50.0%,1,3,4,6,0,3,0,6,9
vs Manchester Giants,6 oct 2017,G  115-74,2,0,2,13,1-1,0-1,50.0%,0-0,-,0,0,0,2,0,2,0,2,1
vs Surrey 89ers,1 oct 2017,G  93-78,5,3,9,25,1-2,0-1,33.3%,3-4,75.0%,0,3,3,9,0,6,0,5,8
@ Worcester Wolves,29 sept 2017,G  72-88,11,3,7,24,1-2,3-3,80.0%,0-0,-,0,3,3,7,0,3,1,11,18
