PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs PrismaWorx BAL,28 abr 2019,G  83-78,14,0,5,29,3-5,1-1,66.7%,5-6,83.3%,0,0,0,5,0,3,0,14,13
vs Apollo Amsterdam,25 abr 2019,G  102-82,11,5,5,32,5-9,0-2,45.5%,1-2,50.0%,0,5,5,5,2,1,0,11,15
@ Donar Groningen,20 abr 2019,P  96-63,15,3,6,31,2-4,3-7,45.5%,2-3,66.7%,0,3,3,6,0,4,1,15,14
@ ZZ Leiden,18 abr 2019,P  83-61,7,3,4,35,2-2,1-2,75.0%,0-0,-,2,1,3,4,1,5,0,7,9
vs Rotterdam City Basketball,13 abr 2019,G  80-69,15,2,4,35,4-6,1-5,45.5%,4-4,100.0%,0,2,2,4,0,0,0,15,15
@ Landstede Hammers,4 abr 2019,P  92-57,11,1,3,21,4-10,1-2,41.7%,0-0,-,0,1,1,3,1,1,0,11,8
vs Heroes Den Bosch,23 mar 2019,P  76-87,20,3,7,39,2-7,2-3,40.0%,10-12,83.3%,1,2,3,7,1,3,0,20,20
@ LWD Basket,19 mar 2019,G  62-93,5,3,3,28,1-3,1-4,28.6%,0-0,-,1,2,3,3,1,3,0,5,4
vs PrismaWorx BAL,9 mar 2019,G  95-64,9,3,4,21,2-4,1-1,60.0%,2-2,100.0%,0,3,3,4,1,2,0,9,13
@ Apollo Amsterdam,7 mar 2019,P  92-80,19,4,1,33,3-8,2-4,41.7%,7-7,100.0%,2,2,4,1,0,0,0,19,17
vs Donar Groningen,2 mar 2019,P  67-96,6,0,10,33,3-8,0-4,25.0%,0-0,-,0,0,0,10,1,2,0,6,6
vs ZZ Leiden,16 feb 2019,P  57-68,8,3,3,29,3-8,0-0,37.5%,2-3,66.7%,1,2,3,3,3,3,0,8,8
@ Rotterdam City Basketball,10 feb 2019,P  72-69,14,6,7,34,5-7,0-3,50.0%,4-4,100.0%,0,6,6,7,2,0,0,14,24
vs Heroes Den Bosch,7 feb 2019,P  55-88,3,5,5,32,0-4,1-3,14.3%,0-0,-,1,4,5,5,2,8,0,3,1
vs Leyma Coruña,21 dic 2018,P  59-72,2,2,4,17,1-5,0-3,12.5%,0-0,-,0,2,2,4,1,0,0,2,2
@ Real Valladolid,18 dic 2018,P  70-56,0,1,0,14,0-3,0-1,0.0%,0-0,-,1,0,1,0,0,0,0,0,-3
vs Hiopos Lleida,7 dic 2018,G  70-66,5,2,3,21,1-2,1-2,50.0%,0-0,-,0,2,2,3,2,2,0,5,8
vs FC Barcelona II,23 nov 2018,G  85-81,6,0,4,17,1-3,1-2,40.0%,1-2,50.0%,0,0,0,4,0,1,0,6,5
@ Real Canoe N.C.,16 nov 2018,P  72-65,3,3,3,19,1-3,0-1,25.0%,1-2,50.0%,1,2,3,3,2,2,0,3,5
vs Coviran Granada,9 nov 2018,P  69-78,0,1,4,17,0-4,0-1,0.0%,0-0,-,0,1,1,4,0,0,0,0,0
@ Melilla Ciudad Del Deporte 1,2 nov 2018,P  82-72,8,3,2,23,4-7,0-1,50.0%,0-0,-,0,3,3,2,1,3,0,8,7
vs Ourense,26 oct 2018,P  80-85,5,2,1,24,0-1,1-4,20.0%,2-2,100.0%,0,2,2,1,1,1,0,5,4
@ Súper Agropal Palencia,19 oct 2018,P  84-59,6,3,2,25,3-10,0-1,27.3%,0-1,0.0%,1,2,3,2,0,2,0,6,0
vs Caceres,14 oct 2018,G  84-60,6,0,5,19,0-1,2-3,50.0%,0-0,-,0,0,0,5,4,2,0,6,11
@ Surne Bilbao,10 oct 2018,P  87-78,10,2,1,18,2-4,2-3,57.1%,0-0,-,1,1,2,1,1,1,0,10,10
vs C.B. Prat,5 oct 2018,G  78-71,5,1,0,19,1-2,1-3,40.0%,0-0,-,0,1,1,0,1,2,0,5,2
