PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Fibwi Palma,3 may 2019,P  99-100,7,5,2,20,2-5,1-2,42.9%,0-0,-,1,4,5,2,0,1,1,7,10
@ Real Betis,26 abr 2019,P  78-63,0,5,2,18,0-0,0-1,0.0%,0-0,-,1,4,5,2,0,1,0,0,5
vs Real Valladolid,21 abr 2019,P  83-94,13,5,0,18,3-5,2-2,71.4%,1-2,50.0%,1,4,5,0,0,0,0,13,15
@ Leyma Coruña,12 abr 2019,G  83-84,17,5,1,22,5-7,2-3,70.0%,1-1,100.0%,0,5,5,1,0,0,1,17,21
vs Levitec Huesca,6 abr 2019,P  79-82,10,8,0,17,4-4,0-1,80.0%,2-4,50.0%,4,4,8,0,0,1,1,10,15
@ Hiopos Lleida,29 mar 2019,P  88-82,8,5,1,18,2-4,1-2,50.0%,1-1,100.0%,1,4,5,1,1,2,0,8,10
vs Araberri Basket Club,22 mar 2019,G  79-66,0,1,0,12,0-1,0-1,0.0%,0-0,-,1,0,1,0,0,0,0,0,-1
vs Alimerka Oviedo,19 mar 2019,P  84-89,10,5,3,23,2-3,2-3,66.7%,0-0,-,1,4,5,3,0,0,0,10,16
@ FC Barcelona II,16 mar 2019,G  57-62,4,7,0,12,2-3,0-1,50.0%,0-0,-,1,6,7,0,0,1,1,4,9
vs Real Canoe N.C.,8 mar 2019,G  88-75,6,3,3,20,3-4,0-1,60.0%,0-0,-,1,2,3,3,3,2,0,6,11
@ Coviran Granada,2 mar 2019,P  70-59,2,2,1,9,1-1,0-1,50.0%,0-0,-,2,0,2,1,0,1,0,2,3
vs Melilla Ciudad Del Deporte 1,22 feb 2019,P  73-81,7,7,1,18,2-4,1-2,50.0%,0-0,-,2,5,7,1,0,0,2,7,14
@ Ourense,16 feb 2019,G  72-82,6,3,0,13,2-4,0-1,40.0%,2-2,100.0%,1,2,3,0,0,1,0,6,5
vs Súper Agropal Palencia,1 feb 2019,P  66-72,5,5,1,16,1-1,1-1,100.0%,0-2,0.0%,1,4,5,1,1,0,1,5,11
@ Caceres,27 ene 2019,G  81-86,4,2,0,10,0-0,1-2,50.0%,1-2,50.0%,0,2,2,0,1,0,0,4,5
vs Surne Bilbao,23 ene 2019,G  74-62,9,3,0,19,2-2,1-1,100.0%,2-2,100.0%,0,3,3,0,1,3,0,9,10
@ C.B. Prat,19 ene 2019,G  72-82,5,3,0,12,2-3,0-1,50.0%,1-1,100.0%,0,3,3,0,1,1,0,5,6
@ Fibwi Palma,13 ene 2019,G  82-86,0,1,0,2,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
vs Real Betis,4 ene 2019,P  69-74,2,3,2,13,0-0,0-1,0.0%,2-2,100.0%,0,3,3,2,0,0,1,2,7
vs Leyma Coruña,21 dic 2018,P  59-72,0,6,0,10,0-2,0-0,0.0%,0-0,-,0,6,6,0,0,1,1,0,4
@ Real Valladolid,18 dic 2018,P  70-56,2,2,0,13,0-0,0-1,0.0%,2-4,50.0%,1,1,2,0,0,0,1,2,2
@ Levitec Huesca,14 dic 2018,P  95-84,12,8,1,25,4-5,1-3,62.5%,1-1,100.0%,1,7,8,1,1,1,1,12,19
vs Hiopos Lleida,7 dic 2018,G  70-66,16,7,3,28,4-7,2-3,60.0%,2-4,50.0%,0,7,7,3,1,2,1,16,20
@ Araberri Basket Club,2 dic 2018,P  80-78,7,2,1,19,2-2,0-0,100.0%,3-4,75.0%,1,1,2,1,0,0,0,7,9
@ Alimerka Oviedo,28 nov 2018,P  95-70,2,8,1,19,1-4,0-2,16.7%,0-0,-,2,6,8,1,0,1,1,2,6
vs FC Barcelona II,23 nov 2018,G  85-81,2,4,1,12,1-3,0-1,25.0%,0-1,0.0%,1,3,4,1,2,0,0,2,5
@ Real Canoe N.C.,16 nov 2018,P  72-65,9,2,0,15,2-4,1-2,50.0%,2-4,50.0%,1,1,2,0,0,2,0,9,4
vs Coviran Granada,9 nov 2018,P  69-78,14,7,1,18,4-5,2-4,66.7%,0-0,-,2,5,7,1,1,2,3,14,21
@ Melilla Ciudad Del Deporte 1,2 nov 2018,P  82-72,7,0,1,13,0-1,2-5,33.3%,1-2,50.0%,0,0,0,1,2,0,0,7,5
vs Ourense,26 oct 2018,P  80-85,2,11,0,19,0-3,0-2,0.0%,2-2,100.0%,4,7,11,0,1,0,2,2,11
@ Súper Agropal Palencia,19 oct 2018,P  84-59,6,9,2,31,3-8,0-2,30.0%,0-0,-,2,7,9,2,2,1,3,6,14
vs Caceres,14 oct 2018,G  84-60,6,11,3,22,2-4,0-1,40.0%,2-2,100.0%,2,9,11,3,0,1,0,6,16
@ Surne Bilbao,10 oct 2018,P  87-78,0,3,2,15,0-1,0-1,0.0%,0-0,-,0,3,3,2,0,0,1,0,4
vs C.B. Prat,5 oct 2018,G  78-71,14,8,1,24,7-9,0-2,63.6%,0-0,-,3,5,8,1,1,2,1,14,19
