PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Aurore de Vitré,12 may 2019,P  87-68,12,1,0,28,1-3,3-11,28.6%,1-3,33.3%,1,0,1,0,0,1,0,12,0
vs Toulouse Basketball Club,4 may 2019,P  70-105,19,7,2,36,3-6,3-9,40.0%,4-4,100.0%,0,7,7,2,3,3,0,19,19
@ Stade Rochelais,27 abr 2019,P  86-79,18,3,2,38,3-6,3-9,40.0%,3-4,75.0%,0,3,3,2,0,2,0,18,11
vs Angers,23 abr 2019,G  86-79,22,5,5,38,3-7,4-10,41.2%,4-6,66.7%,1,4,5,5,2,4,0,22,18
@ Tours,19 abr 2019,P  80-64,10,3,2,32,2-4,2-6,40.0%,0-0,-,1,2,3,2,1,0,0,10,10
vs Aurore de Vitré,13 abr 2019,G  68-63,25,11,2,40,2-10,7-21,29.0%,0-0,-,4,7,11,2,0,0,0,25,16
@ Toulouse Basketball Club,5 abr 2019,P  78-48,7,4,1,31,0-3,2-7,20.0%,1-2,50.0%,0,4,4,1,0,2,0,7,1
vs Stade Rochelais,29 mar 2019,P  76-84,11,5,3,30,1-3,3-10,30.8%,0-0,-,1,4,5,3,1,4,0,11,7
@ Angers,26 mar 2019,P  107-89,27,3,1,33,0-2,7-7,77.8%,6-7,85.7%,0,3,3,1,1,2,1,27,28
vs Tours,23 mar 2019,P  81-96,23,7,1,31,3-7,4-5,58.3%,5-5,100.0%,2,5,7,1,1,3,0,23,24
@ Avignon Le Pontet,9 mar 2019,P  85-84,27,2,2,29,5-5,4-9,64.3%,5-6,83.3%,0,2,2,2,2,3,0,27,24
vs Fibwi Palma,23 feb 2019,P  76-79,3,1,0,5,0-0,1-1,100.0%,0-0,-,0,1,1,0,0,0,0,3,4
@ Real Canoe N.C.,15 feb 2019,G  64-75,0,2,1,9,0-1,0-0,0.0%,0-0,-,0,2,2,1,0,1,0,0,1
vs Real Betis,2 feb 2019,P  55-81,0,0,0,10,0-1,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-3
@ Coviran Granada,26 ene 2019,P  86-59,5,2,0,9,0-1,1-3,25.0%,2-2,100.0%,0,2,2,0,0,0,0,5,4
vs Real Valladolid,22 ene 2019,P  78-82,5,0,1,10,1-2,1-2,50.0%,0-0,-,0,0,0,1,0,0,0,5,4
@ Melilla Ciudad Del Deporte 1,18 ene 2019,G  77-82,9,1,3,18,3-5,1-3,50.0%,0-0,-,1,0,1,3,1,0,0,9,10
@ Leyma Coruña,11 ene 2019,P  96-82,11,1,2,17,1-4,3-5,44.4%,0-0,-,0,1,1,2,0,0,0,11,9
vs Ourense,6 ene 2019,P  85-94,13,1,1,15,2-5,2-4,44.4%,3-5,60.0%,0,1,1,1,0,0,1,13,9
vs Levitec Huesca,29 dic 2018,P  81-87,2,1,0,13,1-3,0-2,20.0%,0-0,-,0,1,1,0,0,0,0,2,-1
@ Súper Agropal Palencia,21 dic 2018,P  92-87,0,1,1,4,0-2,0-1,0.0%,0-2,0.0%,1,0,1,1,2,0,0,0,-1
vs Hiopos Lleida,14 dic 2018,P  73-89,8,2,1,15,1-2,2-5,42.9%,0-0,-,1,1,2,1,1,1,0,8,7
@ Caceres,7 dic 2018,P  77-64,5,3,1,19,1-2,1-5,28.6%,0-0,-,0,3,3,1,0,1,0,5,3
vs Amics Castello,2 dic 2018,G  80-78,5,1,0,5,1-2,1-4,33.3%,0-0,-,0,1,1,0,1,0,0,5,3
@ Surne Bilbao,27 nov 2018,G  76-77,8,1,2,21,1-2,2-7,33.3%,0-0,-,1,0,1,2,0,3,0,8,2
vs Alimerka Oviedo,24 nov 2018,G  74-72,7,2,0,15,0-0,2-3,66.7%,1-2,50.0%,0,2,2,0,1,0,1,7,9
@ C.B. Prat,17 nov 2018,G  75-88,0,4,0,15,0-4,0-4,0.0%,0-0,-,2,2,4,0,2,0,0,0,-2
vs FC Barcelona II,10 nov 2018,P  81-96,2,3,0,18,1-2,0-3,20.0%,0-0,-,0,3,3,0,1,1,0,2,1
@ Fibwi Palma,4 nov 2018,G  71-79,11,2,0,23,1-4,3-4,50.0%,0-0,-,1,1,2,0,0,1,0,11,8
vs Real Canoe N.C.,27 oct 2018,P  69-92,6,5,0,15,3-5,0-2,42.9%,0-1,0.0%,1,4,5,0,1,0,0,6,7
@ Real Betis,19 oct 2018,P  94-82,7,1,0,17,2-2,1-5,42.9%,0-0,-,0,1,1,0,1,1,0,7,4
vs Coviran Granada,13 oct 2018,P  84-90,12,0,0,26,0-1,4-8,44.4%,0-0,-,0,0,0,0,1,1,1,12,8
@ Real Valladolid,9 oct 2018,P  91-79,16,4,0,22,5-7,2-10,41.2%,0-0,-,2,2,4,0,1,1,0,16,10
vs Melilla Ciudad Del Deporte 1,6 oct 2018,P  109-111,4,9,0,25,2-3,0-4,28.6%,0-1,0.0%,1,8,9,0,0,5,0,4,2
