PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Levitec Huesca,21 abr 2019,P  105-68,0,0,1,7,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
vs Súper Agropal Palencia,13 abr 2019,P  82-94,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Surne Bilbao,19 mar 2019,P  52-76,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Alimerka Oviedo,16 mar 2019,P  71-63,0,1,0,1,0-1,0-0,0.0%,0-0,-,1,0,1,0,0,0,0,0,0
vs Fibwi Palma,23 feb 2019,P  76-79,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Melilla Ciudad Del Deporte 1,18 ene 2019,G  77-82,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Ourense,6 ene 2019,P  85-94,0,0,0,1,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Amics Castello,2 dic 2018,G  80-78,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Surne Bilbao,27 nov 2018,G  76-77,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ C.B. Prat,17 nov 2018,G  75-88,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs FC Barcelona II,10 nov 2018,P  81-96,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Fibwi Palma,4 nov 2018,G  71-79,0,2,0,3,0-0,0-0,-,0-0,-,0,2,2,0,0,0,0,0,2
vs Real Canoe N.C.,27 oct 2018,P  69-92,0,0,1,10,0-0,0-1,0.0%,0-0,-,0,0,0,1,2,0,0,0,2
vs Coviran Granada,13 oct 2018,P  84-90,0,1,0,3,0-0,0-1,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
@ Real Valladolid,9 oct 2018,P  91-79,0,2,0,2,0-0,0-0,-,0-0,-,1,1,2,0,1,1,0,0,2
vs Melilla Ciudad Del Deporte 1,6 oct 2018,P  109-111,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,1,0,0,0,1
