PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Leyma Coruña,3 may 2019,P  76-82,35,2,4,36,7-12,4-10,50.0%,9-10,90.0%,0,2,2,4,3,1,0,35,31
@ Ourense,26 abr 2019,P  65-58,9,2,2,22,0-1,3-7,37.5%,0-0,-,0,2,2,2,0,2,0,9,6
@ Levitec Huesca,21 abr 2019,P  105-68,11,2,3,35,2-6,1-9,20.0%,4-7,57.1%,1,1,2,3,5,4,0,11,2
vs Súper Agropal Palencia,13 abr 2019,P  82-94,18,4,4,34,6-9,1-8,41.2%,3-5,60.0%,1,3,4,4,0,1,0,18,13
@ Hiopos Lleida,5 abr 2019,P  68-52,15,3,6,35,2-10,3-8,27.8%,2-2,100.0%,1,2,3,6,0,6,0,15,5
vs Caceres,31 mar 2019,P  67-68,17,4,5,34,3-8,2-9,29.4%,5-6,83.3%,2,2,4,5,2,7,0,17,8
@ Amics Castello,22 mar 2019,P  79-66,8,4,9,28,2-6,1-7,23.1%,1-2,50.0%,0,4,4,9,1,2,0,8,9
vs Surne Bilbao,19 mar 2019,P  52-76,6,0,4,26,2-4,0-4,25.0%,2-6,33.3%,0,0,0,4,1,3,0,6,-2
@ Alimerka Oviedo,16 mar 2019,P  71-63,26,4,2,40,4-9,4-7,50.0%,6-8,75.0%,0,4,4,2,1,3,0,26,20
vs C.B. Prat,9 mar 2019,P  62-71,18,1,4,29,2-6,3-7,38.5%,5-6,83.3%,0,1,1,4,1,1,0,18,14
@ FC Barcelona II,2 mar 2019,P  72-71,23,1,3,30,5-11,3-8,42.1%,4-6,66.7%,0,1,1,3,1,3,0,23,12
vs Fibwi Palma,23 feb 2019,P  76-79,26,5,3,30,7-12,2-8,45.0%,6-7,85.7%,1,4,5,3,1,3,0,26,20
@ Real Canoe N.C.,15 feb 2019,G  64-75,20,1,4,25,3-7,4-7,50.0%,2-4,50.0%,0,1,1,4,1,1,0,20,16
vs Real Betis,2 feb 2019,P  55-81,20,3,3,26,5-10,1-10,30.0%,7-7,100.0%,0,3,3,3,1,0,0,20,13
@ Coviran Granada,26 ene 2019,P  86-59,14,1,2,20,1-3,3-7,40.0%,3-4,75.0%,0,1,1,2,0,0,0,14,10
vs Real Valladolid,22 ene 2019,P  78-82,15,3,4,27,3-6,3-10,37.5%,0-0,-,1,2,3,4,1,2,0,15,11
@ Melilla Ciudad Del Deporte 1,18 ene 2019,G  77-82,20,2,3,27,4-7,4-11,44.4%,0-0,-,0,2,2,3,0,3,0,20,12
@ Leyma Coruña,11 ene 2019,P  96-82,18,3,7,30,4-12,3-9,33.3%,1-1,100.0%,0,3,3,7,0,1,0,18,13
vs Ourense,6 ene 2019,P  85-94,14,2,7,30,3-7,2-6,38.5%,2-3,66.7%,0,2,2,7,0,3,0,14,11
vs Levitec Huesca,29 dic 2018,P  81-87,24,3,3,35,2-8,5-12,35.0%,5-6,83.3%,0,3,3,3,3,5,1,24,15
@ Súper Agropal Palencia,21 dic 2018,P  92-87,10,1,3,27,2-6,1-8,21.4%,3-3,100.0%,0,1,1,3,1,1,0,10,3
vs Hiopos Lleida,14 dic 2018,P  73-89,5,4,3,31,1-6,1-8,14.3%,0-0,-,0,4,4,3,0,6,0,5,-6
@ Caceres,7 dic 2018,P  77-64,23,5,4,34,5-12,1-6,33.3%,10-11,90.9%,0,5,5,4,2,4,0,23,17
vs Amics Castello,2 dic 2018,G  80-78,26,2,5,33,4-15,3-8,30.4%,9-9,100.0%,1,1,2,5,3,9,0,26,11
@ Surne Bilbao,27 nov 2018,G  76-77,25,3,6,33,7-12,3-9,47.6%,2-2,100.0%,0,3,3,6,0,2,0,25,21
vs Alimerka Oviedo,24 nov 2018,G  74-72,27,0,5,32,4-7,3-10,41.2%,10-11,90.9%,0,0,0,5,3,2,0,27,22
@ C.B. Prat,17 nov 2018,G  75-88,21,5,9,34,2-7,5-10,41.2%,2-2,100.0%,0,5,5,9,0,4,0,21,21
vs FC Barcelona II,10 nov 2018,P  81-96,19,3,5,33,5-14,2-7,33.3%,3-3,100.0%,2,1,3,5,1,2,0,19,12
@ Fibwi Palma,4 nov 2018,G  71-79,27,3,5,38,5-12,2-8,35.0%,11-12,91.7%,0,3,3,5,1,3,0,27,19
vs Real Canoe N.C.,27 oct 2018,P  69-92,13,3,2,35,4-7,1-12,26.3%,2-3,66.7%,2,1,3,2,1,2,1,13,3
@ Real Betis,19 oct 2018,P  94-82,25,2,5,34,6-11,2-7,44.4%,7-9,77.8%,1,1,2,5,3,2,0,25,21
vs Coviran Granada,13 oct 2018,P  84-90,15,3,6,30,5-10,1-4,42.9%,2-2,100.0%,0,3,3,6,1,6,0,15,11
@ Real Valladolid,9 oct 2018,P  91-79,33,0,2,31,6-9,5-10,57.9%,6-7,85.7%,0,0,0,2,5,5,0,33,26
vs Melilla Ciudad Del Deporte 1,6 oct 2018,P  109-111,47,1,6,30,12-16,5-12,60.7%,8-8,100.0%,0,1,1,6,4,1,0,47,46
