PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Alimerka Oviedo,26 abr 2019,G  65-51,8,2,0,23,1-2,2-6,37.5%,0-0,-,0,2,2,0,1,1,0,8,5
@ FC Barcelona II,20 abr 2019,G  72-84,15,0,0,20,0-1,5-10,45.5%,0-0,-,0,0,0,0,2,1,0,15,10
vs Real Canoe N.C.,14 abr 2019,G  96-74,10,2,0,17,1-1,2-4,60.0%,2-2,100.0%,0,2,2,0,0,0,0,10,10
@ Ourense,24 mar 2019,G  54-66,0,0,1,13,0-0,0-2,0.0%,0-0,-,0,0,0,1,2,1,0,0,0
vs Súper Agropal Palencia,20 mar 2019,G  82-70,3,0,0,16,0-1,1-2,33.3%,0-0,-,0,0,0,0,0,0,0,3,1
@ Caceres,15 mar 2019,P  80-75,2,0,0,10,1-1,0-1,50.0%,0-0,-,0,0,0,0,0,1,0,2,0
vs Surne Bilbao,10 mar 2019,G  67-45,2,3,0,24,1-1,0-3,25.0%,0-0,-,0,3,3,0,1,2,0,2,1
@ C.B. Prat,2 mar 2019,P  85-83,11,2,1,27,2-2,2-5,57.1%,1-1,100.0%,0,2,2,1,1,0,0,11,12
@ Araberri Basket Club,23 feb 2019,G  76-79,3,1,0,16,0-1,1-3,25.0%,0-0,-,1,0,1,0,0,0,0,3,1
vs Real Betis,17 feb 2019,G  92-58,15,1,0,17,0-0,5-7,71.4%,0-0,-,0,1,1,0,0,0,0,15,14
@ Real Valladolid,1 feb 2019,P  80-76,12,2,0,22,0-0,4-10,40.0%,0-0,-,0,2,2,0,1,0,0,12,9
vs Leyma Coruña,27 ene 2019,G  84-72,6,0,0,14,0-0,2-4,50.0%,0-2,0.0%,0,0,0,0,0,2,0,6,0
@ Levitec Huesca,23 ene 2019,G  64-70,5,4,1,16,1-1,1-4,40.0%,0-0,-,1,3,4,1,2,1,0,5,8
vs Hiopos Lleida,20 ene 2019,G  85-57,2,1,4,16,1-3,0-1,25.0%,0-0,-,1,0,1,4,0,1,0,2,3
vs Amics Castello,13 ene 2019,P  82-86,17,1,1,27,1-3,5-8,54.5%,0-0,-,0,1,1,1,1,0,0,17,15
vs Real Canoe N.C.,29 dic 2018,P  72-75,5,2,1,16,0-1,1-5,16.7%,2-2,100.0%,0,2,2,1,0,0,0,5,3
@ Coviran Granada,22 dic 2018,P  85-54,9,2,3,33,1-4,2-6,30.0%,1-2,50.0%,1,1,2,3,3,3,0,9,6
vs Melilla Ciudad Del Deporte 1,15 dic 2018,P  73-77,19,2,3,31,5-8,3-7,53.3%,0-0,-,1,1,2,3,2,0,0,19,19
@ Ourense,9 dic 2018,P  74-59,7,2,1,30,2-4,1-7,27.3%,0-0,-,0,2,2,1,1,1,0,7,2
vs Súper Agropal Palencia,2 dic 2018,P  55-98,0,0,1,15,0-2,0-3,0.0%,0-0,-,0,0,0,1,2,2,0,0,-4
@ Caceres,28 nov 2018,P  87-74,15,0,3,25,1-1,4-7,62.5%,1-1,100.0%,0,0,0,3,0,0,0,15,15
vs Surne Bilbao,24 nov 2018,P  66-73,14,5,3,34,3-6,2-7,38.5%,2-4,50.0%,1,4,5,3,1,2,0,14,11
vs Araberri Basket Club,17 nov 2018,P  75-88,20,3,4,39,4-4,4-12,50.0%,0-0,-,1,2,3,4,4,4,0,20,19
@ Fibwi Palma,11 nov 2018,P  99-70,13,3,1,33,1-5,3-7,33.3%,2-4,50.0%,2,1,3,1,2,1,0,13,8
vs Real Betis,3 nov 2018,P  88-90,17,2,1,27,4-6,3-7,53.8%,0-0,-,0,2,2,1,1,2,0,17,13
@ Real Valladolid,26 oct 2018,P  95-73,14,1,1,19,1-1,4-6,71.4%,0-0,-,1,0,1,1,1,0,0,14,15
vs Leyma Coruña,20 oct 2018,G  76-66,16,3,4,22,5-6,2-6,58.3%,0-0,-,2,1,3,4,2,4,0,16,16
@ Levitec Huesca,14 oct 2018,P  97-86,13,2,1,29,2-4,2-8,33.3%,3-4,75.0%,0,2,2,1,1,2,0,13,6
vs Hiopos Lleida,9 oct 2018,P  65-82,12,3,2,27,3-4,2-4,62.5%,0-0,-,1,2,3,2,1,1,0,12,14
@ Amics Castello,5 oct 2018,P  78-71,18,2,2,32,2-3,4-10,46.2%,2-5,40.0%,0,2,2,2,0,1,0,18,11
