PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Esgueira AVEIRO OLI,5 may 2019,G  73-76,11,16,0,38,5-16,0-3,26.3%,1-2,50.0%,3,13,16,0,2,1,1,11,14
vs Vitoria SC,3 may 2019,G  85-80,7,6,0,29,3-10,0-0,30.0%,1-2,50.0%,0,6,6,0,1,3,3,7,6
@ CAB Madeira,28 abr 2019,P  94-90,14,3,3,32,6-8,0-1,66.7%,2-2,100.0%,0,3,3,3,2,3,2,14,18
@ Imortal Luzigas,25 abr 2019,G  85-92,19,9,3,31,9-11,0-1,75.0%,1-1,100.0%,2,7,9,3,2,7,2,19,25
vs Illiabum Clube,20 abr 2019,P  68-73,12,9,4,32,6-10,0-2,50.0%,0-0,-,2,7,9,4,3,4,0,12,18
vs Esgueira AVEIRO OLI,7 abr 2019,G  87-71,31,12,4,35,12-15,1-2,76.5%,4-4,100.0%,3,9,12,4,2,0,1,31,46
@ Vitoria SC,5 abr 2019,G  82-83,14,9,3,35,5-10,0-0,50.0%,4-5,80.0%,2,7,9,3,1,4,1,14,18
vs CAB Madeira,31 mar 2019,P  75-77,21,9,0,33,9-15,0-0,60.0%,3-4,75.0%,4,5,9,0,0,2,1,21,22
vs Imortal Luzigas,29 mar 2019,G  83-72,15,12,1,23,7-10,0-1,63.6%,1-4,25.0%,2,10,12,1,0,1,1,15,21
@ Illiabum Clube,23 mar 2019,G  75-85,25,6,2,30,10-16,1-3,57.9%,2-2,100.0%,3,3,6,2,2,2,0,25,25
vs Esgueira AVEIRO OLI,10 mar 2019,G  83-69,24,9,3,32,10-13,0-1,71.4%,4-4,100.0%,1,8,9,3,2,5,0,24,29
@ Illiabum Clube,8 mar 2019,P  89-73,8,7,4,27,3-8,0-1,33.3%,2-4,50.0%,2,5,7,4,0,3,4,8,12
vs SL Benfica (M),3 mar 2019,P  77-81,4,4,1,19,2-5,0-0,40.0%,0-0,-,0,4,4,1,0,1,1,4,6
vs UD Oliveirense,1 mar 2019,P  70-111,10,6,1,29,4-6,0-1,57.1%,2-2,100.0%,0,6,6,1,0,3,2,10,13
vs CAB Madeira,23 feb 2019,P  71-88,13,10,2,33,2-7,2-2,44.4%,3-4,75.0%,2,8,10,2,0,4,1,13,16
vs FC Porto,16 feb 2019,P  98-102,10,2,0,12,4-6,0-0,66.7%,2-2,100.0%,0,2,2,0,0,1,1,10,10
vs Lusitania Expert,2 feb 2019,P  66-75,14,11,2,38,7-17,0-1,38.9%,0-1,0.0%,4,7,11,2,2,2,3,14,18
@ Terceira,26 ene 2019,G  79-87,13,8,0,26,6-10,0-0,60.0%,1-2,50.0%,5,3,8,0,1,4,1,13,14
vs Ovarense GAVEX,19 ene 2019,P  74-87,1,5,0,18,0-3,0-0,0.0%,1-2,50.0%,0,5,5,0,0,3,4,1,3
@ Imortal Luzigas,12 ene 2019,G  76-91,16,10,2,27,5-9,0-0,55.6%,6-6,100.0%,5,5,10,2,0,1,2,16,25
@ FC Barcelona II,5 ene 2019,G  75-81,0,2,0,19,0-4,0-0,0.0%,0-0,-,2,0,2,0,0,1,0,0,-3
vs Real Canoe N.C.,29 dic 2018,P  72-75,2,3,1,6,1-2,0-1,33.3%,0-0,-,0,3,3,1,0,0,1,2,5
@ Coviran Granada,22 dic 2018,P  85-54,8,3,0,24,3-6,0-0,50.0%,2-2,100.0%,3,0,3,0,4,1,0,8,11
vs Melilla Ciudad Del Deporte 1,15 dic 2018,P  73-77,0,1,0,9,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,2,0,0,-2
@ Ourense,9 dic 2018,P  74-59,2,0,0,7,1-3,0-0,33.3%,0-0,-,0,0,0,0,0,0,0,2,0
vs Súper Agropal Palencia,2 dic 2018,P  55-98,6,2,0,14,3-5,0-0,60.0%,0-0,-,0,2,2,0,0,2,0,6,4
@ Caceres,28 nov 2018,P  87-74,6,5,0,16,3-3,0-0,100.0%,0-0,-,1,4,5,0,0,2,1,6,10
vs Surne Bilbao,24 nov 2018,P  66-73,2,3,1,15,1-6,0-0,16.7%,0-0,-,2,1,3,1,0,1,0,2,0
