PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Alimerka Oviedo,3 may 2019,P  81-71,0,1,0,12,0-1,0-2,0.0%,0-0,-,0,1,1,0,1,1,0,0,-2
vs FC Barcelona II,26 abr 2019,G  70-66,0,0,1,4,0-0,0-1,0.0%,0-0,-,0,0,0,1,1,0,0,0,1
@ Real Canoe N.C.,21 abr 2019,P  77-68,6,3,0,14,1-1,1-4,40.0%,1-2,50.0%,1,2,3,0,2,1,0,6,6
vs Coviran Granada,13 abr 2019,P  61-76,0,1,0,8,0-0,0-4,0.0%,0-0,-,0,1,1,0,0,0,0,0,-3
@ Melilla Ciudad Del Deporte 1,5 abr 2019,G  72-88,3,1,1,13,0-1,1-3,25.0%,0-0,-,0,1,1,1,2,0,0,3,4
vs Ourense,30 mar 2019,P  67-88,1,1,0,11,0-2,0-2,0.0%,1-2,50.0%,0,1,1,0,1,1,0,1,-3
@ Súper Agropal Palencia,24 mar 2019,P  64-63,2,0,2,13,1-2,0-3,20.0%,0-0,-,0,0,0,2,2,0,0,2,2
vs Caceres,20 mar 2019,G  95-66,12,1,1,16,0-1,4-5,66.7%,0-0,-,0,1,1,1,1,2,0,12,11
@ Surne Bilbao,17 mar 2019,P  93-75,0,0,0,10,0-0,0-3,0.0%,0-0,-,0,0,0,0,1,0,0,0,-2
@ Araberri Basket Club,9 mar 2019,G  62-71,3,1,0,5,1-1,0-3,25.0%,1-2,50.0%,0,1,1,0,0,0,0,3,0
vs Fibwi Palma,2 mar 2019,G  85-83,0,2,2,12,0-0,0-2,0.0%,0-0,-,0,2,2,2,0,2,0,0,0
@ Real Betis,23 feb 2019,P  78-63,0,0,0,12,0-0,0-3,0.0%,0-0,-,0,0,0,0,2,0,0,0,-1
vs Real Valladolid,16 feb 2019,G  73-71,3,1,0,17,0-0,1-3,33.3%,0-0,-,0,1,1,0,0,0,0,3,2
@ Leyma Coruña,1 feb 2019,P  85-67,2,0,0,9,1-1,0-2,33.3%,0-0,-,0,0,0,0,1,0,0,2,1
vs Levitec Huesca,26 ene 2019,P  56-83,4,0,0,12,0-1,1-3,25.0%,1-2,50.0%,0,0,0,0,2,1,0,4,1
@ Hiopos Lleida,23 ene 2019,P  80-58,0,2,0,13,0-1,0-2,0.0%,0-0,-,1,1,2,0,1,0,0,0,0
vs Amics Castello,19 ene 2019,P  72-82,3,0,0,10,0-0,1-3,33.3%,0-0,-,0,0,0,0,1,0,0,3,2
vs Alimerka Oviedo,11 ene 2019,G  79-78,6,0,2,11,1-1,1-4,40.0%,1-2,50.0%,0,0,0,2,2,0,0,6,6
@ FC Barcelona II,5 ene 2019,G  75-81,6,0,0,8,0-0,2-3,66.7%,0-0,-,0,0,0,0,0,1,0,6,4
vs Real Canoe N.C.,29 dic 2018,P  72-75,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Coviran Granada,22 dic 2018,P  85-54,1,0,0,5,0-1,0-1,0.0%,1-2,50.0%,0,0,0,0,0,1,0,1,-3
vs Melilla Ciudad Del Deporte 1,15 dic 2018,P  73-77,0,0,0,1,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Ourense,9 dic 2018,P  74-59,0,0,0,4,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Súper Agropal Palencia,2 dic 2018,P  55-98,5,1,0,12,1-1,1-2,66.7%,0-0,-,0,1,1,0,0,1,0,5,4
@ Caceres,28 nov 2018,P  87-74,3,1,0,7,0-1,1-3,25.0%,0-0,-,0,1,1,0,1,1,0,3,1
vs Surne Bilbao,24 nov 2018,P  66-73,5,0,2,11,1-1,1-3,50.0%,0-0,-,0,0,0,2,0,1,0,5,4
vs Araberri Basket Club,17 nov 2018,P  75-88,3,3,0,22,1-1,0-6,14.3%,1-2,50.0%,0,3,3,0,0,1,0,3,-2
@ Fibwi Palma,11 nov 2018,P  99-70,0,2,0,17,0-3,0-2,0.0%,0-0,-,0,2,2,0,0,3,0,0,-6
@ Estela,3 nov 2018,G  78-81,5,1,3,17,1-2,1-4,33.3%,0-0,-,0,1,1,3,2,0,0,5,7
vs Biele ISB,28 oct 2018,G  74-67,7,0,2,15,1-1,1-3,50.0%,2-2,100.0%,0,0,0,2,2,2,1,7,8
@ Navarra,19 oct 2018,P  81-72,9,1,1,27,0-2,3-8,30.0%,0-1,0.0%,0,1,1,1,3,3,0,9,3
vs CB Tormes,14 oct 2018,G  88-69,3,2,3,18,0-0,1-3,33.3%,0-0,-,0,2,2,3,3,1,0,3,8
@ Avila,10 oct 2018,G  75-79,13,2,3,15,0-0,4-5,80.0%,1-2,50.0%,0,2,2,3,2,0,0,13,18
vs Marin Peixe Galego,7 oct 2018,P  74-79,8,3,2,21,1-2,2-7,33.3%,0-0,-,0,3,3,2,0,0,0,8,7
