PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Real Canoe N.C.,3 may 2019,G  57-73,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Araberri Basket Club,31 mar 2019,G  67-68,2,0,0,1,0-0,0-0,-,2-2,100.0%,0,0,0,0,0,0,0,2,2
@ C.B. Prat,20 mar 2019,P  95-66,0,1,0,4,0-2,0-0,0.0%,0-0,-,0,1,1,0,0,0,1,0,0
@ Real Betis,9 mar 2019,P  80-71,0,1,0,2,0-0,0-0,-,0-0,-,0,1,1,0,0,0,0,0,1
@ Leyma Coruña,22 feb 2019,P  68-55,0,1,1,11,0-1,0-0,0.0%,0-0,-,0,1,1,1,0,0,2,0,3
vs Levitec Huesca,15 feb 2019,P  68-75,3,2,0,9,1-1,0-1,50.0%,1-1,100.0%,0,2,2,0,0,1,0,3,3
@ Hiopos Lleida,1 feb 2019,P  93-70,10,4,1,14,2-3,0-0,66.7%,6-6,100.0%,3,1,4,1,0,0,1,10,15
vs Amics Castello,27 ene 2019,P  81-86,7,4,0,19,1-3,1-1,50.0%,2-2,100.0%,1,3,4,0,0,0,0,7,9
@ Alimerka Oviedo,23 ene 2019,P  82-62,2,7,1,18,1-4,0-1,20.0%,0-0,-,4,3,7,1,1,2,0,2,5
vs FC Barcelona II,18 ene 2019,G  70-49,6,3,0,18,2-5,0-0,40.0%,2-2,100.0%,2,1,3,0,0,0,0,6,6
vs Real Canoe N.C.,11 ene 2019,G  65-63,2,2,1,23,1-6,0-0,16.7%,0-0,-,0,2,2,1,0,0,1,2,1
@ Coviran Granada,6 ene 2019,P  67-64,0,3,1,14,0-2,0-0,0.0%,0-0,-,2,1,3,1,0,4,1,0,-1
vs Melilla Ciudad Del Deporte 1,28 dic 2018,P  60-71,5,0,0,4,0-1,1-1,50.0%,2-2,100.0%,0,0,0,0,0,0,0,5,4
@ Ourense,19 dic 2018,P  85-73,7,3,0,12,3-4,0-0,75.0%,1-2,50.0%,1,2,3,0,0,1,2,7,9
vs Súper Agropal Palencia,14 dic 2018,P  85-87,5,2,0,8,1-1,1-1,100.0%,0-0,-,1,1,2,0,0,0,0,5,7
vs Araberri Basket Club,7 dic 2018,G  77-64,4,1,0,10,2-4,0-0,50.0%,0-0,-,1,0,1,0,0,1,0,4,2
@ Surne Bilbao,2 dic 2018,P  82-53,2,2,0,16,1-4,0-0,25.0%,0-0,-,2,0,2,0,0,3,0,2,-2
vs C.B. Prat,28 nov 2018,G  87-74,7,2,0,11,3-3,0-0,100.0%,1-1,100.0%,2,0,2,0,0,2,0,7,7
@ Fibwi Palma,25 nov 2018,P  82-74,7,2,0,19,2-2,1-2,75.0%,0-0,-,0,2,2,0,0,2,0,7,6
vs Real Betis,16 nov 2018,P  72-77,4,1,0,12,2-3,0-1,50.0%,0-0,-,0,1,1,0,0,1,0,4,2
@ Real Valladolid,9 nov 2018,P  75-71,9,10,1,32,4-6,0-2,50.0%,1-2,50.0%,4,6,10,1,2,1,0,9,16
vs Leyma Coruña,2 nov 2018,G  84-80,4,4,0,15,1-3,0-1,25.0%,2-4,50.0%,3,1,4,0,1,1,0,4,3
@ Levitec Huesca,26 oct 2018,P  86-59,4,2,0,12,2-4,0-0,50.0%,0-0,-,1,1,2,0,0,1,0,4,3
vs Hiopos Lleida,19 oct 2018,P  58-69,6,5,1,20,2-6,0-0,33.3%,2-2,100.0%,1,4,5,1,1,1,0,6,8
@ Amics Castello,14 oct 2018,P  84-60,3,2,0,18,0-6,1-2,12.5%,0-0,-,0,2,2,0,1,2,0,3,-3
vs Alimerka Oviedo,10 oct 2018,P  57-70,10,4,1,21,4-5,0-1,66.7%,2-2,100.0%,3,1,4,1,0,1,0,10,12
@ FC Barcelona II,6 oct 2018,G  64-68,6,5,0,14,1-2,0-1,33.3%,4-7,57.1%,1,4,5,0,1,1,1,6,7
