PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Estela,16 dic 2018,P  63-47,7,3,1,31,2-9,1-4,23.1%,0-0,-,1,2,3,1,2,1,0,7,2
vs Baskonia II,12 dic 2018,G  73-63,10,2,0,23,3-10,1-3,30.8%,1-2,50.0%,2,0,2,0,2,1,0,10,3
@ Biele ISB,9 dic 2018,G  88-93,2,2,1,6,1-3,0-1,25.0%,0-1,0.0%,0,2,2,1,0,0,0,2,1
vs Real Betis,16 nov 2018,P  72-77,3,0,1,10,0-1,1-1,50.0%,0-0,-,0,0,0,1,0,2,0,3,1
@ Real Valladolid,9 nov 2018,P  75-71,0,0,0,8,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Leyma Coruña,2 nov 2018,G  84-80,0,0,0,3,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Levitec Huesca,26 oct 2018,P  86-59,0,0,0,13,0-1,0-0,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
@ Amics Castello,14 oct 2018,P  84-60,3,1,0,15,0-0,1-4,25.0%,0-0,-,0,1,1,0,1,1,0,3,1
vs Alimerka Oviedo,10 oct 2018,P  57-70,0,0,0,15,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
@ FC Barcelona II,6 oct 2018,G  64-68,7,3,0,20,1-2,1-2,50.0%,2-2,100.0%,1,2,3,0,1,3,0,7,6
