PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Araberri Basket Club,7 dic 2018,G  77-64,4,1,0,7,0-1,1-1,50.0%,1-2,50.0%,0,1,1,0,0,1,0,4,2
@ Surne Bilbao,2 dic 2018,P  82-53,4,2,1,14,1-3,0-2,20.0%,2-2,100.0%,0,2,2,1,2,1,0,4,4
vs C.B. Prat,28 nov 2018,G  87-74,9,3,4,17,3-3,1-5,50.0%,0-0,-,1,2,3,4,3,0,0,9,15
@ Fibwi Palma,25 nov 2018,P  82-74,6,1,0,12,0-1,2-2,66.7%,0-0,-,0,1,1,0,0,0,0,6,6
vs Real Betis,16 nov 2018,P  72-77,0,2,6,14,0-2,0-2,0.0%,0-0,-,1,1,2,6,0,2,0,0,2
@ Real Valladolid,9 nov 2018,P  75-71,4,2,0,9,0-1,0-3,0.0%,4-4,100.0%,0,2,2,0,0,1,0,4,1
vs Leyma Coruña,2 nov 2018,G  84-80,3,4,1,13,1-2,0-1,33.3%,1-1,100.0%,2,2,4,1,0,2,0,3,4
@ Levitec Huesca,26 oct 2018,P  86-59,5,3,2,13,1-2,1-4,33.3%,0-0,-,1,2,3,2,1,1,0,5,6
vs Hiopos Lleida,19 oct 2018,P  58-69,0,1,0,10,0-1,0-2,0.0%,0-0,-,0,1,1,0,1,2,0,0,-3
@ Amics Castello,14 oct 2018,P  84-60,0,1,1,9,0-1,0-0,0.0%,0-0,-,0,1,1,1,0,5,0,0,-4
vs Alimerka Oviedo,10 oct 2018,P  57-70,2,3,1,12,1-4,0-2,16.7%,0-0,-,0,3,3,1,1,1,0,2,1
@ FC Barcelona II,6 oct 2018,G  64-68,10,3,0,17,3-5,1-1,66.7%,1-2,50.0%,1,2,3,0,1,0,0,10,11
