PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Levitec Huesca,3 may 2019,G  73-74,4,5,0,17,1-2,0-1,33.3%,2-2,100.0%,1,4,5,0,0,1,0,4,6
vs Hiopos Lleida,26 abr 2019,G  79-58,5,7,2,27,1-5,1-2,28.6%,0-0,-,2,5,7,2,0,0,1,5,10
@ Amics Castello,21 abr 2019,G  83-94,9,3,3,17,4-5,0-0,80.0%,1-1,100.0%,2,1,3,3,0,0,0,9,14
vs Alimerka Oviedo,12 abr 2019,P  79-85,0,0,1,10,0-2,0-2,0.0%,0-0,-,0,0,0,1,0,1,0,0,-4
@ FC Barcelona II,7 abr 2019,G  65-69,1,1,1,15,0-1,0-0,0.0%,1-2,50.0%,0,1,1,1,2,2,0,1,1
@ Coviran Granada,23 mar 2019,G  64-74,11,3,1,29,4-11,1-2,38.5%,0-0,-,3,0,3,1,2,2,0,11,7
vs Melilla Ciudad Del Deporte 1,19 mar 2019,P  70-76,4,2,0,13,1-2,0-1,33.3%,2-2,100.0%,1,1,2,0,1,0,0,4,5
@ Ourense,16 mar 2019,P  81-75,11,4,0,23,4-6,1-1,71.4%,0-1,0.0%,2,2,4,0,2,0,1,11,15
vs Súper Agropal Palencia,8 mar 2019,P  76-80,5,7,0,22,2-3,0-1,50.0%,1-2,50.0%,2,5,7,0,0,0,0,5,9
@ Caceres,1 mar 2019,G  66-74,6,5,0,24,2-4,0-0,50.0%,2-2,100.0%,0,5,5,0,0,1,0,6,8
vs Surne Bilbao,22 feb 2019,G  79-64,8,3,2,20,1-4,1-1,40.0%,3-4,75.0%,1,2,3,2,2,2,0,8,9
@ C.B. Prat,16 feb 2019,P  73-71,2,0,1,5,1-1,0-1,50.0%,0-0,-,0,0,0,1,0,1,0,2,1
vs Fibwi Palma,1 feb 2019,G  80-76,3,2,1,18,1-1,0-0,100.0%,1-2,50.0%,0,2,2,1,0,3,0,3,2
@ Real Betis,27 ene 2019,P  88-83,10,5,0,25,4-7,0-1,50.0%,2-4,50.0%,2,3,5,0,0,1,0,10,8
@ Araberri Basket Club,22 ene 2019,G  78-82,6,3,2,19,1-2,1-1,66.7%,1-2,50.0%,1,2,3,2,1,2,0,6,8
vs Leyma Coruña,18 ene 2019,G  75-65,3,7,1,25,1-4,0-0,25.0%,1-2,50.0%,2,5,7,1,0,3,0,3,4
vs Levitec Huesca,11 ene 2019,G  84-50,0,3,0,15,0-3,0-2,0.0%,0-0,-,1,2,3,0,1,0,1,0,0
@ Hiopos Lleida,4 ene 2019,G  68-72,1,7,0,22,0-2,0-1,0.0%,1-2,50.0%,1,6,7,0,0,1,0,1,3
@ Alimerka Oviedo,22 dic 2018,P  78-68,5,3,0,9,2-4,0-0,50.0%,1-2,50.0%,2,1,3,0,0,2,0,5,3
vs Amics Castello,18 dic 2018,G  70-56,2,3,1,14,1-1,0-0,100.0%,0-0,-,1,2,3,1,0,3,1,2,4
vs FC Barcelona II,14 dic 2018,P  66-71,1,1,1,8,0-0,0-0,-,1-2,50.0%,0,1,1,1,0,3,0,1,-1
@ Real Canoe N.C.,7 dic 2018,P  83-64,2,2,0,18,1-3,0-1,25.0%,0-0,-,0,2,2,0,2,1,0,2,2
vs Coviran Granada,2 dic 2018,G  80-70,3,4,0,18,1-5,0-0,20.0%,1-1,100.0%,3,1,4,0,0,0,0,3,3
@ Melilla Ciudad Del Deporte 1,27 nov 2018,P  79-72,4,6,2,22,1-5,0-2,14.3%,2-2,100.0%,1,5,6,2,1,0,0,4,7
vs Ourense,23 nov 2018,P  66-72,0,5,1,17,0-0,0-1,0.0%,0-0,-,0,5,5,1,1,2,0,0,4
@ Súper Agropal Palencia,16 nov 2018,P  101-97,2,4,1,19,1-3,0-1,25.0%,0-2,0.0%,1,3,4,1,0,1,0,2,1
vs Caceres,9 nov 2018,G  75-71,3,7,2,16,1-4,0-1,20.0%,1-2,50.0%,3,4,7,2,0,2,0,3,5
@ Surne Bilbao,4 nov 2018,P  84-77,4,1,0,18,2-3,0-0,66.7%,0-1,0.0%,0,1,1,0,0,1,0,4,2
vs C.B. Prat,26 oct 2018,G  95-73,6,4,0,19,2-3,0-0,66.7%,2-2,100.0%,1,3,4,0,0,1,0,6,8
@ Fibwi Palma,21 oct 2018,G  84-87,1,5,0,27,0-3,0-1,0.0%,1-2,50.0%,0,5,5,0,0,0,0,1,1
vs Real Betis,14 oct 2018,G  74-67,9,6,0,19,3-8,1-1,44.4%,0-0,-,4,2,6,0,1,1,0,9,10
vs Araberri Basket Club,9 oct 2018,G  91-79,10,1,1,15,2-5,2-2,57.1%,0-0,-,1,0,1,1,1,1,0,10,9
@ Leyma Coruña,5 oct 2018,P  95-90,9,4,0,23,4-7,0-1,50.0%,1-1,100.0%,2,2,4,0,1,1,0,9,9
