PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Súper Agropal Palencia,3 may 2019,G  73-60,6,4,0,20,3-7,0-0,42.9%,0-1,0.0%,1,3,4,0,1,4,0,6,2
@ Caceres,26 abr 2019,P  85-79,19,6,1,27,7-10,1-2,66.7%,2-3,66.7%,2,4,6,1,0,2,1,19,20
vs Surne Bilbao,21 abr 2019,G  72-70,9,6,0,24,2-6,1-2,37.5%,2-4,50.0%,1,5,6,0,0,1,1,9,8
@ C.B. Prat,13 abr 2019,G  61-76,10,9,5,29,3-8,0-2,30.0%,4-4,100.0%,3,6,9,5,0,1,0,10,16
vs Fibwi Palma,6 abr 2019,P  82-84,14,5,2,33,4-11,1-1,41.7%,3-4,75.0%,0,5,5,2,1,1,0,14,13
@ Real Betis,30 mar 2019,P  93-80,17,5,3,30,4-6,1-1,71.4%,6-6,100.0%,1,4,5,3,0,4,0,17,19
vs Real Valladolid,23 mar 2019,P  64-74,23,12,1,30,5-10,1-4,42.9%,10-11,90.9%,6,6,12,1,2,2,0,23,27
@ Leyma Coruña,19 mar 2019,G  73-80,22,7,1,32,6-12,0-1,46.2%,10-10,100.0%,2,5,7,1,1,5,0,22,19
vs Levitec Huesca,16 mar 2019,G  87-64,12,6,2,28,3-9,0-1,30.0%,6-8,75.0%,1,5,6,2,0,2,1,12,10
@ Hiopos Lleida,8 mar 2019,P  78-70,13,5,1,29,4-9,1-2,45.5%,2-2,100.0%,0,5,5,1,0,2,0,13,11
vs Amics Castello,2 mar 2019,G  70-59,12,14,1,26,3-7,1-2,44.4%,3-4,75.0%,4,10,14,1,0,3,0,12,18
@ Alimerka Oviedo,23 feb 2019,P  76-56,17,3,0,26,6-6,0-2,75.0%,5-5,100.0%,0,3,3,0,0,2,1,17,17
vs FC Barcelona II,16 feb 2019,G  73-53,10,12,3,27,3-7,0-1,37.5%,4-4,100.0%,0,12,12,3,0,5,0,10,15
@ Real Canoe N.C.,1 feb 2019,G  53-66,11,6,1,20,1-6,1-1,28.6%,6-7,85.7%,1,5,6,1,2,0,0,11,14
vs Araberri Basket Club,26 ene 2019,G  86-59,10,3,2,20,3-6,0-1,42.9%,4-4,100.0%,0,3,3,2,0,0,0,10,11
vs Melilla Ciudad Del Deporte 1,23 ene 2019,P  76-85,14,8,2,24,3-6,0-0,50.0%,8-8,100.0%,3,5,8,2,0,2,0,14,19
@ Ourense,19 ene 2019,G  80-83,23,6,0,28,4-8,1-3,45.5%,12-12,100.0%,3,3,6,0,1,4,0,23,20
@ Súper Agropal Palencia,11 ene 2019,G  76-79,4,4,2,24,1-3,0-2,20.0%,2-2,100.0%,0,4,4,2,1,1,0,4,6
vs Caceres,6 ene 2019,G  67-64,9,8,0,22,2-4,0-0,50.0%,5-7,71.4%,3,5,8,0,0,3,0,9,10
@ Surne Bilbao,30 dic 2018,P  93-68,16,5,0,32,3-10,1-1,36.4%,7-10,70.0%,2,3,5,0,0,2,0,16,9
vs C.B. Prat,22 dic 2018,G  85-54,6,5,1,15,1-2,0-0,50.0%,4-4,100.0%,1,4,5,1,0,4,0,6,7
@ Fibwi Palma,16 dic 2018,G  60-78,8,13,0,25,1-3,0-0,33.3%,6-7,85.7%,2,11,13,0,0,2,0,8,16
vs Real Betis,8 dic 2018,P  60-81,0,3,2,21,0-3,0-2,0.0%,0-0,-,2,1,3,2,0,2,0,0,-2
@ Real Valladolid,2 dic 2018,P  80-70,8,9,1,27,2-5,0-0,40.0%,4-6,66.7%,1,8,9,1,0,1,0,8,12
vs Leyma Coruña,27 nov 2018,G  93-59,10,7,0,17,4-6,0-0,66.7%,2-2,100.0%,3,4,7,0,1,1,0,10,15
@ Levitec Huesca,23 nov 2018,P  89-82,8,16,1,34,3-7,0-2,33.3%,2-2,100.0%,4,12,16,1,1,3,0,8,17
vs Hiopos Lleida,17 nov 2018,G  79-63,21,15,5,27,6-8,0-1,66.7%,9-10,90.0%,6,9,15,5,0,2,0,21,35
@ Amics Castello,9 nov 2018,G  69-78,13,10,1,25,5-7,1-1,75.0%,0-0,-,5,5,10,1,0,1,0,13,21
vs Alimerka Oviedo,4 nov 2018,P  70-73,10,5,1,23,2-8,1-2,30.0%,3-4,75.0%,2,3,5,1,1,0,0,10,9
@ FC Barcelona II,27 oct 2018,P  78-60,9,3,0,18,1-4,1-3,28.6%,4-4,100.0%,0,3,3,0,0,2,0,9,5
vs Real Canoe N.C.,21 oct 2018,G  87-60,8,0,2,11,4-6,0-0,66.7%,0-1,0.0%,0,0,0,2,0,3,0,8,4
@ Araberri Basket Club,13 oct 2018,G  84-90,19,9,3,29,7-8,0-1,77.8%,5-5,100.0%,1,8,9,3,0,3,0,19,26
@ Melilla Ciudad Del Deporte 1,10 oct 2018,P  67-53,6,4,0,22,2-6,0-2,25.0%,2-3,66.7%,0,4,4,0,1,2,0,6,2
vs Ourense,7 oct 2018,G  68-64,15,8,0,27,4-8,0-1,44.4%,7-7,100.0%,3,5,8,0,0,2,0,15,16
