PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Súper Agropal Palencia,3 may 2019,G  73-60,11,1,1,21,1-2,3-6,50.0%,0-0,-,0,1,1,1,2,2,0,11,9
@ Caceres,26 abr 2019,P  85-79,5,0,2,14,1-2,1-3,40.0%,0-0,-,0,0,0,2,0,0,0,5,4
vs Surne Bilbao,21 abr 2019,G  72-70,0,2,2,8,0-1,0-3,0.0%,0-0,-,0,2,2,2,0,1,0,0,-1
@ C.B. Prat,13 abr 2019,G  61-76,0,0,1,8,0-2,0-0,0.0%,0-0,-,0,0,0,1,0,1,0,0,-2
vs Fibwi Palma,6 abr 2019,P  82-84,0,0,0,8,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,0,0,0,-2
@ Real Betis,30 mar 2019,P  93-80,6,0,3,26,0-2,2-9,18.2%,0-0,-,0,0,0,3,0,0,0,6,0
vs Real Valladolid,23 mar 2019,P  64-74,6,2,1,22,0-2,2-6,25.0%,0-0,-,2,0,2,1,0,2,0,6,1
@ Leyma Coruña,19 mar 2019,G  73-80,12,1,1,18,1-3,3-7,40.0%,1-1,100.0%,0,1,1,1,0,1,1,12,8
vs Levitec Huesca,16 mar 2019,G  87-64,8,2,2,22,1-4,2-6,30.0%,0-0,-,1,1,2,2,0,2,0,8,3
@ Hiopos Lleida,8 mar 2019,P  78-70,11,3,1,24,4-7,1-5,41.7%,0-0,-,2,1,3,1,0,1,0,11,7
vs Amics Castello,2 mar 2019,G  70-59,3,4,0,20,0-4,1-2,16.7%,0-0,-,2,2,4,0,0,1,0,3,1
@ Alimerka Oviedo,23 feb 2019,P  76-56,4,2,1,21,2-3,0-3,33.3%,0-0,-,0,2,2,1,0,1,0,4,2
vs FC Barcelona II,16 feb 2019,G  73-53,9,2,0,26,0-1,3-6,42.9%,0-2,0.0%,1,1,2,0,4,3,0,9,6
@ Real Canoe N.C.,1 feb 2019,G  53-66,5,0,1,11,1-1,1-2,66.7%,0-0,-,0,0,0,1,2,1,0,5,6
vs Araberri Basket Club,26 ene 2019,G  86-59,2,0,1,27,1-2,0-6,12.5%,0-0,-,0,0,0,1,1,2,0,2,-5
vs Melilla Ciudad Del Deporte 1,23 ene 2019,P  76-85,6,1,2,18,0-0,1-3,33.3%,3-4,75.0%,1,0,1,2,0,1,0,6,5
@ Ourense,19 ene 2019,G  80-83,21,4,0,35,3-3,5-8,72.7%,0-0,-,3,1,4,0,1,1,0,21,22
@ Súper Agropal Palencia,11 ene 2019,G  76-79,5,4,1,25,0-2,1-3,20.0%,2-2,100.0%,0,4,4,1,0,0,0,5,6
vs Caceres,6 ene 2019,G  67-64,6,4,0,17,0-0,2-6,33.3%,0-0,-,1,3,4,0,0,1,0,6,5
@ Surne Bilbao,30 dic 2018,P  93-68,0,2,1,17,0-2,0-2,0.0%,0-0,-,0,2,2,1,0,1,0,0,-2
vs C.B. Prat,22 dic 2018,G  85-54,6,0,2,21,0-1,2-2,66.7%,0-0,-,0,0,0,2,1,1,0,6,7
@ Fibwi Palma,16 dic 2018,G  60-78,0,0,1,10,0-0,0-2,0.0%,0-0,-,0,0,0,1,0,0,0,0,-1
vs Real Betis,8 dic 2018,P  60-81,0,0,2,11,0-0,0-3,0.0%,0-0,-,0,0,0,2,0,1,0,0,-2
@ Real Valladolid,2 dic 2018,P  80-70,2,4,1,17,1-1,0-6,14.3%,0-0,-,2,2,4,1,0,1,0,2,0
vs Leyma Coruña,27 nov 2018,G  93-59,10,2,2,23,1-3,2-6,33.3%,2-2,100.0%,0,2,2,2,3,2,0,10,9
@ Levitec Huesca,23 nov 2018,P  89-82,8,1,1,19,1-4,2-8,25.0%,0-0,-,0,1,1,1,1,1,0,8,1
vs Hiopos Lleida,17 nov 2018,G  79-63,7,0,3,24,2-4,1-3,42.9%,0-0,-,0,0,0,3,0,0,1,7,7
@ Amics Castello,9 nov 2018,G  69-78,2,3,2,19,1-5,0-1,16.7%,0-0,-,0,3,3,2,2,0,1,2,5
vs Alimerka Oviedo,4 nov 2018,P  70-73,2,2,1,13,1-2,0-4,16.7%,0-0,-,0,2,2,1,1,1,0,2,0
@ FC Barcelona II,27 oct 2018,P  78-60,1,1,2,19,0-2,0-3,0.0%,1-2,50.0%,0,1,1,2,1,1,0,1,-2
vs Real Canoe N.C.,21 oct 2018,G  87-60,11,2,0,17,1-4,3-4,50.0%,0-0,-,2,0,2,0,0,1,0,11,8
@ Araberri Basket Club,13 oct 2018,G  84-90,8,1,0,16,3-4,0-2,50.0%,2-2,100.0%,1,0,1,0,0,1,0,8,5
