PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Súper Agropal Palencia,3 may 2019,G  73-60,5,3,1,14,1-2,1-2,50.0%,0-0,-,2,1,3,1,0,0,0,5,7
@ Caceres,26 abr 2019,P  85-79,3,2,0,17,0-1,1-4,20.0%,0-0,-,0,2,2,0,2,2,0,3,1
vs Surne Bilbao,21 abr 2019,G  72-70,2,4,1,14,1-1,0-0,100.0%,0-0,-,1,3,4,1,0,1,0,2,6
@ C.B. Prat,13 abr 2019,G  61-76,2,2,1,13,1-2,0-1,33.3%,0-0,-,1,1,2,1,1,0,0,2,4
vs Fibwi Palma,6 abr 2019,P  82-84,4,2,2,14,1-2,0-0,50.0%,2-2,100.0%,1,1,2,2,2,1,0,4,8
@ Real Betis,30 mar 2019,P  93-80,4,5,3,24,2-2,0-1,66.7%,0-0,-,2,3,5,3,0,1,0,4,10
vs Real Valladolid,23 mar 2019,P  64-74,0,2,1,11,0-1,0-0,0.0%,0-0,-,2,0,2,1,0,1,0,0,1
@ Leyma Coruña,19 mar 2019,G  73-80,0,3,6,24,0-1,0-0,0.0%,0-0,-,0,3,3,6,1,2,0,0,7
vs Levitec Huesca,16 mar 2019,G  87-64,0,3,2,15,0-0,0-0,-,0-0,-,1,2,3,2,1,2,0,0,4
@ Hiopos Lleida,8 mar 2019,P  78-70,5,3,2,15,1-2,1-2,50.0%,0-0,-,1,2,3,2,1,0,0,5,9
vs Amics Castello,2 mar 2019,G  70-59,3,2,0,15,0-1,1-2,33.3%,0-0,-,0,2,2,0,1,2,1,3,3
@ San Pablo Burgos,3 feb 2019,P  96-73,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,1,2,1,0,0
@ Rio Breogan,6 ene 2019,P  83-71,3,0,0,1,0-0,1-1,100.0%,0-0,-,0,0,0,0,0,0,0,3,3
vs FC Barcelona,22 dic 2018,P  71-104,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Real Madrid,18 nov 2018,P  104-71,0,1,0,7,0-0,0-0,-,0-0,-,0,1,1,0,0,1,1,0,1
@ Casademont Zaragoza (M),3 oct 2018,P  76-73,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
