PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Surne Bilbao,3 may 2019,P  76-84,5,3,1,20,0-3,1-4,14.3%,2-2,100.0%,2,1,3,1,0,1,0,5,2
@ C.B. Prat,26 abr 2019,P  70-66,5,6,0,29,0-1,1-5,16.7%,2-2,100.0%,2,4,6,0,0,1,1,5,6
vs Fibwi Palma,20 abr 2019,P  72-84,7,3,0,13,1-3,1-2,40.0%,2-2,100.0%,0,3,3,0,0,1,0,7,6
@ Real Betis,12 abr 2019,P  81-58,13,7,1,26,1-4,3-6,40.0%,2-2,100.0%,1,6,7,1,2,6,0,13,11
vs Real Valladolid,7 abr 2019,P  65-69,4,5,3,19,2-4,0-2,33.3%,0-0,-,0,5,5,3,0,1,0,4,7
@ Leyma Coruña,29 mar 2019,P  58-49,13,5,1,16,2-4,3-4,62.5%,0-0,-,0,5,5,1,2,3,0,13,15
vs Levitec Huesca,23 mar 2019,G  77-60,7,3,2,24,1-2,1-4,33.3%,2-4,50.0%,0,3,3,2,0,3,1,7,4
@ Hiopos Lleida,19 mar 2019,P  67-66,7,8,2,26,2-4,1-5,33.3%,0-0,-,3,5,8,2,2,1,0,7,12
vs Amics Castello,16 mar 2019,P  57-62,5,6,2,27,1-4,1-5,22.2%,0-0,-,0,6,6,2,2,0,3,5,11
vs Araberri Basket Club,2 mar 2019,G  72-71,9,1,1,17,0-0,3-6,50.0%,0-0,-,0,1,1,1,1,0,0,9,9
vs Real Canoe N.C.,23 feb 2019,G  64-61,10,9,0,25,2-5,1-7,25.0%,3-3,100.0%,2,7,9,0,0,4,0,10,6
@ Coviran Granada,16 feb 2019,P  73-53,10,0,1,20,1-3,2-4,42.9%,2-2,100.0%,0,0,0,1,1,0,0,10,8
vs Melilla Ciudad Del Deporte 1,2 feb 2019,P  60-78,5,2,0,17,1-4,1-3,28.6%,0-0,-,1,1,2,0,1,1,0,5,2
@ Ourense,27 ene 2019,P  76-69,16,6,2,28,2-5,4-9,42.9%,0-0,-,2,4,6,2,1,0,2,16,19
vs Súper Agropal Palencia,22 ene 2019,G  81-63,16,9,0,25,2-5,4-6,54.5%,0-0,-,2,7,9,0,2,2,1,16,21
@ Caceres,18 ene 2019,P  70-49,7,2,0,22,1-3,1-8,18.2%,2-3,66.7%,0,2,2,0,1,1,0,7,-1
@ Surne Bilbao,11 ene 2019,G  82-85,17,1,1,27,3-3,3-10,46.2%,2-4,50.0%,0,1,1,1,1,2,1,17,10
vs C.B. Prat,5 ene 2019,P  75-81,5,4,1,17,2-4,0-3,28.6%,1-2,50.0%,2,2,4,1,0,1,1,5,4
@ Fibwi Palma,29 dic 2018,P  83-76,11,3,1,21,2-2,2-6,50.0%,1-2,50.0%,0,3,3,1,1,2,0,11,9
@ Real Valladolid,14 dic 2018,G  66-71,11,2,0,18,4-4,1-4,62.5%,0-0,-,0,2,2,0,1,0,2,11,13
vs Leyma Coruña,8 dic 2018,P  65-88,2,4,1,20,1-2,0-4,16.7%,0-0,-,1,3,4,1,1,1,1,2,3
@ Levitec Huesca,2 dic 2018,P  74-65,11,6,0,24,4-5,1-3,62.5%,0-0,-,0,6,6,0,2,3,0,11,13
vs Hiopos Lleida,27 nov 2018,P  71-74,13,2,1,19,2-3,3-7,50.0%,0-0,-,0,2,2,1,0,1,0,13,10
@ Amics Castello,23 nov 2018,P  85-81,5,0,2,13,1-3,1-3,33.3%,0-1,0.0%,0,0,0,2,1,0,1,5,4
vs Alimerka Oviedo,17 nov 2018,P  60-63,9,2,1,26,3-8,1-3,36.4%,0-1,0.0%,0,2,2,1,2,3,1,9,4
@ Araberri Basket Club,10 nov 2018,G  81-96,17,1,2,25,4-6,3-8,50.0%,0-0,-,0,1,1,2,0,1,0,17,12
@ Real Canoe N.C.,2 nov 2018,P  92-86,8,7,1,29,2-4,1-6,30.0%,1-2,50.0%,1,6,7,1,2,2,0,8,8
vs Coviran Granada,27 oct 2018,G  78-60,2,4,4,19,1-3,0-2,20.0%,0-0,-,2,2,4,4,2,0,1,2,9
@ Melilla Ciudad Del Deporte 1,19 oct 2018,G  63-95,15,4,0,21,1-2,3-6,50.0%,4-4,100.0%,0,4,4,0,1,2,1,15,15
vs Ourense,14 oct 2018,P  63-76,7,1,1,21,3-5,0-3,37.5%,1-1,100.0%,0,1,1,1,0,1,0,7,3
@ Súper Agropal Palencia,9 oct 2018,P  86-83,22,7,3,29,4-6,4-7,61.5%,2-2,100.0%,1,6,7,3,1,3,0,22,25
vs Caceres,6 oct 2018,P  64-68,9,1,2,22,0-2,3-7,33.3%,0-0,-,0,1,1,2,2,2,0,9,6
