PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Araberri Basket Club,14 dic 2018,G  73-89,4,1,1,8,2-2,0-1,66.7%,0-0,-,0,1,1,1,2,1,0,4,6
@ Amics Castello,7 dic 2018,P  70-66,2,4,2,12,1-2,0-0,50.0%,0-0,-,3,1,4,2,1,0,0,2,8
vs Alimerka Oviedo,2 dic 2018,P  67-70,4,4,2,18,2-3,0-1,50.0%,0-0,-,3,1,4,2,1,0,0,4,9
@ FC Barcelona II,27 nov 2018,G  71-74,5,3,2,16,1-2,1-2,50.0%,0-0,-,3,0,3,2,1,1,0,5,8
vs Real Canoe N.C.,23 nov 2018,G  73-55,6,7,3,18,1-1,1-1,100.0%,1-2,50.0%,5,2,7,3,0,1,0,6,14
vs Melilla Ciudad Del Deporte 1,9 nov 2018,G  67-66,0,1,0,5,0-1,0-0,0.0%,0-0,-,1,0,1,0,0,1,0,0,-1
@ Ourense,2 nov 2018,G  62-70,0,2,0,10,0-0,0-1,0.0%,0-0,-,1,1,2,0,0,1,0,0,0
vs Súper Agropal Palencia,26 oct 2018,G  90-80,0,2,0,8,0-1,0-0,0.0%,0-0,-,0,2,2,0,0,0,0,0,1
@ Caceres,19 oct 2018,G  58-69,3,6,1,10,0-0,1-2,50.0%,0-0,-,2,4,6,1,1,0,0,3,10
vs Surne Bilbao,14 oct 2018,P  70-75,9,7,1,20,4-6,0-1,57.1%,1-1,100.0%,3,4,7,1,1,1,0,9,14
@ C.B. Prat,9 oct 2018,G  65-82,6,6,3,22,1-3,0-1,25.0%,4-4,100.0%,3,3,6,3,0,1,0,6,11
vs Fibwi Palma,5 oct 2018,G  86-66,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
