PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Betis,3 may 2019,P  84-86,5,1,1,12,2-3,0-0,66.7%,1-2,50.0%,1,0,1,1,0,1,0,5,4
@ Real Valladolid,26 abr 2019,P  79-58,6,2,0,16,3-5,0-0,60.0%,0-0,-,2,0,2,0,0,2,1,6,5
vs Leyma Coruña,18 abr 2019,P  88-90,2,2,2,19,1-1,0-0,100.0%,0-0,-,0,2,2,2,1,1,2,2,8
@ Levitec Huesca,12 abr 2019,G  74-77,4,6,0,18,2-4,0-0,50.0%,0-0,-,1,5,6,0,0,0,0,4,8
vs Araberri Basket Club,5 abr 2019,G  68-52,4,3,1,12,1-5,0-0,20.0%,2-2,100.0%,1,2,3,1,0,0,1,4,5
vs Amics Castello,29 mar 2019,G  88-82,4,1,1,16,2-4,0-0,50.0%,0-0,-,1,0,1,1,1,1,0,4,4
@ Alimerka Oviedo,23 mar 2019,P  83-68,1,8,0,21,0-4,0-0,0.0%,1-2,50.0%,5,3,8,0,0,0,0,1,4
vs FC Barcelona II,19 mar 2019,G  67-66,8,8,0,19,3-5,0-0,60.0%,2-4,50.0%,2,6,8,0,0,0,1,8,13
@ Real Canoe N.C.,15 mar 2019,P  65-64,5,2,2,19,1-5,0-0,20.0%,3-3,100.0%,0,2,2,2,0,0,1,5,6
vs Coviran Granada,8 mar 2019,G  78-70,8,2,1,19,3-5,0-0,60.0%,2-2,100.0%,0,2,2,1,1,1,0,8,9
@ Melilla Ciudad Del Deporte 1,1 mar 2019,P  83-72,12,12,1,25,5-12,0-0,41.7%,2-2,100.0%,3,9,12,1,1,0,2,12,21
vs Ourense,22 feb 2019,P  61-70,4,6,1,24,2-8,0-0,25.0%,0-2,0.0%,3,3,6,1,0,0,2,4,5
@ Súper Agropal Palencia,15 feb 2019,P  81-77,9,8,1,22,4-4,0-0,100.0%,1-2,50.0%,2,6,8,1,0,3,0,9,14
vs Caceres,1 feb 2019,G  93-70,2,2,1,11,1-2,0-0,50.0%,0-0,-,1,1,2,1,0,0,0,2,4
vs C.B. Prat,23 ene 2019,G  80-58,13,8,0,23,5-6,0-0,83.3%,3-3,100.0%,2,6,8,0,2,2,2,13,22
@ Fibwi Palma,20 ene 2019,P  85-57,2,2,0,19,1-4,0-0,25.0%,0-0,-,0,2,2,0,1,1,0,2,1
@ Real Betis,11 ene 2019,P  77-68,10,3,1,27,2-5,0-0,40.0%,6-7,85.7%,1,2,3,1,1,1,1,10,11
vs Real Valladolid,4 ene 2019,P  68-72,6,5,4,24,2-4,0-0,50.0%,2-4,50.0%,1,4,5,4,1,0,1,6,13
@ Leyma Coruña,28 dic 2018,P  73-61,12,3,1,21,3-8,0-0,37.5%,6-8,75.0%,2,1,3,1,0,5,0,12,4
vs Levitec Huesca,21 dic 2018,P  85-89,12,4,2,20,6-8,0-0,75.0%,0-0,-,2,2,4,2,1,0,1,12,18
@ Araberri Basket Club,14 dic 2018,G  73-89,5,1,2,18,2-4,0-0,50.0%,1-2,50.0%,1,0,1,2,1,0,0,5,6
@ Amics Castello,7 dic 2018,P  70-66,8,4,0,17,1-5,0-0,20.0%,6-6,100.0%,4,0,4,0,1,0,0,8,9
vs Alimerka Oviedo,2 dic 2018,P  67-70,12,5,1,21,5-8,0-0,62.5%,2-2,100.0%,3,2,5,1,1,0,1,12,17
@ FC Barcelona II,27 nov 2018,G  71-74,6,6,0,25,3-4,0-0,75.0%,0-0,-,3,3,6,0,0,1,1,6,11
vs Real Canoe N.C.,23 nov 2018,G  73-55,10,1,0,14,4-6,0-0,66.7%,2-2,100.0%,1,0,1,0,1,1,1,10,10
@ Coviran Granada,17 nov 2018,P  79-63,4,3,0,15,1-3,0-0,33.3%,2-4,50.0%,1,2,3,0,1,2,1,4,3
vs Melilla Ciudad Del Deporte 1,9 nov 2018,G  67-66,10,4,0,15,4-9,0-0,44.4%,2-2,100.0%,0,4,4,0,0,0,2,10,11
@ Ourense,2 nov 2018,G  62-70,9,4,0,16,3-4,0-0,75.0%,3-4,75.0%,0,4,4,0,0,1,2,9,12
vs Súper Agropal Palencia,26 oct 2018,G  90-80,9,2,0,17,3-5,0-0,60.0%,3-4,75.0%,1,1,2,0,0,1,1,9,8
@ Caceres,19 oct 2018,G  58-69,4,4,0,19,2-3,0-0,66.7%,0-0,-,1,3,4,0,2,0,1,4,10
vs Surne Bilbao,14 oct 2018,P  70-75,6,2,0,19,3-5,0-0,60.0%,0-0,-,1,1,2,0,0,0,0,6,6
@ C.B. Prat,9 oct 2018,G  65-82,8,9,2,22,4-8,0-0,50.0%,0-0,-,3,6,9,2,0,1,1,8,15
vs Fibwi Palma,5 oct 2018,G  86-66,8,2,0,14,2-2,0-0,100.0%,4-4,100.0%,0,2,2,0,0,1,0,8,9
