PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Betis,3 may 2019,P  84-86,6,5,4,24,1-3,0-1,25.0%,4-4,100.0%,1,4,5,4,0,1,0,6,11
@ Real Valladolid,26 abr 2019,P  79-58,0,0,1,15,0-2,0-2,0.0%,0-0,-,0,0,0,1,1,1,1,0,-2
vs Leyma Coruña,18 abr 2019,P  88-90,0,0,1,2,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
@ Levitec Huesca,12 abr 2019,G  74-77,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Araberri Basket Club,5 abr 2019,G  68-52,9,0,0,17,1-3,2-3,50.0%,1-2,50.0%,0,0,0,0,0,0,0,9,5
vs Amics Castello,29 mar 2019,G  88-82,0,1,1,5,0-2,0-1,0.0%,0-0,-,1,0,1,1,0,0,0,0,-1
@ Alimerka Oviedo,23 mar 2019,P  83-68,10,5,2,18,1-2,2-4,50.0%,2-2,100.0%,0,5,5,2,0,0,0,10,14
vs FC Barcelona II,19 mar 2019,G  67-66,0,0,1,3,0-0,0-0,-,0-0,-,0,0,0,1,0,0,0,0,1
@ Real Canoe N.C.,15 mar 2019,P  65-64,2,0,0,8,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,1,0,2,0
vs Coviran Granada,8 mar 2019,G  78-70,3,1,0,17,0-0,1-2,50.0%,0-0,-,0,1,1,0,0,0,0,3,3
@ Melilla Ciudad Del Deporte 1,1 mar 2019,P  83-72,5,2,0,12,1-1,1-2,66.7%,0-0,-,1,1,2,0,0,3,0,5,3
@ Súper Agropal Palencia,15 feb 2019,P  81-77,0,1,0,4,0-1,0-1,0.0%,0-0,-,0,1,1,0,0,1,0,0,-2
vs Caceres,1 feb 2019,G  93-70,0,2,1,14,0-0,0-1,0.0%,0-0,-,0,2,2,1,1,4,0,0,-1
@ Surne Bilbao,27 ene 2019,P  81-70,2,1,2,13,1-1,0-0,100.0%,0-0,-,0,1,1,2,0,3,0,2,2
vs C.B. Prat,23 ene 2019,G  80-58,2,0,0,10,1-2,0-1,33.3%,0-0,-,0,0,0,0,1,1,0,2,0
@ Fibwi Palma,20 ene 2019,P  85-57,2,2,0,17,1-3,0-3,16.7%,0-0,-,0,2,2,0,0,2,0,2,-3
@ Real Betis,11 ene 2019,P  77-68,9,1,1,16,3-4,1-3,57.1%,0-0,-,1,0,1,1,0,1,0,9,7
vs Real Valladolid,4 ene 2019,P  68-72,0,1,0,3,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,0,0,0,0
@ Plymouth Raiders,28 dic 2018,P  115-100,5,4,4,23,2-4,0-2,33.3%,1-5,20.0%,0,4,4,4,0,0,1,5,6
@ Cheshire Phoenix,16 dic 2018,P  93-74,7,7,4,34,2-5,1-4,33.3%,0-0,-,3,4,7,4,1,1,0,7,12
vs Leicester Riders,8 dic 2018,P  79-84,17,6,3,35,5-11,2-4,46.7%,1-2,50.0%,0,6,6,3,1,2,0,17,16
@ Manchester Giants,25 nov 2018,P  91-84,11,4,3,35,3-8,1-3,36.4%,2-4,50.0%,0,4,4,3,0,3,2,11,8
@ Caledonia Gladiators (M),18 nov 2018,P  103-76,17,7,5,40,4-7,2-8,40.0%,3-4,75.0%,2,5,7,5,3,3,0,17,19
vs Sheffield Sharks,4 nov 2018,P  83-93,12,6,6,34,6-9,0-3,50.0%,0-0,-,2,4,6,6,0,2,0,12,16
vs Worcester Wolves,21 oct 2018,G  99-86,14,10,3,33,6-7,0-2,66.7%,2-2,100.0%,1,9,10,3,1,3,0,14,22
@ Newcastle Eagles,19 oct 2018,P  114-82,8,7,4,30,4-8,0-0,50.0%,0-0,-,1,6,7,4,1,1,1,8,16
@ Manchester Giants,7 oct 2018,G  93-109,14,13,4,33,5-13,0-1,35.7%,4-7,57.1%,3,10,13,4,0,5,0,14,14
vs Cheshire Phoenix,6 oct 2018,P  94-116,7,9,6,26,2-4,1-4,37.5%,0-0,-,2,7,9,6,1,2,0,7,16
@ London City Royals,29 sept 2018,P  91-85,22,7,2,37,2-6,4-4,60.0%,6-7,85.7%,1,6,7,2,1,1,0,22,26
@ Sheffield Sharks,28 sept 2018,P  99-90,16,6,4,35,5-5,2-5,70.0%,0-1,0.0%,1,5,6,4,3,2,0,16,23
vs Caledonia Gladiators (M),22 sept 2018,P  92-94,15,5,5,36,1-3,3-6,44.4%,4-4,100.0%,2,3,5,5,2,5,1,15,18
