PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Nevezis,5 may 2019,P  90-86,3,0,1,7,0-0,1-2,50.0%,0-0,-,0,0,0,1,0,0,0,3,3
@ Lietkabelis,1 may 2019,P  89-86,6,1,1,8,0-1,2-3,50.0%,0-0,-,0,1,1,1,0,1,0,6,5
vs Zalgiris Kaunas,28 abr 2019,P  67-91,6,1,0,17,3-3,0-4,42.9%,0-2,0.0%,0,1,1,0,1,0,0,6,2
@ Rytas Vilnius,24 abr 2019,P  80-74,0,1,1,5,0-1,0-0,0.0%,0-0,-,1,0,1,1,0,0,0,0,1
@ Wolves Twinsbet Vilnius,20 abr 2019,P  75-70,0,0,0,1,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-2
@ Juventus,17 abr 2019,P  107-72,9,1,0,14,1-1,1-4,40.0%,4-4,100.0%,1,0,1,0,1,1,0,9,7
vs Siauliai,13 abr 2019,P  97-111,2,0,1,6,1-2,0-0,50.0%,0-0,-,0,0,0,1,0,0,0,2,2
vs Prienai,10 abr 2019,P  72-84,3,3,1,19,0-0,1-4,25.0%,0-0,-,1,2,3,1,0,0,0,3,4
vs Neptunas,6 abr 2019,P  75-85,4,1,1,16,0-0,0-2,0.0%,4-5,80.0%,0,1,1,1,0,1,0,4,2
vs Nevezis,30 mar 2019,G  91-85,5,2,2,13,1-1,1-1,100.0%,0-0,-,2,0,2,2,0,0,0,5,9
vs Juventus,23 mar 2019,G  89-78,4,0,0,9,2-2,0-1,66.7%,0-0,-,0,0,0,0,0,0,0,4,3
@ Zalgiris Kaunas,16 mar 2019,P  88-70,1,3,2,19,0-1,0-1,0.0%,1-2,50.0%,0,3,3,2,0,0,0,1,3
vs Súper Agropal Palencia,24 feb 2019,P  68-79,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Caceres,15 feb 2019,G  68-75,0,2,0,8,0-0,0-0,-,0-0,-,1,1,2,0,1,0,0,0,3
vs Surne Bilbao,2 feb 2019,P  61-74,2,1,0,13,0-3,0-0,0.0%,2-2,100.0%,0,1,1,0,0,0,0,2,0
@ C.B. Prat,26 ene 2019,G  56-83,4,0,0,9,1-1,0-0,100.0%,2-2,100.0%,0,0,0,0,0,1,0,4,3
vs Fibwi Palma,23 ene 2019,P  64-70,5,1,1,21,1-2,1-3,40.0%,0-0,-,0,1,1,1,2,2,0,5,4
@ Real Betis,18 ene 2019,P  84-65,4,0,0,16,1-2,0-3,20.0%,2-2,100.0%,0,0,0,0,0,0,0,4,0
@ Real Valladolid,11 ene 2019,P  84-50,8,2,0,23,4-7,0-7,28.6%,0-0,-,1,1,2,0,2,0,1,8,3
vs Leyma Coruña,6 ene 2019,G  83-78,20,7,1,29,1-2,4-8,50.0%,6-7,85.7%,1,6,7,1,0,1,0,20,21
@ Araberri Basket Club,29 dic 2018,G  81-87,5,2,0,17,1-1,1-5,33.3%,0-0,-,0,2,2,0,0,1,0,5,2
@ Hiopos Lleida,21 dic 2018,G  85-89,6,3,0,14,0-1,1-1,50.0%,3-4,75.0%,1,2,3,0,1,2,0,6,6
vs Amics Castello,14 dic 2018,G  95-84,9,3,3,27,3-4,1-3,57.1%,0-0,-,1,2,3,3,2,2,0,9,12
@ Alimerka Oviedo,8 dic 2018,P  73-58,7,4,0,31,1-5,1-2,28.6%,2-2,100.0%,1,3,4,0,0,1,0,7,5
vs FC Barcelona II,2 dic 2018,G  74-65,8,3,0,27,3-5,0-3,37.5%,2-2,100.0%,1,2,3,0,0,2,1,8,5
@ Real Canoe N.C.,28 nov 2018,P  71-69,8,4,0,29,1-2,2-4,50.0%,0-0,-,2,2,4,0,1,2,0,8,8
vs Coviran Granada,23 nov 2018,G  89-82,14,6,0,30,0-3,3-3,50.0%,5-8,62.5%,2,4,6,0,1,3,0,14,12
@ Melilla Ciudad Del Deporte 1,16 nov 2018,G  69-79,8,1,2,15,1-2,2-3,60.0%,0-0,-,0,1,1,2,1,1,0,8,9
vs Ourense,9 nov 2018,G  79-74,17,3,1,23,0-1,5-8,55.6%,2-2,100.0%,1,2,3,1,0,0,1,17,18
@ Súper Agropal Palencia,2 nov 2018,P  77-76,2,1,0,16,1-3,0-4,14.3%,0-0,-,0,1,1,0,0,2,0,2,-5
vs Caceres,26 oct 2018,G  86-59,14,1,0,17,1-3,3-6,44.4%,3-4,75.0%,0,1,1,0,0,3,0,14,6
@ Surne Bilbao,19 oct 2018,G  69-76,7,2,1,21,2-3,1-3,50.0%,0-0,-,1,1,2,1,1,1,0,7,7
vs C.B. Prat,14 oct 2018,G  97-86,15,2,1,20,3-3,1-3,66.7%,6-7,85.7%,1,1,2,1,0,1,0,15,14
@ Fibwi Palma,10 oct 2018,P  78-58,9,2,1,23,2-3,1-6,33.3%,2-3,66.7%,0,2,2,1,0,1,0,9,4
vs Real Betis,5 oct 2018,G  92-84,12,1,0,18,0-3,3-3,50.0%,3-4,75.0%,1,0,1,0,1,2,0,12,8
