PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Araberri Basket Club,3 may 2019,G  76-82,10,4,0,18,5-8,0-1,55.6%,0-0,-,1,3,4,0,0,1,1,10,10
vs Levitec Huesca,26 abr 2019,G  86-74,11,8,0,19,4-5,0-0,80.0%,3-3,100.0%,4,4,8,0,0,3,0,11,15
@ Hiopos Lleida,18 abr 2019,G  88-90,0,4,1,19,0-0,0-0,-,0-0,-,1,3,4,1,0,1,2,0,6
vs Amics Castello,12 abr 2019,P  83-84,6,7,1,24,3-4,0-0,75.0%,0-2,0.0%,0,7,7,1,1,2,1,6,11
@ Alimerka Oviedo,5 abr 2019,P  80-70,5,7,2,20,2-6,0-0,33.3%,1-2,50.0%,3,4,7,2,0,1,1,5,9
vs FC Barcelona II,29 mar 2019,G  58-49,10,9,1,27,4-5,0-0,80.0%,2-2,100.0%,3,6,9,1,1,6,3,10,17
@ Real Canoe N.C.,23 mar 2019,P  65-58,9,8,1,21,4-10,0-1,36.4%,1-5,20.0%,5,3,8,1,0,1,0,9,6
vs Coviran Granada,19 mar 2019,P  73-80,6,3,0,18,2-3,0-0,66.7%,2-2,100.0%,2,1,3,0,1,0,1,6,10
@ Melilla Ciudad Del Deporte 1,15 mar 2019,G  67-70,7,7,1,31,3-8,0-0,37.5%,1-2,50.0%,2,5,7,1,0,2,4,7,11
vs Ourense,10 mar 2019,P  63-78,6,8,0,23,2-3,0-0,66.7%,2-2,100.0%,6,2,8,0,0,1,0,6,12
@ Súper Agropal Palencia,1 mar 2019,P  93-84,9,12,0,35,3-6,0-0,50.0%,3-6,50.0%,5,7,12,0,0,1,2,9,16
vs Caceres,22 feb 2019,G  68-55,17,9,2,26,8-12,0-0,66.7%,1-4,25.0%,5,4,9,2,0,1,1,17,21
@ Surne Bilbao,17 feb 2019,P  87-59,1,5,0,17,0-1,0-0,0.0%,1-2,50.0%,3,2,5,0,0,3,1,1,2
vs C.B. Prat,1 feb 2019,G  85-67,6,5,2,20,2-3,0-0,66.7%,2-2,100.0%,2,3,5,2,1,1,1,6,13
@ Fibwi Palma,27 ene 2019,P  84-72,2,5,0,17,1-2,0-0,50.0%,0-3,0.0%,1,4,5,0,0,0,0,2,3
vs Real Betis,22 ene 2019,P  70-78,4,4,0,16,1-4,0-0,25.0%,2-2,100.0%,2,2,4,0,1,1,0,4,5
@ Real Valladolid,18 ene 2019,P  75-65,4,4,0,13,2-2,0-0,100.0%,0-0,-,2,2,4,0,0,1,1,4,8
vs Araberri Basket Club,11 ene 2019,G  96-82,5,5,0,11,1-4,0-0,25.0%,3-3,100.0%,3,2,5,0,0,0,1,5,8
@ Levitec Huesca,6 ene 2019,P  83-78,8,7,0,31,2-6,0-0,33.3%,4-4,100.0%,4,3,7,0,1,2,3,8,13
vs Hiopos Lleida,28 dic 2018,G  73-61,2,1,0,9,1-2,0-0,50.0%,0-0,-,0,1,1,0,0,1,0,2,1
@ Amics Castello,21 dic 2018,G  59-72,8,11,0,16,2-8,0-0,25.0%,4-4,100.0%,6,5,11,0,0,0,2,8,15
vs Alimerka Oviedo,15 dic 2018,G  98-76,9,4,0,19,4-5,0-0,80.0%,1-1,100.0%,1,3,4,0,1,2,1,9,12
@ FC Barcelona II,8 dic 2018,G  65-88,10,4,0,28,5-6,0-0,83.3%,0-2,0.0%,2,2,4,0,1,2,1,10,11
vs Real Canoe N.C.,2 dic 2018,G  85-59,15,9,0,28,7-9,0-0,77.8%,1-4,25.0%,5,4,9,0,1,3,0,15,17
@ Coviran Granada,27 nov 2018,P  93-59,6,4,0,21,2-6,0-0,33.3%,2-5,40.0%,3,1,4,0,0,2,0,6,1
vs Melilla Ciudad Del Deporte 1,23 nov 2018,P  72-76,2,5,1,13,0-3,0-0,0.0%,2-2,100.0%,2,3,5,1,0,0,1,2,6
@ Ourense,17 nov 2018,P  96-75,11,8,2,21,4-4,0-0,100.0%,3-6,50.0%,3,5,8,2,0,0,1,11,19
vs Súper Agropal Palencia,9 nov 2018,P  95-109,17,8,0,23,8-11,0-0,72.7%,1-1,100.0%,5,3,8,0,0,2,0,17,20
@ Caceres,2 nov 2018,P  84-80,4,4,0,18,2-4,0-0,50.0%,0-0,-,0,4,4,0,0,1,0,4,5
vs Surne Bilbao,26 oct 2018,P  64-74,6,10,0,22,2-4,0-0,50.0%,2-4,50.0%,2,8,10,0,0,1,0,6,11
@ C.B. Prat,20 oct 2018,P  76-66,7,4,0,17,3-5,0-0,60.0%,1-2,50.0%,3,1,4,0,1,3,0,7,6
vs Fibwi Palma,14 oct 2018,P  76-79,10,9,0,24,4-9,0-0,44.4%,2-4,50.0%,7,2,9,0,1,0,3,10,16
@ Real Betis,9 oct 2018,P  96-88,5,10,1,19,1-3,0-0,33.3%,3-3,100.0%,4,6,10,1,0,3,0,5,11
vs Real Valladolid,5 oct 2018,G  95-90,4,2,0,11,1-2,0-0,50.0%,2-3,66.7%,1,1,2,0,0,0,0,4,4
