PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Reales de La Vega,28 sept 2019,P  99-87,8,7,1,25,2-9,1-2,27.3%,1-1,100.0%,2,5,7,1,0,1,1,8,8
vs Soles de Santo Domingo Este,24 sept 2019,G  112-93,13,13,2,30,3-8,2-4,41.7%,1-2,50.0%,3,10,13,2,2,3,1,13,20
@ Indios de San Francisco,23 sept 2019,P  93-81,8,6,0,24,1-7,0-1,12.5%,6-6,100.0%,3,3,6,0,0,2,0,8,5
vs Leones de Santo Domingo,21 sept 2019,G  88-84,2,1,0,9,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,2,0,2,-1
vs Reales de La Vega,19 sept 2019,G  88-85,2,3,0,18,1-2,0-0,50.0%,0-0,-,0,3,3,0,0,2,0,2,2
@ Soles de Santo Domingo Este,17 sept 2019,P  98-97,9,6,0,19,3-8,0-3,27.3%,3-6,50.0%,4,2,6,0,0,1,0,9,3
vs Indios de San Francisco,16 sept 2019,G  92-87,19,11,1,28,5-5,2-5,70.0%,3-4,75.0%,0,11,11,1,0,1,2,19,28
vs Metros de Santiago,14 sept 2019,G  93-89,12,12,1,33,3-11,2-3,35.7%,0-0,-,4,8,12,1,2,0,0,12,18
vs Leones de Santo Domingo,12 sept 2019,G  110-76,7,11,3,28,0-5,1-3,12.5%,4-4,100.0%,1,10,11,3,1,2,1,7,14
@ Indios de San Francisco,10 sept 2019,G  81-82,17,7,1,29,3-9,1-2,36.4%,8-11,72.7%,1,6,7,1,3,0,0,17,18
vs Reales de La Vega,9 sept 2019,P  78-81,10,9,1,30,1-1,2-4,60.0%,2-2,100.0%,1,8,9,1,4,2,3,10,23
@ Metros de Santiago,7 sept 2019,P  86-65,13,10,0,30,3-13,1-4,23.5%,4-4,100.0%,3,7,10,0,0,2,0,13,8
@ Leones de Santo Domingo,5 sept 2019,P  89-85,15,9,2,23,6-8,0-1,66.7%,3-3,100.0%,2,7,9,2,3,1,0,15,25
vs Soles de Santo Domingo Este,3 sept 2019,P  95-100,14,8,2,28,3-7,1-3,40.0%,5-8,62.5%,1,7,8,2,3,1,1,14,18
vs C.B. Prat,1 feb 2019,G  85-67,11,9,1,19,5-9,0-0,55.6%,1-2,50.0%,3,6,9,1,1,4,0,11,13
@ Fibwi Palma,27 ene 2019,P  84-72,12,5,0,22,4-6,1-2,62.5%,1-1,100.0%,1,4,5,0,2,3,0,12,13
vs Real Betis,22 ene 2019,P  70-78,12,10,2,29,4-11,0-0,36.4%,4-4,100.0%,4,6,10,2,2,0,2,12,21
@ Real Valladolid,18 ene 2019,P  75-65,2,10,0,26,1-3,0-0,33.3%,0-0,-,1,9,10,0,0,3,2,2,9
vs Araberri Basket Club,11 ene 2019,G  96-82,8,10,0,20,3-7,0-0,42.9%,2-2,100.0%,2,8,10,0,0,3,0,8,11
@ Levitec Huesca,6 ene 2019,P  83-78,2,2,0,8,1-3,0-0,33.3%,0-0,-,0,2,2,0,0,2,0,2,0
vs Hiopos Lleida,28 dic 2018,G  73-61,13,6,1,14,6-9,0-0,66.7%,1-1,100.0%,0,6,6,1,1,3,0,13,15
@ Amics Castello,21 dic 2018,G  59-72,6,5,0,21,3-5,0-1,50.0%,0-0,-,1,4,5,0,0,4,3,6,7
vs Alimerka Oviedo,15 dic 2018,G  98-76,10,6,2,20,3-4,0-0,75.0%,4-4,100.0%,2,4,6,2,0,2,0,10,15
@ FC Barcelona II,8 dic 2018,G  65-88,4,8,3,15,2-3,0-0,66.7%,0-0,-,1,7,8,3,0,2,2,4,14
@ Coviran Granada,27 nov 2018,P  93-59,12,5,1,19,3-7,2-3,50.0%,0-0,-,3,2,5,1,0,2,0,12,11
vs Melilla Ciudad Del Deporte 1,23 nov 2018,P  72-76,2,2,1,12,1-9,0-0,11.1%,0-0,-,2,0,2,1,0,1,1,2,-3
@ Ourense,17 nov 2018,P  96-75,7,5,0,19,1-6,0-0,16.7%,5-6,83.3%,3,2,5,0,0,3,0,7,3
vs Súper Agropal Palencia,9 nov 2018,P  95-109,6,2,0,13,3-4,0-0,75.0%,0-0,-,0,2,2,0,0,0,0,6,7
@ Caceres,2 nov 2018,P  84-80,13,7,0,18,5-10,0-1,45.5%,3-4,75.0%,4,3,7,0,1,1,0,13,13
vs Surne Bilbao,26 oct 2018,P  64-74,7,6,0,17,2-4,0-1,40.0%,3-4,75.0%,1,5,6,0,0,6,0,7,3
@ C.B. Prat,20 oct 2018,P  76-66,2,3,0,19,1-8,0-0,12.5%,0-2,0.0%,1,2,3,0,0,4,0,2,-8
vs Fibwi Palma,14 oct 2018,P  76-79,16,8,1,26,5-12,2-5,41.2%,0-0,-,2,6,8,1,0,2,0,16,13
@ Real Betis,9 oct 2018,P  96-88,13,6,0,15,4-5,0-0,80.0%,5-8,62.5%,0,6,6,0,1,2,0,13,14
vs Real Valladolid,5 oct 2018,G  95-90,16,11,1,28,8-11,0-2,61.5%,0-0,-,1,10,11,1,1,2,0,16,22
