PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Araberri Basket Club,3 may 2019,G  76-82,0,1,0,18,0-2,0-3,0.0%,0-0,-,0,1,1,0,0,2,0,0,-6
vs Levitec Huesca,26 abr 2019,G  86-74,4,2,6,27,2-4,0-3,28.6%,0-0,-,0,2,2,6,1,0,0,4,8
@ Hiopos Lleida,18 abr 2019,G  88-90,6,3,6,33,2-6,0-4,20.0%,2-4,50.0%,0,3,3,6,1,3,0,6,3
vs Amics Castello,12 abr 2019,P  83-84,12,1,4,29,3-5,2-4,55.6%,0-0,-,1,0,1,4,2,2,0,12,13
@ Alimerka Oviedo,5 abr 2019,P  80-70,7,1,2,31,1-2,1-4,33.3%,2-2,100.0%,0,1,1,2,2,0,0,7,8
vs FC Barcelona II,29 mar 2019,G  58-49,7,3,4,34,1-3,1-5,25.0%,2-2,100.0%,0,3,3,4,4,2,1,7,11
@ Real Canoe N.C.,23 mar 2019,P  65-58,4,1,6,29,2-3,0-5,25.0%,0-0,-,0,1,1,6,2,3,0,4,4
vs Coviran Granada,19 mar 2019,P  73-80,0,2,7,23,0-1,0-2,0.0%,0-0,-,2,0,2,7,0,3,0,0,3
@ Melilla Ciudad Del Deporte 1,15 mar 2019,G  67-70,14,7,7,33,1-3,2-10,23.1%,6-6,100.0%,0,7,7,7,3,2,0,14,19
vs Ourense,10 mar 2019,P  63-78,9,1,4,27,1-1,2-6,42.9%,1-2,50.0%,0,1,1,4,1,3,0,9,7
@ Súper Agropal Palencia,1 mar 2019,P  93-84,22,2,6,35,5-7,4-10,52.9%,0-0,-,0,2,2,6,2,2,0,22,22
vs Caceres,22 feb 2019,G  68-55,0,0,1,4,0-2,0-1,0.0%,0-0,-,0,0,0,1,0,2,0,0,-4
@ Surne Bilbao,17 feb 2019,P  87-59,2,0,0,22,1-5,0-4,11.1%,0-0,-,0,0,0,0,1,2,0,2,-7
vs C.B. Prat,1 feb 2019,G  85-67,0,1,5,28,0-5,0-4,0.0%,0-0,-,0,1,1,5,1,1,0,0,-3
@ Fibwi Palma,27 ene 2019,P  84-72,8,1,2,31,0-0,0-4,0.0%,8-8,100.0%,0,1,1,2,2,1,0,8,8
vs Real Betis,22 ene 2019,P  70-78,3,3,4,28,0-5,0-5,0.0%,3-4,75.0%,0,3,3,4,2,2,1,3,0
@ Real Valladolid,18 ene 2019,P  75-65,5,0,2,18,0-2,1-5,14.3%,2-2,100.0%,0,0,0,2,1,2,0,5,0
vs Araberri Basket Club,11 ene 2019,G  96-82,6,2,2,16,1-1,0-4,20.0%,4-4,100.0%,0,2,2,2,0,1,0,6,5
@ Levitec Huesca,6 ene 2019,P  83-78,16,2,8,37,2-7,3-11,27.8%,3-3,100.0%,0,2,2,8,1,3,0,16,11
vs Hiopos Lleida,28 dic 2018,G  73-61,12,2,7,30,1-5,3-7,33.3%,1-2,50.0%,1,1,2,7,3,4,0,12,11
@ Amics Castello,21 dic 2018,G  59-72,6,0,3,19,2-2,0-6,25.0%,2-4,50.0%,0,0,0,3,2,0,0,6,3
@ Real Betis,9 oct 2018,P  96-88,14,0,2,13,0-1,4-5,66.7%,2-2,100.0%,0,0,0,2,0,3,0,14,11
vs Real Valladolid,5 oct 2018,G  95-90,17,2,10,34,2-7,2-5,33.3%,7-7,100.0%,0,2,2,10,1,0,1,17,23
