PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Araberri Basket Club,3 may 2019,G  76-82,14,3,2,15,4-8,2-2,60.0%,0-0,-,1,2,3,2,0,2,0,14,13
vs Levitec Huesca,26 abr 2019,G  86-74,19,2,0,21,3-3,4-6,77.8%,1-1,100.0%,0,2,2,0,0,1,0,19,18
@ Hiopos Lleida,18 abr 2019,G  88-90,6,1,1,10,0-1,2-3,50.0%,0-0,-,0,1,1,1,1,1,0,6,6
vs Amics Castello,12 abr 2019,P  83-84,8,2,0,22,1-4,2-4,37.5%,0-0,-,0,2,2,0,0,1,0,8,4
@ Alimerka Oviedo,5 abr 2019,P  80-70,5,2,2,14,1-1,1-3,50.0%,0-0,-,0,2,2,2,2,0,0,5,9
vs FC Barcelona II,29 mar 2019,G  58-49,0,0,0,6,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Real Canoe N.C.,23 mar 2019,P  65-58,7,3,1,19,2-8,1-6,21.4%,0-0,-,0,3,3,1,1,0,0,7,1
vs Coviran Granada,19 mar 2019,P  73-80,8,0,1,15,0-2,2-2,50.0%,2-2,100.0%,0,0,0,1,0,1,0,8,6
@ Melilla Ciudad Del Deporte 1,15 mar 2019,G  67-70,0,1,1,14,0-2,0-2,0.0%,0-0,-,0,1,1,1,0,0,0,0,-2
vs Ourense,10 mar 2019,P  63-78,0,3,1,10,0-2,0-3,0.0%,0-0,-,1,2,3,1,1,1,0,0,-1
@ Súper Agropal Palencia,1 mar 2019,P  93-84,8,1,0,16,1-2,2-7,33.3%,0-0,-,0,1,1,0,1,2,0,8,2
vs Caceres,22 feb 2019,G  68-55,10,4,1,25,2-4,2-8,33.3%,0-0,-,2,2,4,1,2,2,0,10,7
@ Surne Bilbao,17 feb 2019,P  87-59,2,1,2,12,0-1,0-2,0.0%,2-2,100.0%,0,1,1,2,0,1,0,2,1
vs C.B. Prat,1 feb 2019,G  85-67,15,0,2,21,3-3,3-5,75.0%,0-0,-,0,0,0,2,2,1,0,15,16
@ Fibwi Palma,27 ene 2019,P  84-72,17,3,0,21,4-5,3-6,63.6%,0-0,-,1,2,3,0,2,3,0,17,15
vs Real Betis,22 ene 2019,P  70-78,5,1,4,22,1-3,1-5,25.0%,0-0,-,0,1,1,4,0,2,0,5,2
@ Real Valladolid,18 ene 2019,P  75-65,13,2,2,27,2-3,3-6,55.6%,0-0,-,1,1,2,2,0,1,0,13,12
vs Araberri Basket Club,11 ene 2019,G  96-82,9,2,2,22,0-0,3-10,30.0%,0-0,-,0,2,2,2,0,0,0,9,6
@ Levitec Huesca,6 ene 2019,P  83-78,9,0,2,14,2-4,1-2,50.0%,2-2,100.0%,0,0,0,2,0,1,0,9,7
vs Hiopos Lleida,28 dic 2018,G  73-61,10,0,1,27,2-6,2-7,30.8%,0-0,-,0,0,0,1,1,0,0,10,3
@ Amics Castello,21 dic 2018,G  59-72,10,2,1,27,2-7,2-6,30.8%,0-0,-,0,2,2,1,0,2,0,10,2
vs Alimerka Oviedo,15 dic 2018,G  98-76,15,1,2,23,3-5,3-5,60.0%,0-0,-,0,1,1,2,1,0,0,15,15
@ FC Barcelona II,8 dic 2018,G  65-88,12,0,0,24,1-1,3-7,50.0%,1-3,33.3%,0,0,0,0,0,0,0,12,6
vs Real Canoe N.C.,2 dic 2018,G  85-59,16,3,2,20,2-4,4-5,66.7%,0-0,-,0,3,3,2,0,2,0,16,16
@ Coviran Granada,27 nov 2018,P  93-59,6,1,3,24,0-0,2-5,40.0%,0-0,-,0,1,1,3,1,0,0,6,8
vs Melilla Ciudad Del Deporte 1,23 nov 2018,P  72-76,13,2,1,19,2-4,2-8,33.3%,3-3,100.0%,1,1,2,1,0,2,0,13,6
@ Ourense,17 nov 2018,P  96-75,7,2,1,14,1-2,1-5,28.6%,2-2,100.0%,1,1,2,1,0,0,0,7,5
vs Súper Agropal Palencia,9 nov 2018,P  95-109,5,1,3,16,1-2,1-5,28.6%,0-0,-,0,1,1,3,1,0,1,5,6
@ Caceres,2 nov 2018,P  84-80,14,1,2,20,1-2,4-6,62.5%,0-0,-,0,1,1,2,0,0,0,14,14
vs Surne Bilbao,26 oct 2018,P  64-74,6,3,3,26,0-1,2-5,33.3%,0-0,-,0,3,3,3,3,0,0,6,11
@ C.B. Prat,20 oct 2018,P  76-66,0,1,0,11,0-2,0-1,0.0%,0-0,-,1,0,1,0,0,0,0,0,-2
vs Fibwi Palma,14 oct 2018,P  76-79,12,1,1,29,4-5,1-4,55.6%,1-1,100.0%,0,1,1,1,0,0,0,12,10
@ Real Betis,9 oct 2018,P  96-88,15,1,0,27,3-4,2-6,50.0%,3-3,100.0%,0,1,1,0,1,1,0,15,11
vs Real Valladolid,5 oct 2018,G  95-90,12,1,1,23,0-4,4-4,50.0%,0-0,-,1,0,1,1,0,1,0,12,9
