PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Prat,3 may 2019,G  81-71,12,3,3,19,4-5,0-0,80.0%,4-5,80.0%,0,3,3,3,0,3,0,12,13
@ Fibwi Palma,26 abr 2019,P  65-51,7,5,0,23,2-5,0-0,40.0%,3-4,75.0%,1,4,5,0,0,3,1,7,6
vs Real Betis,21 abr 2019,P  84-90,14,10,0,27,6-9,0-0,66.7%,2-2,100.0%,4,6,10,0,0,0,0,14,21
@ Real Valladolid,12 abr 2019,G  79-85,15,3,3,25,6-8,0-0,75.0%,3-3,100.0%,0,3,3,3,0,4,0,15,15
vs Leyma Coruña,5 abr 2019,G  80-70,14,9,1,22,5-14,0-0,35.7%,4-6,66.7%,4,5,9,1,1,1,0,14,13
@ Levitec Huesca,29 mar 2019,P  68-66,6,7,1,20,3-4,0-0,75.0%,0-0,-,1,6,7,1,2,3,1,6,13
vs Hiopos Lleida,23 mar 2019,G  83-68,17,7,2,23,5-8,0-0,62.5%,7-8,87.5%,2,5,7,2,0,0,0,17,22
@ Amics Castello,19 mar 2019,G  84-89,10,12,2,31,5-6,0-0,83.3%,0-0,-,3,9,12,2,0,0,0,10,23
vs Araberri Basket Club,16 mar 2019,G  71-63,12,5,1,25,4-7,0-0,57.1%,4-5,80.0%,1,4,5,1,0,2,0,12,12
vs FC Barcelona II,9 mar 2019,G  103-63,6,5,1,18,1-3,0-0,33.3%,4-6,66.7%,1,4,5,1,0,0,1,6,9
@ Real Canoe N.C.,1 mar 2019,G  59-70,8,10,2,26,4-6,0-0,66.7%,0-2,0.0%,4,6,10,2,0,3,0,8,13
vs Coviran Granada,23 feb 2019,G  76-56,13,10,2,31,5-8,0-0,62.5%,3-5,60.0%,1,9,10,2,2,3,0,13,19
@ Melilla Ciudad Del Deporte 1,15 feb 2019,P  74-69,10,7,1,24,5-14,0-0,35.7%,0-0,-,1,6,7,1,1,3,0,10,7
vs Ourense,2 feb 2019,P  78-81,16,8,0,20,7-10,0-0,70.0%,2-2,100.0%,3,5,8,0,1,3,0,16,19
@ Súper Agropal Palencia,27 ene 2019,G  66-84,18,9,2,29,7-9,0-0,77.8%,4-6,66.7%,0,9,9,2,0,1,1,18,25
vs Caceres,23 ene 2019,G  82-62,9,9,2,16,3-3,0-0,100.0%,3-3,100.0%,0,9,9,2,2,0,0,9,22
@ Surne Bilbao,20 ene 2019,G  72-81,12,10,2,24,3-6,0-0,50.0%,6-8,75.0%,1,9,10,2,0,1,0,12,18
@ C.B. Prat,11 ene 2019,P  79-78,16,3,0,29,7-10,0-0,70.0%,2-2,100.0%,0,3,3,0,0,2,0,16,14
vs Fibwi Palma,6 ene 2019,G  72-66,23,5,0,30,10-12,0-0,83.3%,3-3,100.0%,0,5,5,0,2,2,2,23,28
@ Real Betis,28 dic 2018,P  85-69,13,10,1,30,6-9,0-0,66.7%,1-1,100.0%,4,6,10,1,2,2,1,13,22
vs Real Valladolid,22 dic 2018,G  78-68,11,9,4,23,5-7,0-0,71.4%,1-2,50.0%,1,8,9,4,0,1,0,11,20
@ Leyma Coruña,15 dic 2018,P  98-76,10,8,3,21,5-9,0-0,55.6%,0-0,-,1,7,8,3,0,4,0,10,13
vs Levitec Huesca,8 dic 2018,G  73-58,22,10,2,25,10-13,0-0,76.9%,2-3,66.7%,2,8,10,2,1,2,1,22,30
@ Hiopos Lleida,2 dic 2018,G  67-70,16,6,1,32,7-11,0-0,63.6%,2-3,66.7%,1,5,6,1,1,2,1,16,18
vs Amics Castello,28 nov 2018,G  95-70,12,8,4,29,5-8,0-0,62.5%,2-2,100.0%,0,8,8,4,3,2,1,12,23
@ Araberri Basket Club,24 nov 2018,P  74-72,19,8,0,31,6-13,0-0,46.2%,7-9,77.8%,2,6,8,0,1,1,0,19,18
@ FC Barcelona II,17 nov 2018,G  60-63,8,7,1,27,3-5,0-0,60.0%,2-4,50.0%,4,3,7,1,1,2,0,8,11
vs Real Canoe N.C.,10 nov 2018,G  78-56,13,7,0,22,5-7,0-0,71.4%,3-4,75.0%,2,5,7,0,0,3,0,13,14
@ Coviran Granada,4 nov 2018,G  70-73,8,3,3,17,2-4,0-0,50.0%,4-5,80.0%,0,3,3,3,0,2,1,8,10
vs Melilla Ciudad Del Deporte 1,27 oct 2018,P  75-78,18,5,0,26,8-11,0-0,72.7%,2-2,100.0%,3,2,5,0,0,1,1,18,20
@ Ourense,20 oct 2018,G  67-74,10,10,0,20,5-6,0-0,83.3%,0-0,-,2,8,10,0,0,3,0,10,16
vs Súper Agropal Palencia,13 oct 2018,P  81-83,17,8,0,26,6-7,0-0,85.7%,5-6,83.3%,2,6,8,0,1,4,3,17,23
@ Caceres,10 oct 2018,G  57-70,6,6,3,20,3-5,0-0,60.0%,0-4,0.0%,1,5,6,3,0,1,0,6,8
vs Surne Bilbao,6 oct 2018,P  77-82,16,4,0,27,6-10,0-0,60.0%,4-5,80.0%,0,4,4,0,0,4,2,16,13
