PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Prat,3 may 2019,G  81-71,10,5,2,19,5-7,0-0,71.4%,0-2,0.0%,2,3,5,2,0,0,2,10,15
@ Fibwi Palma,26 abr 2019,P  65-51,8,6,0,16,4-6,0-0,66.7%,0-3,0.0%,3,3,6,0,0,1,1,8,9
vs Real Betis,21 abr 2019,P  84-90,4,4,0,13,2-4,0-0,50.0%,0-2,0.0%,2,2,4,0,0,1,2,4,5
@ Real Valladolid,12 abr 2019,G  79-85,6,3,0,13,3-3,0-0,100.0%,0-1,0.0%,0,3,3,0,0,1,1,6,8
vs Leyma Coruña,5 abr 2019,G  80-70,12,6,1,16,4-6,0-0,66.7%,4-4,100.0%,1,5,6,1,0,0,0,12,17
@ Levitec Huesca,29 mar 2019,P  68-66,7,11,0,16,3-8,0-0,37.5%,1-4,25.0%,3,8,11,0,0,1,1,7,10
vs Hiopos Lleida,23 mar 2019,G  83-68,10,5,1,16,4-5,0-0,80.0%,2-4,50.0%,2,3,5,1,0,1,2,10,14
@ Amics Castello,19 mar 2019,G  84-89,2,3,0,4,1-1,0-0,100.0%,0-0,-,0,3,3,0,0,1,1,2,5
vs Araberri Basket Club,16 mar 2019,G  71-63,2,3,0,9,1-1,0-0,100.0%,0-2,0.0%,0,3,3,0,0,0,0,2,3
vs FC Barcelona II,9 mar 2019,G  103-63,8,4,1,17,3-5,0-0,60.0%,2-3,66.7%,2,2,4,1,0,1,2,8,11
vs Coviran Granada,23 feb 2019,G  76-56,4,1,0,5,1-3,0-0,33.3%,2-2,100.0%,0,1,1,0,0,1,1,4,3
@ Melilla Ciudad Del Deporte 1,15 feb 2019,P  74-69,12,5,1,26,5-11,0-0,45.5%,2-2,100.0%,3,2,5,1,0,0,0,12,12
vs Ourense,2 feb 2019,P  78-81,7,7,0,20,3-5,0-0,60.0%,1-5,20.0%,2,5,7,0,3,2,1,7,10
@ Súper Agropal Palencia,27 ene 2019,G  66-84,11,6,1,21,5-9,0-0,55.6%,1-1,100.0%,1,5,6,1,0,3,1,11,12
vs Caceres,23 ene 2019,G  82-62,11,9,1,23,5-8,0-0,62.5%,1-2,50.0%,3,6,9,1,3,1,5,11,24
@ Surne Bilbao,20 ene 2019,G  72-81,8,6,0,15,4-6,0-0,66.7%,0-0,-,1,5,6,0,0,0,0,8,12
@ C.B. Prat,11 ene 2019,P  79-78,6,6,0,16,2-2,0-0,100.0%,2-4,50.0%,2,4,6,0,0,2,1,6,9
vs Fibwi Palma,6 ene 2019,G  72-66,2,5,1,9,1-4,0-0,25.0%,0-0,-,2,3,5,1,0,0,3,2,8
@ Real Betis,28 dic 2018,P  85-69,2,0,0,11,1-3,0-0,33.3%,0-0,-,0,0,0,0,0,1,1,2,0
vs Real Valladolid,22 dic 2018,G  78-68,6,8,1,23,3-4,0-0,75.0%,0-2,0.0%,3,5,8,1,0,1,2,6,13
@ Leyma Coruña,15 dic 2018,P  98-76,8,8,0,18,3-5,0-0,60.0%,2-5,40.0%,3,5,8,0,0,1,2,8,12
vs Levitec Huesca,8 dic 2018,G  73-58,6,3,0,14,3-9,0-0,33.3%,0-3,0.0%,1,2,3,0,0,0,1,6,1
vs Real Canoe N.C.,10 nov 2018,G  78-56,11,10,0,13,4-5,0-0,80.0%,3-3,100.0%,1,9,10,0,0,1,2,11,21
@ Coviran Granada,4 nov 2018,G  70-73,9,2,0,11,4-6,0-0,66.7%,1-2,50.0%,1,1,2,0,0,2,1,9,7
vs Melilla Ciudad Del Deporte 1,27 oct 2018,P  75-78,8,6,1,14,2-2,0-1,66.7%,4-10,40.0%,2,4,6,1,0,1,1,8,8
@ Ourense,20 oct 2018,G  67-74,11,3,0,19,5-5,0-0,100.0%,1-1,100.0%,1,2,3,0,3,3,2,11,16
vs Súper Agropal Palencia,13 oct 2018,P  81-83,4,4,0,13,2-4,0-0,50.0%,0-0,-,2,2,4,0,1,0,1,4,8
@ Caceres,10 oct 2018,G  57-70,9,9,2,23,4-10,0-0,40.0%,1-2,50.0%,3,6,9,2,1,0,0,9,14
vs Surne Bilbao,6 oct 2018,P  77-82,4,4,1,16,2-4,0-0,50.0%,0-0,-,3,1,4,1,0,0,1,4,8
