PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs C.B. Prat,3 may 2019,G  81-71,14,11,1,24,1-6,2-2,37.5%,6-6,100.0%,1,10,11,1,1,2,0,14,20
@ Fibwi Palma,26 abr 2019,P  65-51,20,8,1,20,7-8,1-4,66.7%,3-6,50.0%,4,4,8,1,0,2,0,20,20
vs Real Betis,21 abr 2019,P  84-90,15,10,1,30,5-10,1-3,46.2%,2-2,100.0%,2,8,10,1,1,5,0,15,15
@ Real Valladolid,12 abr 2019,G  79-85,6,2,1,11,3-7,0-1,37.5%,0-0,-,1,1,2,1,0,0,0,6,4
vs Leyma Coruña,5 abr 2019,G  80-70,10,3,0,22,2-4,0-1,40.0%,6-6,100.0%,1,2,3,0,0,1,0,10,9
@ Levitec Huesca,29 mar 2019,P  68-66,2,2,1,12,1-7,0-2,11.1%,0-0,-,1,1,2,1,2,1,0,2,-2
vs Hiopos Lleida,23 mar 2019,G  83-68,5,5,0,20,1-2,1-1,66.7%,0-0,-,2,3,5,0,1,2,0,5,8
@ Amics Castello,19 mar 2019,G  84-89,15,9,1,21,6-14,1-3,41.2%,0-1,0.0%,5,4,9,1,1,3,0,15,12
vs Araberri Basket Club,16 mar 2019,G  71-63,4,4,1,20,1-6,0-1,14.3%,2-2,100.0%,1,3,4,1,1,3,0,4,1
vs FC Barcelona II,9 mar 2019,G  103-63,15,4,3,19,5-7,1-3,60.0%,2-2,100.0%,0,4,4,3,0,0,0,15,18
@ Real Canoe N.C.,1 mar 2019,G  59-70,12,7,0,22,4-6,1-3,55.6%,1-2,50.0%,0,7,7,0,0,3,0,12,11
@ Paris,14 feb 2019,P  93-74,2,0,0,4,1-2,0-1,33.3%,0-0,-,0,0,0,0,0,0,0,2,0
@ Nantes,8 feb 2019,P  87-79,3,2,2,20,0-7,1-4,9.1%,0-0,-,1,1,2,2,0,2,0,3,-5
vs Evreux,2 feb 2019,P  68-73,3,1,2,12,0-2,1-1,33.3%,0-0,-,0,1,1,2,1,0,0,3,5
@ Poitiers,26 ene 2019,G  85-90,8,3,1,19,0-0,2-5,40.0%,2-2,100.0%,0,3,3,1,0,2,0,8,7
vs Aix-Maurienne,19 ene 2019,G  65-57,0,3,0,9,0-2,0-1,0.0%,0-0,-,1,2,3,0,0,2,0,0,-2
vs Caen,15 ene 2019,P  79-85,0,1,0,9,0-2,0-0,0.0%,0-0,-,1,0,1,0,0,0,0,0,-1
@ JA Vichy,11 ene 2019,P  93-71,7,2,0,19,2-6,1-3,33.3%,0-0,-,1,1,2,0,1,1,0,7,3
@ Denain,27 dic 2018,G  78-88,21,3,1,27,3-5,2-3,62.5%,9-9,100.0%,0,3,3,1,0,1,0,21,21
vs Nantes,21 dic 2018,P  68-76,20,6,1,32,6-13,2-3,50.0%,2-2,100.0%,2,4,6,1,1,2,1,20,19
vs Orléans,14 dic 2018,P  80-81,3,1,0,7,1-3,0-2,20.0%,1-2,50.0%,0,1,1,0,0,0,0,3,-1
vs Chartres,8 dic 2018,G  94-78,2,2,0,5,1-1,0-2,33.3%,0-0,-,0,2,2,0,1,0,0,2,3
@ Roanne,23 nov 2018,P  93-88,10,2,0,24,4-6,0-1,57.1%,2-2,100.0%,1,1,2,0,1,2,0,10,8
vs Lille,16 nov 2018,G  85-84,4,2,2,15,2-3,0-1,50.0%,0-0,-,0,2,2,2,0,1,0,4,5
@ Saint-Chamond,9 nov 2018,P  84-80,10,3,1,25,3-7,1-2,44.4%,1-2,50.0%,0,3,3,1,1,2,0,10,7
vs Alliance Sport Alsace,3 nov 2018,G  98-96,14,7,3,22,5-7,1-1,75.0%,1-1,100.0%,4,3,7,3,0,1,0,14,21
@ Rouen,26 oct 2018,P  81-75,6,5,3,19,1-4,1-2,33.3%,1-2,50.0%,1,4,5,3,0,2,1,6,8
vs Blois,20 oct 2018,P  78-82,17,4,0,25,5-7,1-3,60.0%,4-4,100.0%,2,2,4,0,2,0,0,17,19
@ Nancy,13 oct 2018,P  70-65,4,2,0,18,2-10,0-3,15.4%,0-0,-,1,1,2,0,2,1,0,4,-4
