PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Ourense,3 may 2019,G  69-63,13,10,0,25,6-9,0-0,66.7%,1-2,50.0%,3,7,10,0,1,3,2,13,19
@ Súper Agropal Palencia,26 abr 2019,G  76-84,12,6,0,23,5-9,0-0,55.6%,2-2,100.0%,1,5,6,0,0,0,2,12,16
vs Caceres,20 abr 2019,G  78-76,13,7,0,19,6-8,0-0,75.0%,1-1,100.0%,3,4,7,0,0,1,0,13,17
@ Surne Bilbao,14 abr 2019,P  62-59,10,7,0,16,5-10,0-0,50.0%,0-2,0.0%,4,3,7,0,0,0,1,10,11
vs C.B. Prat,5 abr 2019,P  72-88,10,5,0,20,4-6,0-0,66.7%,2-3,66.7%,3,2,5,0,0,2,0,10,10
@ Fibwi Palma,31 mar 2019,P  79-65,0,1,0,6,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,0,1,0,1
vs Real Betis,24 mar 2019,P  72-77,2,0,0,12,0-1,0-0,0.0%,2-2,100.0%,0,0,0,0,0,0,0,2,1
@ Real Valladolid,19 mar 2019,G  70-76,3,4,0,9,1-1,0-0,100.0%,1-2,50.0%,1,3,4,0,0,0,0,3,6
vs Leyma Coruña,15 mar 2019,P  67-70,4,7,1,21,2-5,0-0,40.0%,0-2,0.0%,1,6,7,1,0,1,2,4,8
@ Levitec Huesca,8 mar 2019,G  87-88,7,7,0,23,3-4,0-0,75.0%,1-2,50.0%,2,5,7,0,0,1,0,7,11
vs Hiopos Lleida,1 mar 2019,G  83-72,7,8,0,18,3-5,0-0,60.0%,1-2,50.0%,2,6,8,0,0,0,0,7,12
@ Amics Castello,22 feb 2019,G  73-81,11,5,1,30,5-7,0-0,71.4%,1-4,25.0%,1,4,5,1,1,0,0,11,13
vs Alimerka Oviedo,15 feb 2019,G  74-69,10,9,1,23,5-6,0-0,83.3%,0-0,-,5,4,9,1,0,2,2,10,19
@ FC Barcelona II,2 feb 2019,G  60-78,16,11,0,26,6-10,0-0,60.0%,4-6,66.7%,5,6,11,0,0,1,2,16,22
vs Real Canoe N.C.,27 ene 2019,G  82-59,5,9,0,18,1-3,0-0,33.3%,3-4,75.0%,1,8,9,0,0,0,1,5,12
@ Coviran Granada,23 ene 2019,G  76-85,5,3,1,22,2-3,0-0,66.7%,1-3,33.3%,0,3,3,1,1,1,2,5,8
@ Ourense,12 ene 2019,P  68-60,6,2,0,20,2-4,0-0,50.0%,2-2,100.0%,2,0,2,0,1,0,0,6,7
vs Súper Agropal Palencia,4 ene 2019,G  77-74,5,2,1,15,2-3,0-0,66.7%,1-2,50.0%,1,1,2,1,1,2,1,5,6
@ Caceres,28 dic 2018,G  60-71,10,4,0,13,1-1,0-0,100.0%,8-10,80.0%,3,1,4,0,0,1,0,10,11
vs Surne Bilbao,21 dic 2018,P  63-76,8,1,0,19,4-6,0-0,66.7%,0-0,-,0,1,1,0,0,0,0,8,7
@ C.B. Prat,15 dic 2018,G  73-77,11,9,0,26,4-7,0-0,57.1%,3-4,75.0%,4,5,9,0,1,1,1,11,17
vs Fibwi Palma,7 dic 2018,G  75-63,13,7,0,24,6-11,0-0,54.5%,1-1,100.0%,3,4,7,0,0,0,0,13,15
@ Real Betis,2 dic 2018,P  85-64,14,7,0,30,6-7,0-0,85.7%,2-2,100.0%,3,4,7,0,1,0,0,14,21
vs Real Valladolid,27 nov 2018,G  79-72,17,4,0,23,8-9,0-0,88.9%,1-2,50.0%,2,2,4,0,0,1,1,17,19
vs Levitec Huesca,16 nov 2018,P  69-79,6,6,0,15,1-1,0-0,100.0%,4-4,100.0%,2,4,6,0,0,0,1,6,13
@ Hiopos Lleida,9 nov 2018,P  67-66,3,4,0,28,0-1,0-0,0.0%,3-4,75.0%,2,2,4,0,0,3,1,3,3
vs Amics Castello,2 nov 2018,G  82-72,4,2,0,20,2-2,0-0,100.0%,0-0,-,0,2,2,0,1,1,0,4,6
@ Alimerka Oviedo,27 oct 2018,G  75-78,13,5,0,21,6-8,0-0,75.0%,1-1,100.0%,3,2,5,0,1,0,0,13,17
vs FC Barcelona II,19 oct 2018,P  63-95,13,7,1,21,6-6,0-0,100.0%,1-2,50.0%,3,4,7,1,1,0,0,13,21
@ Real Canoe N.C.,12 oct 2018,P  84-68,11,5,0,23,5-8,0-0,62.5%,1-1,100.0%,1,4,5,0,2,2,1,11,14
vs Coviran Granada,10 oct 2018,G  67-53,1,2,0,14,0-3,0-0,0.0%,1-2,50.0%,0,2,2,0,3,0,1,1,3
