PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Melilla Ciudad Del Deporte 1,3 may 2019,P  69-63,6,0,1,24,1-3,1-2,40.0%,1-2,50.0%,0,0,0,1,1,3,0,6,1
vs Araberri Basket Club,26 abr 2019,G  65-58,0,1,1,13,0-1,0-1,0.0%,0-0,-,1,0,1,1,1,1,0,0,0
vs Súper Agropal Palencia,21 abr 2019,P  52-55,2,3,0,11,1-1,0-0,100.0%,0-0,-,0,3,3,0,0,0,0,2,5
@ Caceres,12 abr 2019,G  80-83,12,1,0,12,3-3,1-2,80.0%,3-4,75.0%,0,1,1,0,0,1,0,12,10
vs Surne Bilbao,6 abr 2019,P  70-82,6,1,1,20,1-3,1-2,40.0%,1-2,50.0%,0,1,1,1,0,1,0,6,3
@ C.B. Prat,30 mar 2019,G  67-88,11,0,1,15,4-6,0-1,57.1%,3-7,42.9%,0,0,0,1,0,1,0,11,4
vs Fibwi Palma,24 mar 2019,P  54-66,0,2,0,10,0-2,0-0,0.0%,0-0,-,0,2,2,0,0,0,0,0,0
@ Real Betis,20 mar 2019,P  82-74,0,0,0,8,0-1,0-1,0.0%,0-0,-,0,0,0,0,0,2,0,0,-4
@ Leyma Coruña,10 mar 2019,G  63-78,10,1,2,17,2-5,2-2,57.1%,0-0,-,0,1,1,2,1,1,0,10,10
vs Levitec Huesca,2 mar 2019,G  78-62,0,1,2,15,0-2,0-0,0.0%,0-0,-,0,1,1,2,1,1,0,0,1
@ Hiopos Lleida,22 feb 2019,G  61-70,7,4,2,28,2-5,1-4,33.3%,0-0,-,1,3,4,2,1,2,0,7,6
vs Amics Castello,16 feb 2019,P  72-82,7,4,1,20,2-4,0-2,33.3%,3-5,60.0%,0,4,4,1,0,3,0,7,3
@ Alimerka Oviedo,2 feb 2019,G  78-81,10,1,1,10,3-4,0-0,75.0%,4-4,100.0%,0,1,1,1,1,2,0,10,10
vs FC Barcelona II,27 ene 2019,G  76-69,10,2,3,19,2-6,1-2,37.5%,3-5,60.0%,0,2,2,3,0,0,0,10,8
@ Real Canoe N.C.,23 ene 2019,G  62-90,16,3,1,19,2-4,2-2,66.7%,6-6,100.0%,1,2,3,1,1,1,0,16,18
vs Coviran Granada,19 ene 2019,P  80-83,12,3,2,21,1-2,2-3,60.0%,4-7,57.1%,1,2,3,2,0,1,0,12,11
vs Melilla Ciudad Del Deporte 1,12 ene 2019,G  68-60,4,2,0,10,1-4,0-0,25.0%,2-2,100.0%,0,2,2,0,0,1,0,4,2
@ Araberri Basket Club,6 ene 2019,G  85-94,2,2,3,14,1-3,0-1,25.0%,0-0,-,0,2,2,3,0,0,0,2,4
@ Súper Agropal Palencia,30 dic 2018,G  76-88,6,1,0,11,0-1,1-2,33.3%,3-4,75.0%,0,1,1,0,0,0,0,6,4
vs Caceres,19 dic 2018,G  85-73,0,1,0,15,0-3,0-0,0.0%,0-2,0.0%,1,0,1,0,0,1,0,0,-5
@ Surne Bilbao,16 dic 2018,P  73-60,0,1,1,9,0-1,0-1,0.0%,0-0,-,0,1,1,1,0,1,0,0,-1
vs C.B. Prat,9 dic 2018,G  74-59,4,3,1,15,2-5,0-1,33.3%,0-0,-,2,1,3,1,0,1,0,4,3
@ Fibwi Palma,2 dic 2018,P  77-72,6,2,2,22,3-5,0-1,50.0%,0-0,-,0,2,2,2,1,5,0,6,3
vs Real Betis,28 nov 2018,P  65-94,10,0,1,27,3-7,0-2,33.3%,4-4,100.0%,0,0,0,1,0,6,0,10,-1
@ Real Valladolid,23 nov 2018,G  66-72,2,3,0,9,0-1,0-0,0.0%,2-2,100.0%,0,3,3,0,0,0,0,2,4
vs Leyma Coruña,17 nov 2018,G  96-75,9,2,0,11,1-4,1-2,33.3%,4-4,100.0%,0,2,2,0,0,1,0,9,6
@ Levitec Huesca,9 nov 2018,P  79-74,7,0,0,12,2-3,1-2,60.0%,0-0,-,0,0,0,0,1,1,0,7,5
vs Hiopos Lleida,2 nov 2018,P  62-70,4,6,0,26,0-5,0-2,0.0%,4-6,66.7%,1,5,6,0,1,2,0,4,0
@ Amics Castello,26 oct 2018,G  80-85,9,2,3,30,2-6,0-1,28.6%,5-6,83.3%,0,2,2,3,0,1,0,9,7
vs Alimerka Oviedo,20 oct 2018,P  67-74,7,1,1,13,2-4,1-2,50.0%,0-0,-,0,1,1,1,0,1,0,7,5
@ FC Barcelona II,14 oct 2018,G  63-76,5,2,0,17,1-2,1-1,66.7%,0-1,0.0%,0,2,2,0,0,0,0,5,5
vs Real Canoe N.C.,10 oct 2018,G  71-50,10,2,1,15,2-5,0-1,33.3%,6-8,75.0%,0,2,2,1,2,0,0,10,9
@ Coviran Granada,7 oct 2018,P  68-64,4,1,1,12,1-4,0-1,20.0%,2-2,100.0%,0,1,1,1,0,1,0,4,1
