PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Surne Bilbao,10 mar 2019,G  67-45,2,2,0,8,1-3,0-1,25.0%,0-0,-,1,1,2,0,0,0,0,2,1
@ C.B. Prat,2 mar 2019,P  85-83,5,1,0,17,1-1,0-4,20.0%,3-4,75.0%,0,1,1,0,2,1,0,5,2
@ Araberri Basket Club,23 feb 2019,G  76-79,6,8,3,30,2-8,0-2,20.0%,2-2,100.0%,3,5,8,3,2,1,0,6,10
vs Real Betis,17 feb 2019,G  92-58,7,5,1,23,2-3,1-1,75.0%,0-1,0.0%,0,5,5,1,1,0,1,7,13
@ Real Valladolid,1 feb 2019,P  80-76,11,4,5,32,4-7,0-1,50.0%,3-5,60.0%,1,3,4,5,0,1,0,11,13
vs Leyma Coruña,27 ene 2019,G  84-72,5,3,1,18,1-4,1-2,33.3%,0-0,-,1,2,3,1,0,2,1,5,4
@ Levitec Huesca,23 ene 2019,G  64-70,10,4,2,22,2-5,1-3,37.5%,3-4,75.0%,0,4,4,2,0,1,0,10,9
vs Hiopos Lleida,20 ene 2019,G  85-57,2,5,3,17,1-6,0-3,11.1%,0-0,-,0,5,5,3,0,2,0,2,0
vs Amics Castello,13 ene 2019,P  82-86,0,3,6,13,0-1,0-0,0.0%,0-0,-,1,2,3,6,0,0,0,0,8
@ Real Canoe N.C.,21 dic 2018,G  67-75,2,3,2,15,1-2,0-0,50.0%,0-0,-,0,3,3,2,1,1,0,2,6
vs Coviran Granada,16 dic 2018,P  60-78,4,4,3,20,2-5,0-4,22.2%,0-0,-,1,3,4,3,0,0,0,4,4
@ Melilla Ciudad Del Deporte 1,7 dic 2018,P  75-63,11,5,1,22,2-6,1-2,37.5%,4-6,66.7%,0,5,5,1,2,2,0,11,10
vs Ourense,2 dic 2018,G  77-72,4,1,1,19,2-5,0-1,33.3%,0-2,0.0%,0,1,1,1,2,0,0,4,2
@ Súper Agropal Palencia,28 nov 2018,G  87-95,3,2,0,9,0-0,1-3,33.3%,0-0,-,0,2,2,0,0,1,0,3,2
vs Caceres,25 nov 2018,G  82-74,2,1,0,14,1-4,0-1,20.0%,0-0,-,1,0,1,0,1,1,0,2,-1
@ Surne Bilbao,18 nov 2018,P  77-71,3,1,1,14,0-1,1-2,33.3%,0-0,-,0,1,1,1,1,1,0,3,3
vs C.B. Prat,11 nov 2018,G  99-70,4,6,5,21,2-4,0-4,25.0%,0-0,-,0,6,6,5,1,1,0,4,9
vs Araberri Basket Club,4 nov 2018,P  71-79,6,2,1,13,1-1,1-2,66.7%,1-2,50.0%,0,2,2,1,1,0,0,6,8
@ Real Betis,27 oct 2018,P  82-77,4,0,1,14,2-2,0-1,66.7%,0-0,-,0,0,0,1,0,0,0,4,4
vs Real Valladolid,21 oct 2018,P  84-87,2,1,0,15,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
@ Leyma Coruña,14 oct 2018,G  76-79,5,4,3,19,2-2,0-1,66.7%,1-2,50.0%,0,4,4,3,0,1,0,5,9
vs Levitec Huesca,10 oct 2018,G  78-58,6,4,0,17,2-5,0-2,28.6%,2-4,50.0%,2,2,4,0,0,2,3,6,4
@ Hiopos Lleida,5 oct 2018,P  86-66,0,1,0,22,0-2,0-1,0.0%,0-0,-,0,1,1,0,1,2,1,0,-2
