PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Amics Castello,3 may 2019,G  99-100,14,3,1,16,6-10,0-0,60.0%,2-4,50.0%,2,1,3,1,0,0,0,14,12
vs Alimerka Oviedo,26 abr 2019,G  65-51,0,1,1,9,0-1,0-0,0.0%,0-0,-,1,0,1,1,0,0,0,0,1
@ FC Barcelona II,20 abr 2019,G  72-84,11,3,0,15,5-5,0-1,83.3%,1-1,100.0%,1,2,3,0,0,2,1,11,12
vs Real Canoe N.C.,14 abr 2019,G  96-74,12,5,1,15,6-10,0-0,60.0%,0-0,-,3,2,5,1,0,1,0,12,13
@ Coviran Granada,6 abr 2019,G  82-84,2,1,1,11,1-3,0-0,33.3%,0-0,-,0,1,1,1,0,1,0,2,1
vs Melilla Ciudad Del Deporte 1,31 mar 2019,G  79-65,8,2,1,12,4-7,0-0,57.1%,0-0,-,0,2,2,1,0,1,0,8,7
@ Ourense,24 mar 2019,G  54-66,2,0,0,8,1-3,0-0,33.3%,0-0,-,0,0,0,0,0,1,0,2,-1
vs Súper Agropal Palencia,20 mar 2019,G  82-70,3,1,0,9,1-1,0-0,100.0%,1-3,33.3%,1,0,1,0,0,0,0,3,2
@ Caceres,15 mar 2019,P  80-75,10,3,0,21,5-7,0-0,71.4%,0-0,-,2,1,3,0,0,1,0,10,10
vs Surne Bilbao,10 mar 2019,G  67-45,8,5,0,14,2-3,0-0,66.7%,4-4,100.0%,0,5,5,0,0,2,0,8,10
@ C.B. Prat,2 mar 2019,P  85-83,21,1,1,30,6-8,1-3,63.6%,6-6,100.0%,0,1,1,1,1,0,0,21,20
@ Araberri Basket Club,23 feb 2019,G  76-79,10,4,0,20,4-6,0-1,57.1%,2-2,100.0%,2,2,4,0,0,3,0,10,8
vs Real Betis,17 feb 2019,G  92-58,6,1,2,12,3-6,0-0,50.0%,0-0,-,1,0,1,2,0,1,0,6,5
@ Real Valladolid,1 feb 2019,P  80-76,2,1,0,19,0-1,0-0,0.0%,2-2,100.0%,0,1,1,0,0,2,0,2,0
vs Leyma Coruña,27 ene 2019,G  84-72,10,7,1,16,3-6,0-1,42.9%,4-4,100.0%,4,3,7,1,1,1,0,10,14
@ Levitec Huesca,23 ene 2019,G  64-70,13,4,1,20,6-10,0-0,60.0%,1-3,33.3%,2,2,4,1,2,0,0,13,14
vs Hiopos Lleida,20 ene 2019,G  85-57,13,6,0,22,3-6,1-1,57.1%,4-4,100.0%,3,3,6,0,0,1,0,13,15
vs Amics Castello,13 ene 2019,P  82-86,8,1,0,14,4-8,0-0,50.0%,0-0,-,0,1,1,0,1,1,0,8,5
@ Alimerka Oviedo,6 ene 2019,P  72-66,12,4,0,26,2-4,1-2,50.0%,5-5,100.0%,1,3,4,0,1,0,0,12,14
vs FC Barcelona II,29 dic 2018,G  83-76,4,4,1,28,2-5,0-1,33.3%,0-0,-,2,2,4,1,2,2,0,4,5
@ Real Canoe N.C.,21 dic 2018,G  67-75,14,4,0,36,6-10,0-0,60.0%,2-4,50.0%,2,2,4,0,2,1,0,14,13
vs Coviran Granada,16 dic 2018,P  60-78,20,4,0,30,7-12,1-1,61.5%,3-3,100.0%,3,1,4,0,0,0,0,20,19
@ Melilla Ciudad Del Deporte 1,7 dic 2018,P  75-63,8,3,0,25,4-9,0-0,44.4%,0-3,0.0%,2,1,3,0,0,1,0,8,2
vs Ourense,2 dic 2018,G  77-72,9,9,2,24,3-5,1-2,57.1%,0-2,0.0%,2,7,9,2,0,0,0,9,15
@ Súper Agropal Palencia,28 nov 2018,G  87-95,11,6,0,33,5-8,0-0,62.5%,1-2,50.0%,1,5,6,0,2,1,0,11,14
vs Caceres,25 nov 2018,G  82-74,10,4,0,27,5-6,0-2,62.5%,0-0,-,2,2,4,0,0,2,0,10,9
@ Surne Bilbao,18 nov 2018,P  77-71,17,10,1,35,8-16,0-0,50.0%,1-3,33.3%,5,5,10,1,3,3,0,17,18
vs C.B. Prat,11 nov 2018,G  99-70,17,4,1,20,8-9,0-1,80.0%,1-1,100.0%,1,3,4,1,0,0,0,17,20
vs Araberri Basket Club,4 nov 2018,P  71-79,9,5,0,22,4-6,0-1,57.1%,1-2,50.0%,1,4,5,0,0,4,0,9,6
@ Real Betis,27 oct 2018,P  82-77,5,5,0,14,2-6,0-0,33.3%,1-2,50.0%,2,3,5,0,0,1,1,5,5
vs Real Valladolid,21 oct 2018,P  84-87,16,10,2,34,6-8,0-1,66.7%,4-6,66.7%,4,6,10,2,0,1,0,16,22
@ Leyma Coruña,14 oct 2018,G  76-79,6,4,0,20,3-5,0-1,50.0%,0-0,-,0,4,4,0,0,1,0,6,6
vs Levitec Huesca,10 oct 2018,G  78-58,17,7,0,25,4-6,2-3,66.7%,3-4,75.0%,1,6,7,0,0,3,0,17,17
@ Hiopos Lleida,5 oct 2018,P  86-66,4,3,0,17,1-4,0-1,20.0%,2-2,100.0%,1,2,3,0,0,0,0,4,3
