PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ FC Barcelona II,3 may 2019,G  76-84,2,6,1,18,1-4,0-2,16.7%,0-0,-,1,5,6,1,1,1,0,2,4
vs Real Canoe N.C.,26 abr 2019,G  93-62,17,2,2,18,4-5,3-6,63.6%,0-0,-,1,1,2,2,0,3,0,17,14
@ Coviran Granada,21 abr 2019,P  72-70,2,5,0,15,1-3,0-1,25.0%,0-0,-,2,3,5,0,0,0,0,2,4
vs Melilla Ciudad Del Deporte 1,14 abr 2019,G  62-59,6,3,1,20,3-4,0-6,30.0%,0-0,-,1,2,3,1,0,0,0,6,3
@ Ourense,6 abr 2019,G  70-82,1,3,0,19,0-3,0-2,0.0%,1-2,50.0%,0,3,3,0,1,0,0,1,-1
vs Súper Agropal Palencia,31 mar 2019,G  88-59,15,5,0,21,3-5,3-4,66.7%,0-0,-,3,2,5,0,1,1,1,15,18
@ Caceres,24 mar 2019,G  74-76,4,3,0,20,1-3,0-1,25.0%,2-2,100.0%,2,1,3,0,1,3,0,4,2
@ Araberri Basket Club,19 mar 2019,G  52-76,13,3,1,17,2-2,2-5,57.1%,3-4,75.0%,1,2,3,1,2,0,1,13,16
vs C.B. Prat,17 mar 2019,G  93-75,11,2,0,21,1-4,3-5,44.4%,0-0,-,0,2,2,0,0,0,0,11,8
@ Fibwi Palma,10 mar 2019,P  67-45,0,3,0,19,0-1,0-5,0.0%,0-2,0.0%,0,3,3,0,0,1,0,0,-6
vs Real Betis,3 mar 2019,G  98-68,15,2,0,24,3-4,3-6,60.0%,0-0,-,0,2,2,0,0,0,0,15,13
@ Real Valladolid,22 feb 2019,P  79-64,3,3,2,23,0-2,1-3,20.0%,0-0,-,1,2,3,2,1,2,0,3,3
vs Leyma Coruña,17 feb 2019,G  87-59,9,1,0,13,4-4,0-1,80.0%,1-1,100.0%,0,1,1,0,2,1,0,9,10
@ Levitec Huesca,2 feb 2019,G  61-74,7,4,1,23,2-2,1-5,42.9%,0-0,-,2,2,4,1,2,2,1,7,9
vs Hiopos Lleida,27 ene 2019,G  81-70,10,4,3,19,2-3,1-3,50.0%,3-3,100.0%,2,2,4,3,0,1,0,10,13
@ Amics Castello,23 ene 2019,P  74-62,14,0,1,20,0-0,4-8,50.0%,2-3,66.7%,0,0,0,1,1,0,0,14,11
vs Alimerka Oviedo,20 ene 2019,P  72-81,3,4,0,24,1-1,0-6,14.3%,1-2,50.0%,0,4,4,0,1,1,0,3,0
vs FC Barcelona II,11 ene 2019,P  82-85,10,4,3,25,2-3,2-4,57.1%,0-0,-,3,1,4,3,0,0,0,10,14
@ Real Canoe N.C.,4 ene 2019,G  64-81,3,3,0,19,0-2,1-4,16.7%,0-0,-,0,3,3,0,0,0,0,3,1
vs Coviran Granada,30 dic 2018,G  93-68,6,1,0,19,2-3,0-1,50.0%,2-2,100.0%,0,1,1,0,2,2,0,6,5
@ Melilla Ciudad Del Deporte 1,21 dic 2018,G  63-76,3,2,1,21,1-1,0-3,25.0%,1-1,100.0%,0,2,2,1,2,0,1,3,6
vs Ourense,16 dic 2018,G  73-60,16,2,0,25,2-3,4-7,60.0%,0-0,-,0,2,2,0,1,1,0,16,14
@ Súper Agropal Palencia,7 dic 2018,P  78-71,14,1,1,21,1-1,4-6,71.4%,0-0,-,1,0,1,1,1,0,1,14,16
vs Caceres,2 dic 2018,G  82-53,3,1,1,22,0-0,1-5,20.0%,0-0,-,0,1,1,1,3,1,0,3,3
vs Araberri Basket Club,27 nov 2018,P  76-77,2,2,2,17,1-2,0-3,20.0%,0-0,-,2,0,2,2,0,1,0,2,1
@ C.B. Prat,24 nov 2018,G  66-73,10,3,0,21,2-4,2-5,44.4%,0-0,-,0,3,3,0,1,1,0,10,8
vs Fibwi Palma,18 nov 2018,G  77-71,0,0,0,5,0-0,0-1,0.0%,0-0,-,0,0,0,0,0,0,0,0,-1
vs Amics Castello,10 oct 2018,G  87-78,0,1,1,11,0-0,0-4,0.0%,0-0,-,0,1,1,1,1,0,0,0,-1
@ Alimerka Oviedo,6 oct 2018,G  77-82,0,5,2,25,0-2,0-0,0.0%,0-0,-,3,2,5,2,0,1,0,0,4
