PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Hiopos Lleida,3 may 2019,G  84-86,2,1,1,11,1-2,0-1,33.3%,0-0,-,1,0,1,1,1,1,0,2,2
vs Amics Castello,26 abr 2019,G  78-63,4,4,0,10,2-5,0-1,33.3%,0-0,-,2,2,4,0,1,0,0,4,5
@ Alimerka Oviedo,21 abr 2019,G  84-90,17,5,0,25,4-6,3-5,63.6%,0-0,-,0,5,5,0,0,0,0,17,18
vs FC Barcelona II,12 abr 2019,G  81-58,3,3,0,17,1-2,0-1,33.3%,1-2,50.0%,1,2,3,0,0,1,0,3,2
@ Real Canoe N.C.,5 abr 2019,G  66-86,5,6,0,9,1-3,0-1,25.0%,3-4,75.0%,1,5,6,0,0,0,0,5,7
vs Coviran Granada,30 mar 2019,G  93-80,0,2,0,6,0-1,0-1,0.0%,0-0,-,1,1,2,0,0,2,0,0,-2
@ Melilla Ciudad Del Deporte 1,24 mar 2019,G  72-77,8,2,0,14,0-0,2-2,100.0%,2-4,50.0%,1,1,2,0,0,0,0,8,8
vs Ourense,20 mar 2019,G  82-74,8,3,0,14,1-4,2-2,50.0%,0-0,-,2,1,3,0,1,0,0,8,9
@ Súper Agropal Palencia,15 mar 2019,G  66-76,0,6,2,19,0-3,0-4,0.0%,0-0,-,2,4,6,2,2,2,1,0,2
vs Caceres,9 mar 2019,G  80-71,4,2,0,13,1-1,0-1,50.0%,2-2,100.0%,0,2,2,0,1,0,0,4,6
@ Surne Bilbao,3 mar 2019,P  98-68,0,2,0,5,0-0,0-0,-,0-0,-,1,1,2,0,0,0,0,0,2
vs C.B. Prat,23 feb 2019,G  78-63,2,2,2,8,0-1,0-0,0.0%,2-2,100.0%,1,1,2,2,1,0,0,2,6
@ Fibwi Palma,17 feb 2019,P  92-58,0,1,0,19,0-1,0-3,0.0%,0-0,-,0,1,1,0,1,0,0,0,-2
@ Araberri Basket Club,2 feb 2019,G  55-81,5,0,1,12,1-3,1-3,33.3%,0-0,-,0,0,0,1,0,1,2,5,3
vs Real Valladolid,27 ene 2019,G  88-83,5,1,0,9,0-0,1-1,100.0%,2-2,100.0%,0,1,1,0,0,2,0,5,4
@ Leyma Coruña,22 ene 2019,G  70-78,6,1,1,7,0-0,2-3,66.7%,0-0,-,0,1,1,1,0,2,0,6,5
vs Levitec Huesca,18 ene 2019,G  84-65,7,2,0,16,1-2,1-2,50.0%,2-2,100.0%,1,1,2,0,1,1,0,7,7
vs Hiopos Lleida,11 ene 2019,G  77-68,3,0,0,5,0-1,1-1,50.0%,0-0,-,0,0,0,0,0,0,0,3,2
@ Amics Castello,4 ene 2019,G  69-74,8,5,2,13,1-1,2-3,75.0%,0-0,-,1,4,5,2,0,0,0,8,14
vs Alimerka Oviedo,28 dic 2018,G  85-69,4,1,1,7,2-4,0-0,50.0%,0-0,-,1,0,1,1,0,3,0,4,1
@ FC Barcelona II,22 dic 2018,G  73-82,4,1,1,7,2-2,0-0,100.0%,0-0,-,0,1,1,1,0,0,0,4,6
vs Real Canoe N.C.,15 dic 2018,G  99-68,10,6,1,17,5-8,0-1,55.6%,0-0,-,1,5,6,1,0,1,0,10,12
@ Coviran Granada,8 dic 2018,G  60-81,3,0,0,7,0-0,1-2,50.0%,0-0,-,0,0,0,0,0,0,0,3,2
vs Melilla Ciudad Del Deporte 1,2 dic 2018,G  85-64,3,1,1,11,0-0,1-3,33.3%,0-0,-,0,1,1,1,0,0,0,3,3
@ Ourense,28 nov 2018,G  65-94,10,3,2,14,1-1,2-4,60.0%,2-2,100.0%,1,2,3,2,0,2,0,10,11
vs Súper Agropal Palencia,23 nov 2018,G  94-69,13,2,2,25,4-5,1-2,71.4%,2-2,100.0%,1,1,2,2,1,1,0,13,15
@ Caceres,16 nov 2018,G  72-77,4,2,1,14,2-2,0-2,50.0%,0-0,-,0,2,2,1,0,0,0,4,5
vs Surne Bilbao,9 nov 2018,G  70-64,4,2,0,10,1-2,0-1,33.3%,2-2,100.0%,1,1,2,0,0,0,0,4,4
@ C.B. Prat,3 nov 2018,G  88-90,3,3,0,6,0-0,1-1,100.0%,0-0,-,0,3,3,0,0,1,0,3,5
vs Fibwi Palma,27 oct 2018,G  82-77,3,2,0,12,0-1,1-1,50.0%,0-0,-,0,2,2,0,0,1,0,3,3
vs Araberri Basket Club,19 oct 2018,G  94-82,4,5,1,12,2-4,0-1,40.0%,0-0,-,2,3,5,1,0,1,0,4,6
@ Real Valladolid,14 oct 2018,P  74-67,8,3,0,19,4-4,0-0,100.0%,0-0,-,1,2,3,0,0,0,0,8,11
vs Leyma Coruña,9 oct 2018,G  96-88,4,3,0,23,2-3,0-3,33.3%,0-0,-,2,1,3,0,1,2,1,4,3
@ Levitec Huesca,5 oct 2018,P  92-84,5,2,0,11,0-1,1-2,33.3%,2-2,100.0%,0,2,2,0,0,0,0,5,5
