PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Súper Agropal Palencia,6 mar 2020,P  82-87,6,1,1,16,0-0,2-4,50.0%,0-0,-,0,1,1,1,0,0,0,6,6
@ Alimerka Oviedo,29 feb 2020,G  76-81,8,0,0,21,0-2,2-5,28.6%,2-2,100.0%,0,0,0,0,1,0,0,8,4
vs Leyma Coruña,14 feb 2020,G  83-68,15,0,1,25,0-1,5-5,83.3%,0-0,-,0,0,0,1,0,0,0,15,15
vs Almansa Con Afanion,7 feb 2020,G  97-83,13,2,0,21,1-1,3-5,66.7%,2-2,100.0%,0,2,2,0,3,0,0,13,16
@ Hiopos Lleida,31 ene 2020,P  87-80,6,0,0,14,0-0,2-3,66.7%,0-0,-,0,0,0,0,1,0,0,6,6
vs Ourense,24 ene 2020,P  78-86,6,1,1,16,0-1,2-3,50.0%,0-0,-,1,0,1,1,0,0,0,6,6
@ Rio Breogan,18 ene 2020,P  87-69,9,1,0,23,0-0,3-5,60.0%,0-0,-,1,0,1,0,0,1,1,9,8
@ Fibwi Palma,10 ene 2020,P  78-76,12,3,1,21,0-1,4-7,50.0%,0-0,-,0,3,3,1,1,0,0,12,13
vs Melilla Ciudad Del Deporte 1,3 ene 2020,P  81-91,10,1,1,18,1-3,2-2,60.0%,2-2,100.0%,1,0,1,1,0,1,0,10,9
@ Real Canoe N.C.,27 dic 2019,G  85-90,14,0,0,23,1-1,4-7,62.5%,0-0,-,0,0,0,0,0,0,0,14,11
vs Marin Peixe Galego,20 dic 2019,P  80-89,2,0,0,12,0-0,0-1,0.0%,2-2,100.0%,0,0,0,0,0,0,0,2,1
@ Levitec Huesca,13 dic 2019,G  76-90,15,0,1,20,2-2,3-5,71.4%,2-2,100.0%,0,0,0,1,0,0,0,15,14
vs Gipuzkoa Basket,6 dic 2019,G  91-87,4,1,0,9,2-3,0-4,28.6%,0-0,-,0,1,1,0,1,0,0,4,1
@ Coviran Granada,1 dic 2019,P  72-65,3,1,0,21,0-2,1-5,14.3%,0-0,-,1,0,1,0,0,0,0,3,-2
vs Caceres,22 nov 2019,P  65-85,2,1,0,9,1-2,0-2,25.0%,0-0,-,0,1,1,0,0,0,0,2,0
@ Real Valladolid,15 nov 2019,P  87-79,2,1,0,10,1-2,0-1,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
vs HLA Alicante,8 nov 2019,G  91-85,2,0,1,10,1-3,0-0,33.3%,0-0,-,0,0,0,1,1,0,0,2,2
@ Súper Agropal Palencia,3 nov 2019,P  108-87,3,0,1,23,0-2,1-2,25.0%,0-0,-,0,0,0,1,1,0,0,3,2
vs Alimerka Oviedo,30 oct 2019,G  83-66,2,0,1,14,1-1,0-4,20.0%,0-3,0.0%,0,0,0,1,0,0,0,2,-4
@ Leyma Coruña,27 oct 2019,P  74-67,3,0,0,14,1-1,0-3,25.0%,1-1,100.0%,0,0,0,0,0,0,0,3,0
@ Almansa Con Afanion,19 oct 2019,G  67-85,14,0,1,18,2-5,3-5,50.0%,1-1,100.0%,0,0,0,1,0,0,0,14,10
vs Hiopos Lleida,11 oct 2019,G  68-64,2,1,0,13,0-2,0-2,0.0%,2-2,100.0%,0,1,1,0,0,0,0,2,-1
@ Ourense,5 oct 2019,P  82-65,2,0,0,16,1-2,0-0,50.0%,0-0,-,0,0,0,0,0,0,0,2,1
vs Rio Breogan,28 sept 2019,P  68-91,7,1,0,16,2-2,1-2,75.0%,0-0,-,0,1,1,0,0,0,0,7,7
