PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Súper Agropal Palencia,6 mar 2020,P  82-87,19,2,4,30,5-6,1-3,66.7%,6-8,75.0%,0,2,2,4,0,2,1,19,19
@ Alimerka Oviedo,29 feb 2020,G  76-81,7,1,0,17,2-3,0-3,33.3%,3-4,75.0%,0,1,1,0,0,2,0,7,1
vs Leyma Coruña,14 feb 2020,G  83-68,11,1,4,24,3-7,1-2,44.4%,2-2,100.0%,0,1,1,4,1,1,0,11,11
vs Almansa Con Afanion,7 feb 2020,G  97-83,17,1,4,23,3-4,1-4,50.0%,8-8,100.0%,0,1,1,4,1,2,0,17,17
@ Hiopos Lleida,31 ene 2020,P  87-80,18,1,2,29,3-5,2-4,55.6%,6-6,100.0%,0,1,1,2,0,2,0,18,15
vs Ourense,24 ene 2020,P  78-86,24,1,4,29,2-3,3-7,50.0%,11-12,91.7%,1,0,1,4,1,0,0,24,24
@ Rio Breogan,18 ene 2020,P  87-69,2,1,4,19,0-2,0-2,0.0%,2-2,100.0%,0,1,1,4,1,2,0,2,2
vs Melilla Ciudad Del Deporte 1,3 ene 2020,P  81-91,13,0,0,21,2-5,2-3,50.0%,3-3,100.0%,0,0,0,0,0,0,0,13,9
@ Real Canoe N.C.,27 dic 2019,G  85-90,13,1,4,20,4-4,1-4,62.5%,2-3,66.7%,0,1,1,4,3,1,0,13,16
vs Marin Peixe Galego,20 dic 2019,P  80-89,7,1,4,24,2-5,1-3,37.5%,0-0,-,0,1,1,4,1,1,0,7,7
@ Levitec Huesca,13 dic 2019,G  76-90,17,2,1,20,1-3,1-2,40.0%,12-15,80.0%,1,1,2,1,1,1,0,17,14
vs Gipuzkoa Basket,6 dic 2019,G  91-87,16,2,3,26,3-3,2-8,45.5%,4-4,100.0%,1,1,2,3,1,2,0,16,14
vs Caceres,22 nov 2019,P  65-85,9,1,3,24,2-5,1-5,30.0%,2-2,100.0%,0,1,1,3,0,1,0,9,5
@ Real Valladolid,15 nov 2019,P  87-79,9,3,0,21,2-3,0-3,33.3%,5-7,71.4%,1,2,3,0,0,2,0,9,4
vs HLA Alicante,8 nov 2019,G  91-85,38,3,5,36,4-7,8-10,70.6%,6-7,85.7%,0,3,3,5,3,2,0,38,41
@ Súper Agropal Palencia,3 nov 2019,P  108-87,16,1,2,24,3-5,2-7,41.7%,4-6,66.7%,0,1,1,2,0,3,0,16,7
vs Alimerka Oviedo,30 oct 2019,G  83-66,5,2,2,22,2-4,0-3,28.6%,1-1,100.0%,0,2,2,2,1,3,0,5,2
@ Leyma Coruña,27 oct 2019,P  74-67,7,1,2,15,0-2,2-6,25.0%,1-2,50.0%,0,1,1,2,0,0,0,7,3
@ Almansa Con Afanion,19 oct 2019,G  67-85,19,3,3,26,5-8,3-8,50.0%,0-0,-,0,3,3,3,1,1,0,19,17
vs Hiopos Lleida,11 oct 2019,G  68-64,8,2,1,17,2-5,1-5,30.0%,1-2,50.0%,1,1,2,1,1,3,0,8,1
@ Ourense,5 oct 2019,P  82-65,5,1,0,23,1-1,1-3,50.0%,0-0,-,0,1,1,0,0,2,0,5,2
vs Rio Breogan,28 sept 2019,P  68-91,7,0,0,19,3-5,0-2,42.9%,1-1,100.0%,0,0,0,0,0,1,0,7,2
