PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Ourense,7 mar 2020,G  74-86,0,1,3,17,0-0,0-3,0.0%,0-0,-,1,0,1,3,0,0,0,0,1
vs Rio Breogan,28 feb 2020,G  77-76,11,2,0,23,0-0,3-7,42.9%,2-2,100.0%,1,1,2,0,1,3,0,11,7
@ Fibwi Palma,16 feb 2020,G  64-75,5,4,0,11,0-1,1-2,33.3%,2-4,50.0%,1,3,4,0,0,2,0,5,3
vs Melilla Ciudad Del Deporte 1,7 feb 2020,G  58-54,7,2,0,25,1-6,1-4,20.0%,2-2,100.0%,0,2,2,0,2,1,0,7,2
@ Real Canoe N.C.,31 ene 2020,P  95-81,5,2,1,15,0-2,1-4,16.7%,2-2,100.0%,0,2,2,1,0,0,0,5,3
vs Marin Peixe Galego,24 ene 2020,G  95-89,8,1,0,22,2-2,1-2,75.0%,1-2,50.0%,0,1,1,0,1,0,0,8,8
@ Levitec Huesca,17 ene 2020,G  83-94,9,3,4,17,0-1,3-6,42.9%,0-0,-,0,3,3,4,1,1,0,9,12
@ Gipuzkoa Basket,10 ene 2020,P  72-64,0,1,1,15,0-3,0-2,0.0%,0-0,-,0,1,1,1,0,1,0,0,-4
vs Coviran Granada,3 ene 2020,G  88-67,11,0,0,15,0-0,3-3,100.0%,2-2,100.0%,0,0,0,0,1,1,0,11,11
@ Leyma Coruña,29 dic 2019,P  88-77,5,1,4,18,1-1,1-2,66.7%,0-0,-,0,1,1,4,0,0,0,5,9
@ Real Valladolid,20 dic 2019,P  77-76,6,2,1,12,1-2,0-2,25.0%,4-4,100.0%,0,2,2,1,0,3,0,6,3
vs HLA Alicante,13 dic 2019,P  63-65,7,6,0,28,0-2,2-4,33.3%,1-2,50.0%,1,5,6,0,2,1,0,7,9
@ Súper Agropal Palencia,6 dic 2019,P  87-86,6,4,0,26,1-1,0-6,14.3%,4-4,100.0%,1,3,4,0,0,0,0,6,4
vs Alimerka Oviedo,29 nov 2019,G  85-73,5,2,1,12,2-2,0-2,50.0%,1-1,100.0%,1,1,2,1,3,0,0,5,9
@ Amics Castello,22 nov 2019,G  65-85,8,0,1,11,1-1,2-5,50.0%,0-0,-,0,0,0,1,0,0,0,8,6
@ Hiopos Lleida,8 nov 2019,G  67-72,5,1,0,26,1-2,1-3,40.0%,0-0,-,0,1,1,0,1,0,0,5,4
vs Ourense,3 nov 2019,P  68-69,4,2,2,16,2-3,0-1,50.0%,0-0,-,1,1,2,2,1,0,0,4,7
@ Rio Breogan,29 oct 2019,G  85-92,15,5,1,18,0-2,3-4,50.0%,6-8,75.0%,1,4,5,1,0,1,0,15,15
vs Fibwi Palma,25 oct 2019,P  62-68,3,1,3,13,0-0,1-4,25.0%,0-0,-,0,1,1,3,1,0,0,3,5
@ Melilla Ciudad Del Deporte 1,18 oct 2019,P  71-60,10,4,2,21,1-3,2-7,30.0%,2-2,100.0%,0,4,4,2,0,0,1,10,10
vs Real Canoe N.C.,11 oct 2019,G  79-57,7,5,1,19,2-2,1-2,75.0%,0-0,-,0,5,5,1,0,1,0,7,11
@ Marin Peixe Galego,5 oct 2019,G  64-75,12,1,3,19,2-3,1-3,50.0%,5-5,100.0%,0,1,1,3,1,1,0,12,13
vs Levitec Huesca,27 sept 2019,P  63-71,7,3,0,27,0-2,1-2,25.0%,4-4,100.0%,1,2,3,0,0,1,0,7,6
