PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Fibwi Palma,16 feb 2020,G  64-75,0,3,1,5,0-0,0-1,0.0%,0-0,-,0,3,3,1,0,2,0,0,1
vs Melilla Ciudad Del Deporte 1,7 feb 2020,G  58-54,7,0,0,18,2-7,0-2,22.2%,3-4,75.0%,0,0,0,0,3,3,0,7,-1
@ Real Canoe N.C.,31 ene 2020,P  95-81,9,0,4,19,3-3,1-1,100.0%,0-0,-,0,0,0,4,1,2,0,9,12
vs Marin Peixe Galego,24 ene 2020,G  95-89,0,0,3,6,0-1,0-2,0.0%,0-0,-,0,0,0,3,1,2,0,0,-1
@ Levitec Huesca,17 ene 2020,G  83-94,7,0,3,16,2-5,0-1,33.3%,3-3,100.0%,0,0,0,3,0,1,0,7,5
@ Gipuzkoa Basket,10 ene 2020,P  72-64,2,3,4,22,1-2,0-3,20.0%,0-0,-,1,2,3,4,2,1,0,2,6
vs Coviran Granada,3 ene 2020,G  88-67,3,2,3,18,0-1,1-2,33.3%,0-0,-,0,2,2,3,1,4,0,3,3
@ Leyma Coruña,29 dic 2019,P  88-77,2,0,5,19,1-4,0-2,16.7%,0-0,-,0,0,0,5,0,3,0,2,-1
@ Real Valladolid,20 dic 2019,P  77-76,16,0,2,26,2-4,1-1,60.0%,9-10,90.0%,0,0,0,2,0,1,0,16,14
vs HLA Alicante,13 dic 2019,P  63-65,12,4,2,22,1-7,3-5,33.3%,1-3,33.3%,2,2,4,2,3,3,0,12,8
@ Súper Agropal Palencia,6 dic 2019,P  87-86,12,1,5,34,4-9,0-1,40.0%,4-5,80.0%,0,1,1,5,4,2,0,12,13
vs Alimerka Oviedo,29 nov 2019,G  85-73,7,2,3,16,2-5,0-2,28.6%,3-3,100.0%,0,2,2,3,1,0,0,7,8
@ Amics Castello,22 nov 2019,G  65-85,12,6,3,27,3-7,2-2,55.6%,0-0,-,1,5,6,3,2,0,1,12,20
vs Almansa Con Afanion,15 nov 2019,G  76-68,5,2,1,21,1-3,0-2,20.0%,3-4,75.0%,0,2,2,1,2,1,0,5,4
@ Hiopos Lleida,8 nov 2019,G  67-72,14,2,3,20,3-5,2-4,55.6%,2-2,100.0%,0,2,2,3,4,3,0,14,16
vs Ourense,3 nov 2019,P  68-69,11,2,0,20,1-5,3-4,44.4%,0-0,-,1,1,2,0,1,1,0,11,8
@ Rio Breogan,29 oct 2019,G  85-92,2,3,5,25,1-5,0-1,16.7%,0-1,0.0%,2,1,3,5,1,3,0,2,2
vs Fibwi Palma,25 oct 2019,P  62-68,3,2,2,23,1-4,0-0,25.0%,1-2,50.0%,0,2,2,2,1,0,0,3,4
@ Melilla Ciudad Del Deporte 1,18 oct 2019,P  71-60,3,1,1,12,1-3,0-2,20.0%,1-2,50.0%,0,1,1,1,0,3,0,3,-3
vs Real Canoe N.C.,11 oct 2019,G  79-57,6,3,3,22,1-2,1-1,66.7%,1-1,100.0%,1,2,3,3,0,1,0,6,10
@ Marin Peixe Galego,5 oct 2019,G  64-75,8,0,1,22,1-4,1-2,33.3%,3-4,75.0%,0,0,0,1,3,1,0,8,6
vs Levitec Huesca,27 sept 2019,P  63-71,6,1,1,14,1-3,0-0,33.3%,4-7,57.1%,1,0,1,1,1,2,0,6,2
