PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Hiopos Lleida,6 mar 2020,P  78-67,3,4,0,28,1-1,0-6,14.3%,1-1,100.0%,0,4,4,0,2,1,0,3,2
vs Ourense,28 feb 2020,G  74-73,6,4,0,17,0-4,2-4,25.0%,0-0,-,2,2,4,0,1,0,0,6,5
@ Rio Breogan,15 feb 2020,P  95-71,10,3,1,23,2-4,2-5,44.4%,0-0,-,1,2,3,1,1,3,0,10,7
vs Fibwi Palma,9 feb 2020,G  74-66,0,7,1,19,0-3,0-5,0.0%,0-0,-,4,3,7,1,0,2,0,0,-2
vs Real Canoe N.C.,24 ene 2020,G  89-84,6,1,2,12,0-3,2-4,28.6%,0-0,-,1,0,1,2,1,1,0,6,4
@ Marin Peixe Galego,18 ene 2020,G  69-75,12,5,0,28,3-7,2-4,45.5%,0-0,-,3,2,5,0,1,2,0,12,10
@ Levitec Huesca,10 ene 2020,G  80-100,9,4,5,15,3-3,1-3,66.7%,0-0,-,1,3,4,5,0,0,0,9,16
vs Gipuzkoa Basket,5 ene 2020,G  81-77,9,7,1,30,0-2,3-8,30.0%,0-0,-,2,5,7,1,2,1,0,9,11
@ Coviran Granada,28 dic 2019,G  63-70,8,4,0,22,2-4,1-5,33.3%,1-1,100.0%,2,2,4,0,0,0,1,8,7
vs Caceres,20 dic 2019,G  77-76,4,2,1,20,1-2,0-2,25.0%,2-2,100.0%,1,1,2,1,1,1,0,4,4
@ Leyma Coruña,15 dic 2019,P  83-81,9,9,0,22,0-4,1-3,14.3%,6-6,100.0%,5,4,9,0,0,0,0,9,12
@ HLA Alicante,6 dic 2019,G  77-81,6,6,2,27,0-1,1-6,14.3%,3-4,75.0%,2,4,6,2,0,0,0,6,7
vs Súper Agropal Palencia,1 dic 2019,G  86-79,9,6,1,24,0-3,3-5,37.5%,0-0,-,2,4,6,1,4,0,0,9,15
@ Alimerka Oviedo,23 nov 2019,G  65-71,3,3,0,23,0-0,1-3,33.3%,0-0,-,0,3,3,0,2,0,1,3,7
vs Amics Castello,15 nov 2019,G  87-79,8,5,2,28,2-3,1-2,60.0%,1-1,100.0%,2,3,5,2,1,2,0,8,12
@ Almansa Con Afanion,9 nov 2019,P  67-64,14,5,0,27,1-4,4-9,38.5%,0-0,-,1,4,5,0,0,0,0,14,11
vs Hiopos Lleida,3 nov 2019,G  80-61,9,12,3,23,1-2,1-1,66.7%,4-4,100.0%,3,9,12,3,2,0,0,9,25
@ Ourense,30 oct 2019,G  56-77,23,5,0,22,3-4,5-8,66.7%,2-2,100.0%,3,2,5,0,1,0,0,23,25
vs Rio Breogan,25 oct 2019,G  94-82,15,4,2,29,2-2,3-6,62.5%,2-2,100.0%,0,4,4,2,0,0,1,15,19
@ Fibwi Palma,20 oct 2019,P  87-80,11,3,2,23,2-2,2-3,80.0%,1-2,50.0%,0,3,3,2,0,3,1,11,12
vs Melilla Ciudad Del Deporte 1,11 oct 2019,G  78-70,10,3,2,17,1-2,2-4,50.0%,2-2,100.0%,1,2,3,2,0,1,0,10,11
@ Real Canoe N.C.,4 oct 2019,G  81-93,16,5,4,29,2-3,4-7,60.0%,0-0,-,4,1,5,4,0,0,0,16,21
vs Marin Peixe Galego,25 sept 2019,G  82-66,10,6,0,22,0-1,2-2,66.7%,4-4,100.0%,1,5,6,0,0,2,0,10,13
