PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Hiopos Lleida,6 mar 2020,P  78-67,18,0,0,22,6-9,2-2,72.7%,0-0,-,0,0,0,0,1,1,0,18,15
vs Ourense,28 feb 2020,G  74-73,5,3,4,19,0-4,1-2,16.7%,2-2,100.0%,0,3,3,4,0,0,0,5,7
@ Rio Breogan,15 feb 2020,P  95-71,8,0,3,22,2-4,1-4,37.5%,1-1,100.0%,0,0,0,3,0,0,0,8,6
vs Fibwi Palma,9 feb 2020,G  74-66,11,3,3,25,3-7,1-5,33.3%,2-2,100.0%,1,2,3,3,3,2,0,11,10
@ Melilla Ciudad Del Deporte 1,31 ene 2020,P  88-85,11,2,2,40,2-7,2-7,28.6%,1-1,100.0%,0,2,2,2,1,2,0,11,4
vs Real Canoe N.C.,24 ene 2020,G  89-84,9,3,6,28,2-4,1-2,50.0%,2-3,66.7%,1,2,3,6,0,0,1,9,15
@ Marin Peixe Galego,18 ene 2020,G  69-75,8,1,2,17,3-7,0-1,37.5%,2-2,100.0%,1,0,1,2,1,0,0,8,7
@ Levitec Huesca,10 ene 2020,G  80-100,7,1,4,16,2-2,1-3,60.0%,0-0,-,0,1,1,4,2,0,0,7,12
vs Gipuzkoa Basket,5 ene 2020,G  81-77,10,2,5,23,3-7,1-4,36.4%,1-2,50.0%,1,1,2,5,2,2,0,10,9
@ Coviran Granada,28 dic 2019,G  63-70,0,1,3,25,0-5,0-3,0.0%,0-0,-,0,1,1,3,0,1,0,0,-5
vs Caceres,20 dic 2019,G  77-76,10,4,1,22,2-3,2-4,57.1%,0-0,-,1,3,4,1,1,0,0,10,13
@ Leyma Coruña,15 dic 2019,P  83-81,9,0,1,19,3-4,1-3,57.1%,0-0,-,0,0,0,1,0,2,0,9,5
@ HLA Alicante,6 dic 2019,G  77-81,10,0,2,16,3-5,0-3,37.5%,4-4,100.0%,0,0,0,2,0,2,0,10,5
vs Súper Agropal Palencia,1 dic 2019,G  86-79,11,1,6,26,5-9,0-3,41.7%,1-2,50.0%,0,1,1,6,0,3,0,11,7
@ Alimerka Oviedo,23 nov 2019,G  65-71,15,2,2,27,7-10,0-3,53.8%,1-1,100.0%,0,2,2,2,2,3,0,15,12
vs Amics Castello,15 nov 2019,G  87-79,5,2,5,21,1-3,0-2,20.0%,3-4,75.0%,0,2,2,5,0,1,1,5,7
@ Almansa Con Afanion,9 nov 2019,P  67-64,3,1,3,21,1-5,0-4,11.1%,1-1,100.0%,0,1,1,3,0,0,0,3,-1
vs Hiopos Lleida,3 nov 2019,G  80-61,10,3,1,23,2-6,2-3,44.4%,0-0,-,0,3,3,1,1,1,0,10,9
@ Ourense,30 oct 2019,G  56-77,0,0,2,22,0-4,0-1,0.0%,0-0,-,0,0,0,2,3,1,0,0,-1
vs Rio Breogan,25 oct 2019,G  94-82,13,3,3,23,4-5,1-3,62.5%,2-2,100.0%,0,3,3,3,0,3,0,13,13
@ Fibwi Palma,20 oct 2019,P  87-80,17,3,1,27,3-5,3-7,50.0%,2-4,50.0%,0,3,3,1,0,4,0,17,9
vs Melilla Ciudad Del Deporte 1,11 oct 2019,G  78-70,7,2,5,24,2-5,1-5,30.0%,0-0,-,0,2,2,5,1,0,0,7,8
@ Real Canoe N.C.,4 oct 2019,G  81-93,9,2,4,22,3-7,1-5,33.3%,0-0,-,1,1,2,4,1,1,0,9,7
vs Marin Peixe Galego,25 sept 2019,G  82-66,10,0,3,25,1-2,2-4,50.0%,2-2,100.0%,0,0,0,3,1,0,0,10,11
