PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Hiopos Lleida,6 mar 2020,P  78-67,14,9,0,26,5-12,1-3,40.0%,1-2,50.0%,5,4,9,0,2,1,0,14,14
vs Ourense,28 feb 2020,G  74-73,12,5,2,22,2-6,2-3,44.4%,2-2,100.0%,3,2,5,2,0,1,0,12,13
@ Rio Breogan,15 feb 2020,P  95-71,7,4,0,24,2-2,1-5,42.9%,0-0,-,1,3,4,0,1,0,0,7,8
vs Fibwi Palma,9 feb 2020,G  74-66,18,7,0,26,2-3,2-4,57.1%,8-8,100.0%,2,5,7,0,2,0,0,18,24
vs Real Canoe N.C.,24 ene 2020,G  89-84,10,4,2,20,3-7,0-1,37.5%,4-6,66.7%,0,4,4,2,0,1,0,10,8
@ Marin Peixe Galego,18 ene 2020,G  69-75,9,11,1,30,3-8,1-3,36.4%,0-2,0.0%,3,8,11,1,0,1,0,9,11
@ Levitec Huesca,10 ene 2020,G  80-100,15,2,3,20,4-5,2-4,66.7%,1-2,50.0%,1,1,2,3,0,2,0,15,14
vs Gipuzkoa Basket,5 ene 2020,G  81-77,19,9,3,32,3-7,3-5,50.0%,4-5,80.0%,4,5,9,3,0,0,0,19,24
@ Coviran Granada,28 dic 2019,G  63-70,10,11,3,25,2-5,2-5,40.0%,0-0,-,3,8,11,3,2,0,0,10,20
vs Caceres,20 dic 2019,G  77-76,17,5,1,28,3-9,3-4,46.2%,2-4,50.0%,1,4,5,1,0,0,0,17,14
@ Leyma Coruña,15 dic 2019,P  83-81,16,10,2,27,4-7,1-3,50.0%,5-5,100.0%,3,7,10,2,3,2,0,16,24
@ HLA Alicante,6 dic 2019,G  77-81,20,6,1,26,2-5,3-7,41.7%,7-11,63.6%,2,4,6,1,0,0,1,20,17
vs Súper Agropal Palencia,1 dic 2019,G  86-79,10,5,1,20,2-9,2-3,33.3%,0-0,-,5,0,5,1,0,0,0,10,8
@ Alimerka Oviedo,23 nov 2019,G  65-71,14,3,0,22,5-7,1-3,60.0%,1-3,33.3%,3,0,3,0,1,3,0,14,9
vs Amics Castello,15 nov 2019,G  87-79,19,12,0,34,7-13,1-5,44.4%,2-2,100.0%,4,8,12,0,0,3,0,19,18
@ Almansa Con Afanion,9 nov 2019,P  67-64,6,7,0,25,2-7,0-1,25.0%,2-2,100.0%,3,4,7,0,0,2,0,6,5
vs Hiopos Lleida,3 nov 2019,G  80-61,10,9,0,21,5-6,0-3,55.6%,0-1,0.0%,3,6,9,0,1,2,0,10,13
@ Ourense,30 oct 2019,G  56-77,8,9,2,26,3-6,0-2,37.5%,2-3,66.7%,0,9,9,2,1,3,0,8,11
vs Rio Breogan,25 oct 2019,G  94-82,15,4,1,23,6-7,0-3,60.0%,3-4,75.0%,3,1,4,1,0,2,0,15,13
@ Fibwi Palma,20 oct 2019,P  87-80,9,4,0,33,2-4,0-0,50.0%,5-6,83.3%,0,4,4,0,2,2,0,9,10
vs Melilla Ciudad Del Deporte 1,11 oct 2019,G  78-70,7,7,0,28,2-6,0-2,25.0%,3-4,75.0%,5,2,7,0,1,1,0,7,7
@ Real Canoe N.C.,4 oct 2019,G  81-93,25,14,4,31,8-10,1-3,69.2%,6-7,85.7%,5,9,14,4,0,2,0,25,36
vs Marin Peixe Galego,25 sept 2019,G  82-66,15,7,1,25,5-8,0-2,50.0%,5-5,100.0%,2,5,7,1,0,2,0,15,16
