PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Hiopos Lleida,6 mar 2020,P  78-67,9,1,1,24,4-6,0-4,40.0%,1-2,50.0%,0,1,1,1,1,4,1,9,2
vs Ourense,28 feb 2020,G  74-73,8,4,3,28,0-2,1-5,14.3%,5-6,83.3%,0,4,4,3,3,2,0,8,9
@ Rio Breogan,15 feb 2020,P  95-71,14,2,3,30,1-3,3-6,44.4%,3-4,75.0%,0,2,2,3,3,3,0,14,13
vs Fibwi Palma,9 feb 2020,G  74-66,13,3,2,27,4-6,1-4,50.0%,2-2,100.0%,0,3,3,2,0,0,0,13,13
@ Melilla Ciudad Del Deporte 1,31 ene 2020,P  88-85,28,10,2,45,5-12,3-11,34.8%,9-15,60.0%,5,5,10,2,0,3,0,28,16
vs Real Canoe N.C.,24 ene 2020,G  89-84,10,2,0,26,3-7,1-7,28.6%,1-2,50.0%,1,1,2,0,1,1,0,10,1
@ Marin Peixe Galego,18 ene 2020,G  69-75,13,6,2,22,4-8,1-5,38.5%,2-3,66.7%,1,5,6,2,2,2,1,13,13
@ Levitec Huesca,10 ene 2020,G  80-100,19,3,4,23,6-7,2-7,57.1%,1-2,50.0%,0,3,3,4,4,1,0,19,22
vs Gipuzkoa Basket,5 ene 2020,G  81-77,18,2,3,32,3-7,4-8,46.7%,0-0,-,0,2,2,3,2,1,0,18,16
@ Coviran Granada,28 dic 2019,G  63-70,17,4,0,33,2-4,1-5,33.3%,10-17,58.8%,1,3,4,0,1,0,0,17,9
vs Caceres,20 dic 2019,G  77-76,13,2,4,33,5-7,0-4,45.5%,3-4,75.0%,0,2,2,4,3,2,0,13,13
@ Leyma Coruña,15 dic 2019,P  83-81,15,3,3,32,3-9,2-11,25.0%,3-4,75.0%,0,3,3,3,1,2,0,15,4
@ HLA Alicante,6 dic 2019,G  77-81,16,3,1,32,3-7,3-8,40.0%,1-3,33.3%,3,0,3,1,0,0,0,16,9
vs Súper Agropal Palencia,1 dic 2019,G  86-79,26,4,1,34,6-8,3-5,69.2%,5-8,62.5%,2,2,4,1,2,0,0,26,26
@ Alimerka Oviedo,23 nov 2019,G  65-71,14,3,3,28,4-6,2-7,46.2%,0-2,0.0%,0,3,3,3,2,1,0,14,12
vs Amics Castello,15 nov 2019,G  87-79,23,1,0,29,2-4,6-7,72.7%,1-3,33.3%,0,1,1,0,0,1,0,23,18
@ Almansa Con Afanion,9 nov 2019,P  67-64,19,4,2,32,1-5,4-12,29.4%,5-6,83.3%,0,4,4,2,2,4,0,19,10
vs Hiopos Lleida,3 nov 2019,G  80-61,20,3,3,31,5-11,2-8,36.8%,4-7,57.1%,0,3,3,3,2,1,1,20,13
@ Ourense,30 oct 2019,G  56-77,12,4,1,31,2-2,2-3,80.0%,2-2,100.0%,1,3,4,1,0,0,0,12,16
vs Rio Breogan,25 oct 2019,G  94-82,9,2,4,29,3-5,0-4,33.3%,3-3,100.0%,0,2,2,4,1,1,0,9,9
@ Fibwi Palma,20 oct 2019,P  87-80,24,3,1,34,4-7,4-7,57.1%,4-6,66.7%,0,3,3,1,1,4,1,24,18
vs Melilla Ciudad Del Deporte 1,11 oct 2019,G  78-70,15,2,0,26,2-9,1-3,25.0%,8-8,100.0%,0,2,2,0,2,0,0,15,10
@ Real Canoe N.C.,4 oct 2019,G  81-93,20,2,3,31,8-10,1-8,50.0%,1-1,100.0%,0,2,2,3,0,1,0,20,15
vs Marin Peixe Galego,25 sept 2019,G  82-66,15,3,5,21,3-10,2-5,33.3%,3-4,75.0%,1,2,3,5,3,1,1,15,15
