PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Hiopos Lleida,6 mar 2020,P  78-67,0,2,0,5,0-1,0-0,0.0%,0-0,-,1,1,2,0,1,0,0,0,2
vs Ourense,28 feb 2020,G  74-73,4,4,1,15,2-2,0-1,66.7%,0-0,-,1,3,4,1,0,0,0,4,8
@ Rio Breogan,15 feb 2020,P  95-71,0,1,1,8,0-0,0-2,0.0%,0-0,-,1,0,1,1,0,0,0,0,0
@ Melilla Ciudad Del Deporte 1,31 ene 2020,P  88-85,2,3,0,16,0-1,0-1,0.0%,2-2,100.0%,1,2,3,0,2,1,0,2,4
vs Real Canoe N.C.,24 ene 2020,G  89-84,0,1,0,5,0-0,0-1,0.0%,0-0,-,1,0,1,0,0,1,0,0,-1
@ Levitec Huesca,10 ene 2020,G  80-100,3,1,2,12,0-1,1-1,50.0%,0-0,-,0,1,1,2,2,0,0,3,7
@ Coviran Granada,28 dic 2019,G  63-70,0,2,0,1,0-0,0-1,0.0%,0-0,-,1,1,2,0,0,0,0,0,1
vs Caceres,20 dic 2019,G  77-76,2,0,0,4,1-1,0-0,100.0%,0-0,-,0,0,0,0,0,0,0,2,2
vs Súper Agropal Palencia,1 dic 2019,G  86-79,2,1,0,7,1-3,0-0,33.3%,0-0,-,0,1,1,0,0,0,0,2,1
@ Alimerka Oviedo,23 nov 2019,G  65-71,3,1,0,9,0-1,0-0,0.0%,3-4,75.0%,0,1,1,0,2,1,0,3,3
vs Amics Castello,15 nov 2019,G  87-79,6,3,1,13,2-2,0-1,66.7%,2-2,100.0%,2,1,3,1,0,1,0,6,8
@ Almansa Con Afanion,9 nov 2019,P  67-64,0,1,0,16,0-1,0-0,0.0%,0-0,-,0,1,1,0,0,1,0,0,-1
vs Hiopos Lleida,3 nov 2019,G  80-61,3,2,2,13,0-2,1-2,25.0%,0-0,-,1,1,2,2,0,0,0,3,4
@ Ourense,30 oct 2019,G  56-77,4,0,0,17,2-4,0-2,33.3%,0-0,-,0,0,0,0,1,1,0,4,0
vs Rio Breogan,25 oct 2019,G  94-82,2,2,0,13,0-1,0-1,0.0%,2-2,100.0%,0,2,2,0,0,0,0,2,2
@ Real Canoe N.C.,4 oct 2019,G  81-93,0,0,0,3,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Marin Peixe Galego,25 sept 2019,G  82-66,1,3,0,9,0-0,0-0,-,1-2,50.0%,1,2,3,0,0,1,0,1,2
