PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Hiopos Lleida,6 mar 2020,P  78-67,2,1,3,18,1-3,0-5,12.5%,0-0,-,0,1,1,3,0,1,0,2,-2
vs Ourense,28 feb 2020,G  74-73,8,3,7,23,2-5,0-3,25.0%,4-5,80.0%,1,2,3,7,2,0,0,8,13
@ Rio Breogan,15 feb 2020,P  95-71,8,0,3,19,1-3,1-2,40.0%,3-4,75.0%,0,0,0,3,2,1,0,8,8
vs Fibwi Palma,9 feb 2020,G  74-66,2,1,1,14,1-4,0-3,14.3%,0-0,-,1,0,1,1,0,0,0,2,-2
vs Real Canoe N.C.,24 ene 2020,G  89-84,11,2,1,11,2-3,2-3,66.7%,1-2,50.0%,0,2,2,1,2,2,0,11,11
@ Marin Peixe Galego,18 ene 2020,G  69-75,8,3,2,24,2-7,1-1,37.5%,1-2,50.0%,0,3,3,2,2,1,0,8,8
@ Levitec Huesca,10 ene 2020,G  80-100,19,0,1,23,7-7,1-3,80.0%,2-2,100.0%,0,0,0,1,3,3,1,19,19
vs Gipuzkoa Basket,5 ene 2020,G  81-77,4,0,2,17,1-3,0-2,20.0%,2-2,100.0%,0,0,0,2,0,2,0,4,0
@ Coviran Granada,28 dic 2019,G  63-70,6,1,4,14,1-3,1-1,50.0%,1-2,50.0%,0,1,1,4,2,4,0,6,6
vs Caceres,20 dic 2019,G  77-76,15,2,0,18,2-2,2-4,66.7%,5-6,83.3%,1,1,2,0,0,0,0,15,14
@ Leyma Coruña,15 dic 2019,P  83-81,10,0,4,20,1-4,2-5,33.3%,2-3,66.7%,0,0,0,4,0,1,0,10,6
@ HLA Alicante,6 dic 2019,G  77-81,16,5,5,25,3-8,1-3,36.4%,7-9,77.8%,1,4,5,5,2,0,0,16,19
vs Súper Agropal Palencia,1 dic 2019,G  86-79,5,0,7,17,1-3,0-4,14.3%,3-3,100.0%,0,0,0,7,2,1,0,5,7
@ Alimerka Oviedo,23 nov 2019,G  65-71,14,1,2,24,4-6,1-4,50.0%,3-3,100.0%,0,1,1,2,4,1,0,14,15
vs Amics Castello,15 nov 2019,G  87-79,13,1,3,21,0-3,2-2,40.0%,7-9,77.8%,0,1,1,3,0,0,0,13,12
@ Almansa Con Afanion,9 nov 2019,P  67-64,10,3,1,19,0-1,2-5,33.3%,4-5,80.0%,2,1,3,1,0,0,0,10,9
vs Hiopos Lleida,3 nov 2019,G  80-61,12,2,2,17,2-4,2-4,50.0%,2-2,100.0%,0,2,2,2,0,1,0,12,11
@ Ourense,30 oct 2019,G  56-77,6,1,2,18,2-3,0-1,50.0%,2-2,100.0%,0,1,1,2,1,0,0,6,8
vs Rio Breogan,25 oct 2019,G  94-82,10,3,3,18,1-3,1-2,40.0%,5-5,100.0%,0,3,3,3,0,1,0,10,12
@ Fibwi Palma,20 oct 2019,P  87-80,10,3,4,26,2-4,1-2,50.0%,3-3,100.0%,0,3,3,4,0,2,1,10,13
vs Melilla Ciudad Del Deporte 1,11 oct 2019,G  78-70,13,2,1,15,2-3,3-3,83.3%,0-0,-,1,1,2,1,2,0,0,13,17
@ Real Canoe N.C.,4 oct 2019,G  81-93,11,4,4,22,2-4,2-3,57.1%,1-2,50.0%,2,2,4,4,1,1,0,11,15
vs Marin Peixe Galego,25 sept 2019,G  82-66,8,0,2,14,2-5,1-2,42.9%,1-1,100.0%,0,0,0,2,0,2,0,8,4
