PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Fibwi Palma,29 feb 2020,G  68-67,8,1,0,14,3-5,0-1,50.0%,2-3,66.7%,0,1,1,0,0,1,0,8,4
@ Melilla Ciudad Del Deporte 1,14 feb 2020,P  71-68,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
vs Real Canoe N.C.,9 feb 2020,G  84-65,0,0,1,6,0-0,0-3,0.0%,0-0,-,0,0,0,1,0,0,0,0,-2
@ Marin Peixe Galego,1 feb 2020,P  80-72,0,0,1,11,0-0,0-1,0.0%,0-0,-,0,0,0,1,0,1,0,0,-1
vs Levitec Huesca,25 ene 2020,G  71-54,0,0,0,4,0-0,0-0,-,0-0,-,0,0,0,0,0,1,0,0,-1
@ Gipuzkoa Basket,19 ene 2020,P  70-66,0,0,0,13,0-2,0-1,0.0%,0-0,-,0,0,0,0,0,1,0,0,-4
vs Leyma Coruña,10 ene 2020,P  70-78,4,1,4,20,2-4,0-1,40.0%,0-0,-,1,0,1,4,1,0,0,4,7
@ Caceres,3 ene 2020,P  88-67,3,0,0,8,0-2,1-1,33.3%,0-0,-,0,0,0,0,0,4,0,3,-3
vs Real Valladolid,28 dic 2019,P  63-70,17,2,2,24,2-7,3-6,38.5%,4-4,100.0%,1,1,2,2,1,1,0,17,13
@ HLA Alicante,20 dic 2019,P  85-67,4,2,2,25,2-3,0-1,50.0%,0-0,-,2,0,2,2,0,6,0,4,0
vs Súper Agropal Palencia,15 dic 2019,G  73-68,0,2,1,6,0-1,0-0,0.0%,0-0,-,1,1,2,1,0,0,0,0,2
@ Alimerka Oviedo,7 dic 2019,P  82-81,5,1,4,19,1-1,1-3,50.0%,0-0,-,0,1,1,4,1,1,0,5,8
vs Amics Castello,1 dic 2019,G  72-65,6,1,6,23,1-5,0-1,16.7%,4-4,100.0%,1,0,1,6,0,5,0,6,3
@ Almansa Con Afanion,23 nov 2019,P  97-77,2,1,1,8,1-2,0-1,33.3%,0-0,-,1,0,1,1,1,1,0,2,2
vs Hiopos Lleida,16 nov 2019,G  86-47,5,2,4,16,1-3,1-3,33.3%,0-0,-,0,2,2,4,1,0,0,5,8
@ Ourense,9 nov 2019,P  79-74,6,0,0,15,2-4,0-0,50.0%,2-2,100.0%,0,0,0,0,0,1,0,6,3
vs Rio Breogan,3 nov 2019,P  83-88,3,2,5,19,0-1,1-2,33.3%,0-0,-,0,2,2,5,0,1,0,3,7
@ Fibwi Palma,30 oct 2019,P  77-53,4,0,3,15,2-2,0-0,100.0%,0-0,-,0,0,0,3,1,1,0,4,7
vs Melilla Ciudad Del Deporte 1,26 oct 2019,P  63-70,0,0,0,3,0-0,0-2,0.0%,0-0,-,0,0,0,0,0,1,0,0,-3
@ Real Canoe N.C.,18 oct 2019,G  81-92,7,1,5,16,2-3,1-2,60.0%,0-0,-,0,1,1,5,0,0,0,7,11
vs Marin Peixe Galego,12 oct 2019,G  83-56,4,1,2,21,2-6,0-2,25.0%,0-0,-,0,1,1,2,1,1,0,4,1
@ Levitec Huesca,4 oct 2019,P  71-70,2,0,0,4,1-1,0-2,33.3%,0-0,-,0,0,0,0,0,1,0,2,-1
vs Gipuzkoa Basket,28 sept 2019,G  68-58,6,1,2,22,2-3,0-3,33.3%,2-2,100.0%,0,1,1,2,0,1,0,6,4
