PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Rio Breogan,7 mar 2020,P  86-63,3,2,1,7,1-1,0-0,100.0%,1-1,100.0%,1,1,2,1,0,1,0,3,5
vs Fibwi Palma,29 feb 2020,G  68-67,1,1,0,13,0-3,0-2,0.0%,1-2,50.0%,1,0,1,0,1,0,0,1,-3
@ Melilla Ciudad Del Deporte 1,14 feb 2020,P  71-68,3,1,2,16,1-3,0-1,25.0%,1-2,50.0%,0,1,1,2,0,0,1,3,3
vs Real Canoe N.C.,9 feb 2020,G  84-65,9,3,3,19,4-5,0-0,80.0%,1-3,33.3%,0,3,3,3,0,0,0,9,12
@ Marin Peixe Galego,1 feb 2020,P  80-72,8,3,4,25,2-6,1-3,33.3%,1-2,50.0%,1,2,3,4,1,1,0,8,8
vs Levitec Huesca,25 ene 2020,G  71-54,7,2,2,18,2-7,1-3,30.0%,0-0,-,0,2,2,2,1,1,0,7,4
@ Gipuzkoa Basket,19 ene 2020,P  70-66,8,4,2,21,2-2,0-2,50.0%,4-4,100.0%,2,2,4,2,0,3,0,8,9
vs Leyma Coruña,10 ene 2020,P  70-78,13,8,4,26,5-9,1-2,54.5%,0-0,-,3,5,8,4,0,1,0,13,19
@ Caceres,3 ene 2020,P  88-67,4,1,1,13,2-4,0-0,50.0%,0-0,-,0,1,1,1,1,2,0,4,3
vs Amics Castello,1 dic 2019,G  72-65,8,5,4,22,1-5,2-2,42.9%,0-0,-,0,5,5,4,1,2,0,8,12
@ Almansa Con Afanion,23 nov 2019,P  97-77,7,2,4,13,2-4,1-1,60.0%,0-0,-,0,2,2,4,1,3,0,7,9
vs Hiopos Lleida,16 nov 2019,G  86-47,12,3,6,13,1-2,2-2,75.0%,4-4,100.0%,0,3,3,6,0,0,1,12,21
vs Rio Breogan,3 nov 2019,P  83-88,0,0,0,1,0-0,0-0,-,0-0,-,0,0,0,0,0,0,0,0,0
@ Fibwi Palma,30 oct 2019,P  77-53,2,4,2,13,1-4,0-1,20.0%,0-0,-,2,2,4,2,2,0,0,2,6
vs Melilla Ciudad Del Deporte 1,26 oct 2019,P  63-70,6,0,0,15,1-2,1-3,40.0%,1-2,50.0%,0,0,0,0,0,0,0,6,2
@ Real Canoe N.C.,18 oct 2019,G  81-92,0,0,1,5,0-0,0-0,-,0-0,-,0,0,0,1,0,0,1,0,2
@ Levitec Huesca,4 oct 2019,P  71-70,3,1,0,12,1-2,0-1,33.3%,1-2,50.0%,1,0,1,0,0,2,0,3,-1
vs Gipuzkoa Basket,28 sept 2019,G  68-58,0,0,1,3,0-0,0-1,0.0%,0-0,-,0,0,0,1,0,0,0,0,0
