PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Almansa Con Afanion,7 mar 2020,G  76-88,15,8,4,32,5-8,1-1,66.7%,2-5,40.0%,3,5,8,4,0,3,0,15,18
vs Hiopos Lleida,28 feb 2020,G  67-55,8,2,2,21,3-7,0-0,42.9%,2-2,100.0%,1,1,2,2,1,2,0,8,7
@ Ourense,15 feb 2020,G  68-70,13,0,1,21,6-8,0-2,60.0%,1-2,50.0%,0,0,0,1,1,3,0,13,7
vs Rio Breogan,7 feb 2020,G  83-66,5,2,0,21,2-5,0-0,40.0%,1-2,50.0%,0,2,2,0,0,1,1,5,3
@ Fibwi Palma,2 feb 2020,G  63-78,11,7,4,27,3-5,0-1,50.0%,5-6,83.3%,4,3,7,4,1,1,0,11,18
vs Melilla Ciudad Del Deporte 1,24 ene 2020,G  65-61,3,1,0,21,1-2,0-0,50.0%,1-2,50.0%,0,1,1,0,1,5,0,3,-2
@ Real Canoe N.C.,17 ene 2020,G  74-84,6,3,0,17,3-3,0-0,100.0%,0-0,-,1,2,3,0,1,3,0,6,7
@ Marin Peixe Galego,10 ene 2020,G  65-97,7,1,1,20,3-3,0-1,75.0%,1-2,50.0%,0,1,1,1,1,1,0,7,7
vs Levitec Huesca,4 ene 2020,G  91-70,14,5,0,22,4-6,1-1,71.4%,3-3,100.0%,2,3,5,0,2,2,0,14,17
@ Gipuzkoa Basket,29 dic 2019,P  83-58,2,3,1,12,1-3,0-1,25.0%,0-0,-,2,1,3,1,1,2,1,2,3
vs Coviran Granada,20 dic 2019,G  85-67,8,5,2,18,2-3,0-1,50.0%,4-4,100.0%,1,4,5,2,1,0,1,8,15
@ Caceres,13 dic 2019,G  63-65,9,6,0,28,4-7,0-2,44.4%,1-1,100.0%,3,3,6,0,1,1,0,9,10
vs Real Valladolid,6 dic 2019,P  77-81,7,6,3,25,1-3,0-0,33.3%,5-8,62.5%,3,3,6,3,1,1,3,7,14
@ Leyma Coruña,1 dic 2019,P  100-72,6,4,1,14,1-3,0-1,25.0%,4-4,100.0%,2,2,4,1,0,0,1,6,9
@ Súper Agropal Palencia,22 nov 2019,P  93-84,12,2,6,30,3-5,0-2,42.9%,6-8,75.0%,2,0,2,6,0,1,2,12,15
vs Alimerka Oviedo,15 nov 2019,G  90-54,3,2,0,15,0-2,1-1,33.3%,0-0,-,0,2,2,0,0,0,0,3,3
@ Amics Castello,8 nov 2019,P  91-85,5,6,2,16,1-2,1-1,66.7%,0-0,-,3,3,6,2,0,1,0,5,11
vs Almansa Con Afanion,2 nov 2019,G  83-82,10,8,2,23,3-7,0-0,42.9%,4-5,80.0%,1,7,8,2,0,3,0,10,12
@ Hiopos Lleida,30 oct 2019,P  92-84,16,3,1,28,5-7,1-2,66.7%,3-3,100.0%,0,3,3,1,2,0,0,16,19
vs Ourense,25 oct 2019,G  85-58,6,7,1,20,3-5,0-3,37.5%,0-0,-,4,3,7,1,0,0,0,6,9
@ Rio Breogan,19 oct 2019,P  87-84,11,5,3,29,1-3,3-3,66.7%,0-0,-,0,5,5,3,3,2,1,11,19
vs Fibwi Palma,11 oct 2019,P  74-75,9,4,1,20,4-6,0-0,66.7%,1-1,100.0%,0,4,4,1,0,1,2,9,13
@ Melilla Ciudad Del Deporte 1,4 oct 2019,G  66-83,4,3,1,23,1-3,0-2,20.0%,2-2,100.0%,1,2,3,1,0,0,0,4,4
vs Real Canoe N.C.,27 sept 2019,G  99-96,10,3,3,27,3-5,0-2,42.9%,4-6,66.7%,1,2,3,3,1,0,3,10,14
