PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Almansa Con Afanion,7 mar 2020,G  76-88,17,7,2,30,7-12,0-0,58.3%,3-4,75.0%,2,5,7,2,0,3,3,17,20
vs Hiopos Lleida,28 feb 2020,G  67-55,14,11,0,32,6-10,0-0,60.0%,2-2,100.0%,2,9,11,0,1,1,3,14,24
@ Ourense,15 feb 2020,G  68-70,12,7,1,29,5-8,0-0,62.5%,2-4,50.0%,0,7,7,1,2,0,1,12,18
vs Rio Breogan,7 feb 2020,G  83-66,13,12,0,30,6-9,0-0,66.7%,1-1,100.0%,2,10,12,0,0,3,2,13,21
@ Fibwi Palma,2 feb 2020,G  63-78,18,12,0,35,7-13,0-0,53.8%,4-5,80.0%,1,11,12,0,1,3,2,18,23
vs Melilla Ciudad Del Deporte 1,24 ene 2020,G  65-61,9,9,0,36,2-6,0-0,33.3%,5-6,83.3%,2,7,9,0,1,1,2,9,15
@ Real Canoe N.C.,17 ene 2020,G  74-84,14,9,1,34,6-12,0-0,50.0%,2-4,50.0%,2,7,9,1,0,2,1,14,15
@ Marin Peixe Galego,10 ene 2020,G  65-97,17,16,3,32,8-11,0-1,66.7%,1-2,50.0%,0,16,16,3,0,2,3,17,32
vs Levitec Huesca,4 ene 2020,G  91-70,11,10,1,37,2-3,0-0,66.7%,7-8,87.5%,1,9,10,1,0,0,5,11,25
@ Gipuzkoa Basket,29 dic 2019,P  83-58,8,7,0,22,3-5,0-0,60.0%,2-3,66.7%,2,5,7,0,1,3,1,8,11
vs Coviran Granada,20 dic 2019,G  85-67,16,5,0,22,6-7,0-0,85.7%,4-5,80.0%,1,4,5,0,1,4,2,16,18
@ Caceres,13 dic 2019,G  63-65,10,3,0,27,5-9,0-0,55.6%,0-0,-,0,3,3,0,4,6,5,10,12
vs Real Valladolid,6 dic 2019,P  77-81,22,12,1,35,6-10,0-0,60.0%,10-13,76.9%,2,10,12,1,0,4,4,22,28
@ Leyma Coruña,1 dic 2019,P  100-72,9,4,0,25,3-9,0-0,33.3%,3-4,75.0%,1,3,4,0,0,1,6,9,11
@ Súper Agropal Palencia,22 nov 2019,P  93-84,8,3,0,20,3-3,0-0,100.0%,2-2,100.0%,0,3,3,0,1,4,1,8,9
vs Alimerka Oviedo,15 nov 2019,G  90-54,12,13,0,21,6-10,0-0,60.0%,0-0,-,4,9,13,0,0,3,3,12,21
@ Amics Castello,8 nov 2019,P  91-85,11,10,1,31,5-9,0-0,55.6%,1-4,25.0%,2,8,10,1,0,3,1,11,13
vs Almansa Con Afanion,2 nov 2019,G  83-82,18,4,0,30,8-10,0-0,80.0%,2-4,50.0%,1,3,4,0,0,6,3,18,15
@ Hiopos Lleida,30 oct 2019,P  92-84,23,6,2,31,9-15,0-0,60.0%,5-6,83.3%,1,5,6,2,0,2,2,23,24
vs Ourense,25 oct 2019,G  85-58,9,6,0,14,3-6,0-0,50.0%,3-5,60.0%,2,4,6,0,0,0,0,9,10
@ Rio Breogan,19 oct 2019,P  87-84,2,9,0,19,1-3,0-0,33.3%,0-2,0.0%,2,7,9,0,0,3,1,2,5
vs Fibwi Palma,11 oct 2019,P  74-75,8,6,1,27,3-8,0-0,37.5%,2-2,100.0%,3,3,6,1,0,1,1,8,10
@ Melilla Ciudad Del Deporte 1,4 oct 2019,G  66-83,26,12,1,32,9-13,0-0,69.2%,8-8,100.0%,3,9,12,1,1,0,1,26,37
vs Real Canoe N.C.,27 sept 2019,G  99-96,28,13,0,32,11-13,0-0,84.6%,6-8,75.0%,10,3,13,0,1,5,3,28,36
