PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,6 mar 2020,G  78-67,15,9,1,27,7-10,0-0,70.0%,1-1,100.0%,2,7,9,1,0,2,1,15,21
@ HLA Alicante,28 feb 2020,P  67-55,8,5,1,24,4-14,0-0,28.6%,0-0,-,3,2,5,1,1,3,0,8,2
vs Súper Agropal Palencia,14 feb 2020,P  74-90,20,5,0,28,9-13,0-0,69.2%,2-2,100.0%,2,3,5,0,0,1,1,20,21
@ Alimerka Oviedo,8 feb 2020,G  65-72,7,2,0,17,3-8,0-0,37.5%,1-1,100.0%,0,2,2,0,1,0,0,7,5
vs Amics Castello,31 ene 2020,G  87-80,10,3,3,29,5-11,0-0,45.5%,0-0,-,1,2,3,3,1,2,0,10,9
@ Almansa Con Afanion,25 ene 2020,P  91-81,18,7,3,41,6-14,1-1,46.7%,3-4,75.0%,2,5,7,3,0,6,4,18,17
vs Leyma Coruña,17 ene 2020,G  81-56,7,7,3,29,3-8,0-0,37.5%,1-1,100.0%,1,6,7,3,0,1,0,7,11
@ Ourense,10 ene 2020,P  64-49,0,2,1,19,0-2,0-0,0.0%,0-0,-,0,2,2,1,1,4,0,0,-2
vs Rio Breogan,3 ene 2020,P  61-64,9,7,1,26,4-12,0-0,33.3%,1-2,50.0%,3,4,7,1,0,1,0,9,7
@ Fibwi Palma,29 dic 2019,G  73-83,25,9,2,30,9-11,0-0,81.8%,7-9,77.8%,0,9,9,2,0,0,0,25,32
vs Melilla Ciudad Del Deporte 1,20 dic 2019,P  72-101,8,2,1,19,4-8,0-0,50.0%,0-0,-,0,2,2,1,0,1,0,8,6
@ Real Canoe N.C.,13 dic 2019,P  89-71,14,3,1,22,7-11,0-0,63.6%,0-0,-,2,1,3,1,0,0,0,14,14
vs Marin Peixe Galego,6 dic 2019,G  82-70,7,3,2,24,3-5,0-0,60.0%,1-2,50.0%,2,1,3,2,1,2,0,7,8
vs Alimerka Oviedo,3 dic 2019,P  83-89,14,4,0,20,7-9,0-0,77.8%,0-0,-,2,2,4,0,0,1,0,14,15
@ Levitec Huesca,29 nov 2019,P  97-73,10,0,0,17,5-6,0-0,83.3%,0-0,-,0,0,0,0,0,1,1,10,9
vs Gipuzkoa Basket,22 nov 2019,P  65-69,20,7,1,29,10-16,0-0,62.5%,0-0,-,2,5,7,1,0,1,0,20,21
@ Coviran Granada,16 nov 2019,P  86-47,5,5,0,17,2-6,0-0,33.3%,1-1,100.0%,2,3,5,0,1,3,0,5,4
vs Caceres,8 nov 2019,P  67-72,5,5,1,26,2-5,0-0,40.0%,1-2,50.0%,3,2,5,1,1,2,0,5,6
@ Real Valladolid,3 nov 2019,P  80-61,6,3,2,17,3-10,0-0,30.0%,0-0,-,1,2,3,2,0,1,1,6,4
vs HLA Alicante,30 oct 2019,G  92-84,17,4,1,23,7-10,0-0,70.0%,3-3,100.0%,0,4,4,1,0,2,0,17,17
@ Súper Agropal Palencia,25 oct 2019,P  89-87,6,4,0,19,2-7,0-0,28.6%,2-2,100.0%,1,3,4,0,0,2,1,6,4
@ Amics Castello,11 oct 2019,P  68-64,6,6,0,19,3-10,0-0,30.0%,0-0,-,3,3,6,0,3,1,0,6,7
vs Almansa Con Afanion,4 oct 2019,G  82-80,21,3,0,23,9-11,0-0,81.8%,3-6,50.0%,1,2,3,0,1,6,2,21,16
@ Leyma Coruña,29 sept 2019,G  65-82,14,4,3,19,6-6,0-0,100.0%,2-3,66.7%,1,3,4,3,1,0,0,14,21
