PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Real Valladolid,15 feb 2020,G  95-71,0,1,1,3,0-0,0-0,-,0-0,-,0,1,1,1,0,1,0,0,1
@ HLA Alicante,7 feb 2020,P  83-66,3,4,0,15,0-1,1-5,16.7%,0-0,-,2,2,4,0,1,1,0,3,2
vs Súper Agropal Palencia,1 feb 2020,G  75-74,0,2,0,18,0-1,0-2,0.0%,0-0,-,2,0,2,0,1,0,0,0,0
@ Alimerka Oviedo,25 ene 2020,P  72-66,1,2,1,14,0-1,0-0,0.0%,1-2,50.0%,0,2,2,1,1,0,0,1,3
vs Amics Castello,18 ene 2020,G  87-69,4,6,0,16,1-1,0-0,100.0%,2-2,100.0%,1,5,6,0,0,1,0,4,9
vs Almansa Con Afanion,10 ene 2020,P  85-86,0,3,1,9,0-0,0-0,-,0-0,-,1,2,3,1,0,4,0,0,0
@ Hiopos Lleida,3 ene 2020,G  61-64,0,2,0,6,0-1,0-2,0.0%,0-0,-,0,2,2,0,0,0,0,0,-1
@ Real Valladolid,25 oct 2019,P  94-82,9,2,0,9,1-1,2-2,100.0%,1-1,100.0%,0,2,2,0,0,1,0,9,10
vs HLA Alicante,19 oct 2019,G  87-84,3,3,1,19,0-2,1-3,20.0%,0-0,-,1,2,3,1,0,1,1,3,3
@ Súper Agropal Palencia,11 oct 2019,P  90-76,2,1,0,10,1-2,0-1,33.3%,0-0,-,1,0,1,0,0,1,0,2,0
vs Alimerka Oviedo,5 oct 2019,G  72-54,4,1,0,12,2-2,0-1,66.7%,0-0,-,0,1,1,0,0,0,0,4,4
@ Amics Castello,28 sept 2019,G  68-91,2,2,1,17,1-1,0-3,25.0%,0-0,-,2,0,2,1,0,1,0,2,1
