PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Coviran Granada,7 mar 2020,G  86-63,10,2,2,26,3-5,1-1,66.7%,1-1,100.0%,0,2,2,2,5,0,0,10,17
@ Caceres,28 feb 2020,P  77-76,0,5,1,28,0-4,0-2,0.0%,0-0,-,3,2,5,1,1,2,0,0,-1
vs Real Valladolid,15 feb 2020,G  95-71,14,3,0,18,3-3,2-2,100.0%,2-3,66.7%,0,3,3,0,0,1,0,14,15
@ HLA Alicante,7 feb 2020,P  83-66,5,3,0,13,1-2,1-2,50.0%,0-0,-,2,1,3,0,1,3,0,5,4
vs Súper Agropal Palencia,1 feb 2020,G  75-74,6,4,1,15,1-2,1-2,50.0%,1-2,50.0%,2,2,4,1,0,2,0,6,6
@ Alimerka Oviedo,25 ene 2020,P  72-66,16,6,0,21,4-7,1-4,45.5%,5-6,83.3%,2,4,6,0,2,2,0,16,15
vs Amics Castello,18 ene 2020,G  87-69,9,3,0,13,4-6,0-1,57.1%,1-1,100.0%,2,1,3,0,2,1,0,9,10
vs Almansa Con Afanion,10 ene 2020,P  85-86,10,2,0,9,3-3,1-1,100.0%,1-1,100.0%,1,1,2,0,0,2,0,10,10
vs Ourense,28 dic 2019,G  85-52,14,6,2,16,1-3,3-6,44.4%,3-4,75.0%,1,5,6,2,1,0,0,14,17
vs Leyma Coruña,21 dic 2019,G  97-55,9,11,2,18,1-5,2-2,42.9%,1-3,33.3%,3,8,11,2,2,1,0,9,17
@ Fibwi Palma,15 dic 2019,P  102-84,14,3,1,22,7-8,0-2,70.0%,0-3,0.0%,2,1,3,1,1,1,0,14,12
vs Melilla Ciudad Del Deporte 1,7 dic 2019,G  88-84,9,5,0,18,2-4,1-3,42.9%,2-4,50.0%,1,4,5,0,1,0,0,9,9
@ Real Canoe N.C.,29 nov 2019,G  75-82,8,11,2,23,2-2,0-2,50.0%,4-6,66.7%,2,9,11,2,0,4,0,8,13
vs Marin Peixe Galego,23 nov 2019,G  72-56,7,6,1,23,3-5,0-2,42.9%,1-2,50.0%,1,5,6,1,2,1,0,7,10
@ Levitec Huesca,16 nov 2019,G  71-87,5,3,0,19,1-5,1-3,25.0%,0-0,-,0,3,3,0,1,1,1,5,3
vs Gipuzkoa Basket,10 nov 2019,P  74-97,5,7,0,20,1-8,0-0,12.5%,3-4,75.0%,4,3,7,0,0,2,2,5,4
