PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
vs Vancouver Bandits,8 ago 2020,G  90-73,6,5,2,33,2-4,0-2,33.3%,2-3,66.7%,3,2,5,2,1,1,1,6,9
vs Ottawa BlackJacks,7 ago 2020,G  88-75,26,3,3,34,5-6,4-6,75.0%,4-5,80.0%,2,1,3,3,3,0,0,26,31
vs Guelph Nighthawks,2 ago 2020,G  85-71,10,9,4,33,3-4,1-2,66.7%,1-2,50.0%,3,6,9,4,3,1,1,10,23
@ Saskatchewan Rattlers,31 jul 2020,G  66-88,16,3,3,32,3-6,3-7,46.2%,1-2,50.0%,2,1,3,3,1,1,0,16,14
@ Niagara River Lions,30 jul 2020,G  86-87,9,10,2,33,3-4,1-4,50.0%,0-3,0.0%,3,7,10,2,2,1,0,9,15
@ Brampton Honey Badgers,28 jul 2020,G  82-88,7,3,2,36,0-1,2-8,22.2%,1-2,50.0%,1,2,3,2,4,2,0,7,6
vs Ottawa BlackJacks,26 jul 2020,G  89-82,14,2,0,31,4-5,2-4,66.7%,0-0,-,0,2,2,0,0,1,1,14,13
vs Vancouver Bandits,25 jul 2020,P  100-113,15,4,4,32,2-4,3-7,45.5%,2-4,50.0%,1,3,4,4,2,0,3,15,20
@ Alimerka Oviedo,7 mar 2020,P  88-70,6,2,1,26,1-3,1-4,28.6%,1-2,50.0%,0,2,2,1,1,0,0,6,4
vs Marin Peixe Galego,1 mar 2020,G  68-60,6,0,1,25,3-7,0-1,37.5%,0-0,-,0,0,0,1,0,0,0,6,2
@ Amics Castello,14 feb 2020,P  83-68,19,3,3,30,2-3,3-7,50.0%,6-8,75.0%,0,3,3,3,2,1,0,19,19
vs Levitec Huesca,9 feb 2020,G  70-64,3,2,2,25,1-3,0-3,16.7%,1-2,50.0%,0,2,2,2,0,5,1,3,-3
@ Almansa Con Afanion,2 feb 2020,G  62-93,17,4,2,29,5-7,2-2,77.8%,1-2,50.0%,2,2,4,2,1,2,0,17,19
vs Gipuzkoa Basket,26 ene 2020,G  88-75,22,4,2,31,4-8,3-3,63.6%,5-6,83.3%,2,2,4,2,0,2,1,22,22
@ Hiopos Lleida,17 ene 2020,P  81-56,12,2,1,28,4-9,1-2,45.5%,1-4,25.0%,1,1,2,1,0,1,0,12,5
@ Coviran Granada,10 ene 2020,G  70-78,16,5,0,29,2-3,4-7,60.0%,0-3,0.0%,1,4,5,0,0,1,1,16,14
vs Ourense,5 ene 2020,G  72-65,15,2,0,24,6-6,1-4,70.0%,0-3,0.0%,0,2,2,0,1,2,0,15,10
vs Caceres,29 dic 2019,G  88-77,0,0,0,5,0-0,0-0,-,0-0,-,0,0,0,0,1,1,1,0,1
@ Rio Breogan,21 dic 2019,P  97-55,10,7,0,30,1-3,2-4,42.9%,2-2,100.0%,2,5,7,0,0,2,0,10,11
vs Real Valladolid,15 dic 2019,G  83-81,20,7,1,30,4-7,3-5,58.3%,3-6,50.0%,4,3,7,1,0,2,1,20,19
@ Fibwi Palma,8 dic 2019,P  99-71,10,2,4,23,4-7,0-3,40.0%,2-2,100.0%,0,2,2,4,0,0,0,10,10
vs HLA Alicante,1 dic 2019,G  100-72,13,4,2,29,2-4,2-4,50.0%,3-5,60.0%,1,3,4,2,0,4,0,13,9
@ Melilla Ciudad Del Deporte 1,22 nov 2019,G  72-76,17,5,3,31,7-11,0-1,58.3%,3-4,75.0%,3,2,5,3,1,1,0,17,19
vs Súper Agropal Palencia,17 nov 2019,G  82-76,2,1,2,20,1-4,0-1,20.0%,0-0,-,0,1,1,2,1,0,0,2,2
@ Real Canoe N.C.,8 nov 2019,G  69-76,13,0,0,35,3-4,2-5,55.6%,1-1,100.0%,0,0,0,0,0,1,0,13,8
vs Alimerka Oviedo,3 nov 2019,P  78-81,11,3,2,30,1-6,2-3,33.3%,3-4,75.0%,1,2,3,2,2,0,0,11,11
@ Marin Peixe Galego,30 oct 2019,G  49-63,1,0,1,26,0-1,0-2,0.0%,1-6,16.7%,0,0,0,1,3,2,0,1,-5
vs Amics Castello,27 oct 2019,G  74-67,14,7,1,32,3-7,2-3,50.0%,2-2,100.0%,2,5,7,1,2,3,1,14,17
@ Levitec Huesca,18 oct 2019,G  65-66,1,0,1,16,0-4,0-1,0.0%,1-2,50.0%,0,0,0,1,0,0,1,1,-3
vs Almansa Con Afanion,13 oct 2019,G  75-71,6,2,2,16,1-4,1-3,28.6%,1-1,100.0%,1,1,2,2,1,2,0,6,4
@ Gipuzkoa Basket,6 oct 2019,P  77-67,4,4,0,24,2-3,0-2,40.0%,0-0,-,1,3,4,0,1,2,0,4,4
vs Hiopos Lleida,29 sept 2019,P  65-82,14,0,0,27,1-1,3-7,50.0%,3-3,100.0%,0,0,0,0,0,2,0,14,8
