PARTIDO,FECHA,PUNTUACIÓN,PTS,REB,AST,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,RO,RD,REB.1,AST.1,BR,BP,TAP,PTS.1,VAL
@ Alimerka Oviedo,7 mar 2020,P  88-70,4,5,1,13,2-4,0-0,50.0%,0-1,0.0%,4,1,5,1,0,3,0,4,4
vs Marin Peixe Galego,1 mar 2020,G  68-60,2,2,1,11,1-2,0-0,50.0%,0-0,-,1,1,2,1,1,0,1,2,6
@ Amics Castello,14 feb 2020,P  83-68,4,2,3,10,2-3,0-0,66.7%,0-0,-,0,2,2,3,1,0,1,4,10
vs Levitec Huesca,9 feb 2020,G  70-64,2,2,0,7,1-1,0-1,50.0%,0-0,-,0,2,2,0,0,0,3,2,6
@ Almansa Con Afanion,2 feb 2020,G  62-93,0,4,2,12,0-1,0-0,0.0%,0-0,-,1,3,4,2,1,1,1,0,6
vs Gipuzkoa Basket,26 ene 2020,G  88-75,4,3,0,13,2-2,0-0,100.0%,0-0,-,0,3,3,0,0,0,0,4,7
@ Hiopos Lleida,17 ene 2020,P  81-56,4,2,0,9,1-4,0-0,25.0%,2-2,100.0%,0,2,2,0,0,0,1,4,4
@ Coviran Granada,10 ene 2020,G  70-78,0,3,0,13,0-1,0-0,0.0%,0-0,-,0,3,3,0,0,2,0,0,0
vs Ourense,5 ene 2020,G  72-65,0,2,0,10,0-2,0-0,0.0%,0-0,-,0,2,2,0,0,0,0,0,0
vs Caceres,29 dic 2019,G  88-77,13,5,2,31,4-5,0-0,80.0%,5-6,83.3%,2,3,5,2,0,0,0,13,18
@ Rio Breogan,21 dic 2019,P  97-55,3,4,1,27,1-1,0-1,50.0%,1-2,50.0%,0,4,4,1,1,1,1,3,7
vs Real Valladolid,15 dic 2019,G  83-81,0,5,3,12,0-0,0-0,-,0-0,-,1,4,5,3,0,0,3,0,11
@ Fibwi Palma,8 dic 2019,P  99-71,4,2,1,20,2-4,0-0,50.0%,0-0,-,0,2,2,1,1,1,2,4,7
vs HLA Alicante,1 dic 2019,G  100-72,10,6,1,29,3-5,0-1,50.0%,4-6,66.7%,2,4,6,1,2,0,2,10,16
@ Melilla Ciudad Del Deporte 1,22 nov 2019,G  72-76,4,8,1,25,2-4,0-1,40.0%,0-0,-,5,3,8,1,2,1,0,4,11
vs Súper Agropal Palencia,17 nov 2019,G  82-76,5,5,1,22,1-2,0-0,50.0%,3-4,75.0%,2,3,5,1,0,0,0,5,9
@ Real Canoe N.C.,8 nov 2019,G  69-76,10,7,2,17,4-7,0-1,50.0%,2-2,100.0%,1,6,7,2,1,2,0,10,14
vs Alimerka Oviedo,3 nov 2019,P  78-81,9,11,2,21,4-7,0-2,44.4%,1-2,50.0%,4,7,11,2,4,0,1,9,21
@ Marin Peixe Galego,30 oct 2019,G  49-63,5,8,1,21,1-3,0-0,33.3%,3-4,75.0%,3,5,8,1,2,0,0,5,13
vs Amics Castello,27 oct 2019,G  74-67,4,5,0,12,1-2,0-0,50.0%,2-2,100.0%,1,4,5,0,0,1,1,4,8
@ Levitec Huesca,18 oct 2019,G  65-66,10,5,1,13,4-5,0-0,80.0%,2-2,100.0%,3,2,5,1,3,1,1,10,18
vs Almansa Con Afanion,13 oct 2019,G  75-71,4,2,0,10,2-2,0-0,100.0%,0-0,-,1,1,2,0,0,0,0,4,6
@ Gipuzkoa Basket,6 oct 2019,P  77-67,6,5,1,24,3-5,0-2,42.9%,0-0,-,3,2,5,1,3,0,4,6,15
vs Hiopos Lleida,29 sept 2019,P  65-82,15,9,0,29,6-10,0-1,54.5%,3-3,100.0%,5,4,9,0,2,2,1,15,20
